Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,119,keptBest,2,1,-2133.342,-2133.342,123
7,146,Heredity,2,1,-2133.142,-2133.142,65
8,191,keptBest,2,1,-2133.142,-2133.142,65
6,125,Heredity,2,1,-2133.14,-2133.14,10
7,167,keptBest,2,1,-2133.14,-2133.14,10
8,177,Random,2,1,-2133.128,-2133.128,10
6,137,LatMutate,2,1,-2133.127,-2133.127,10
8,181,RandTop,2,1,-2133.126,-2133.126,10
1,26,RandTop,2,1,-2133.123,-2133.123,65
7,155,RandTop,2,1,-2133.122,-2133.122,10
8,192,keptBest,2,1,-2133.122,-2133.122,10
1,15,Random,2,1,-2133.119,-2133.119,10
3,75,keptBest,2,1,-2133.119,-2133.119,10
2,52,keptBest,2,1,-2133.119,-2133.119,10
6,143,keptBest,2,1,-2133.119,-2133.119,10
5,120,keptBest,2,1,-2133.119,-2133.119,10
4,97,keptBest,2,1,-2133.119,-2133.119,10
2,40,Random,2,1,-2133.11,-2133.11,65
1,21,RandTop,2,1,-2133.087,-2133.087,10
8,176,Random,2,1,-2133.083,-2133.083,65
8,169,Heredity,2,1,-2133.081,-2133.081,10
5,112,Permutate,2,1,-2133.081,-2133.081,10
3,59,Heredity,2,1,-2133.081,-2133.081,10
3,65,RandTop,2,1,-2133.081,-2133.081,10
2,34,Heredity,2,1,-2133.081,-2133.081,10
4,80,Heredity,2,1,-2133.081,-2133.081,10
1,23,RandTop,2,1,-2133.081,-2133.081,10
3,56,Heredity,2,1,-2133.081,-2133.081,10
7,147,Heredity,2,1,-2133.08,-2133.08,10
2,45,Permutate,2,1,-2133.08,-2133.08,10
6,135,Permutate,2,1,-2133.08,-2133.08,10
4,78,Heredity,2,1,-2133.079,-2133.079,10
4,77,Heredity,2,1,-2133.079,-2133.079,10
2,53,keptBest,2,1,-2133.078,-2133.078,65
4,98,keptBest,2,1,-2133.078,-2133.078,65
2,49,softmutate,2,1,-2133.078,-2133.078,2
1,7,Random,2,1,-2133.078,-2133.078,65
3,68,Permutate,2,1,-2133.078,-2133.078,65
5,121,keptBest,2,1,-2133.078,-2133.078,65
3,76,keptBest,2,1,-2133.078,-2133.078,65
1,4,Random,2,1,-2133.078,-2133.078,65
6,144,keptBest,2,1,-2133.078,-2133.078,65
1,25,RandTop,2,1,-2133.078,-2133.078,10
1,1,Random,2,1,-2133.077,-2133.077,65
1,17,Random,2,1,-2133.077,-2133.077,10
4,84,Random,2,1,-2133.077,-2133.077,10
8,180,RandTop,2,1,-2133.077,-2133.077,10
8,187,softmutate,2,1,-2133.076,-2133.076,10
6,124,Heredity,2,1,-2133.076,-2133.076,10
7,162,LatMutate,2,1,-2133.076,-2133.076,10
7,163,softmutate,2,1,-2133.076,-2133.076,10
1,19,RandTop,2,1,-2133.075,-2133.075,65
3,62,Random,2,1,-2133.074,-2133.074,65
6,131,Random,2,1,-2133.072,-2133.072,65
8,184,LatMutate,2,1,-2133.07,-2133.07,10
1,11,Random,2,1,-2133.068,-2133.068,65
1,12,Random,2,1,-2133.065,-2133.065,65
1,22,RandTop,2,1,-2133.065,-2133.065,10
1,16,Random,2,1,-2133.065,-2133.065,65
5,116,LatMutate,2,1,-2133.061,-2133.061,10
2,31,Heredity,2,1,-2133.061,-2133.061,10
7,165,softmutate,2,1,-2133.059,-2133.059,10
6,132,RandTop,2,1,-2133.054,-2133.054,65
