Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,217,keptBest,4,2,-2092.719,-1046.36,63
7,228,keptBest,2,1,-1046.206,-1046.206,191
6,207,Permutate,4,2,-2092.344,-1046.172,123
7,247,Permutate,4,2,-2092.318,-1046.159,5
4,130,softmutate,4,2,-2092.28,-1046.14,12
7,241,RandTop,2,1,-1046.13,-1046.13,191
7,251,Heredity,4,2,-2092.258,-1046.129,10
2,36,keptBest,2,1,-1046.122,-1046.122,191
3,82,keptBest,2,1,-1046.122,-1046.122,191
1,13,RandTop,2,1,-1046.122,-1046.122,191
8,290,softmutate,4,2,-2092.203,-1046.101,1
8,256,keptBest,4,2,-2092.161,-1046.08,1
7,252,Heredity,4,2,-2092.161,-1046.08,1
8,289,softmutate,4,2,-2092.158,-1046.079,1
7,239,softmutate,4,2,-2092.135,-1046.068,11
7,234,Heredity,4,2,-2092.134,-1046.067,12
6,210,Heredity,4,2,-2092.123,-1046.062,1
6,209,Heredity,4,2,-2092.125,-1046.062,12
5,161,Heredity,4,2,-2092.116,-1046.058,12
6,202,Heredity,4,2,-2092.107,-1046.053,12
8,263,Random,4,2,-2092.1,-1046.05,65
3,94,Random,4,2,-2092.097,-1046.048,65
6,206,RandTop,4,2,-2092.097,-1046.048,65
1,32,Random,4,2,-2092.092,-1046.046,65
1,29,Random,4,2,-2092.092,-1046.046,65
1,30,Random,4,2,-2092.071,-1046.036,42
2,33,keptBest,4,2,-2092.071,-1046.036,42
3,69,keptBest,4,2,-2092.071,-1046.036,42
4,135,softmutate,4,2,-2092.061,-1046.03,2
1,24,Random,4,2,-2092.033,-1046.016,65
3,78,Random,4,2,-2092.021,-1046.01,191
2,64,Random,4,2,-2092.017,-1046.008,191
3,70,keptBest,4,2,-2092.017,-1046.008,191
5,155,LatMutate,2,1,-1046.007,-1046.007,8
2,51,Heredity,2,1,-1046.004,-1046.004,107
7,232,Heredity,2,1,-1045.994,-1045.994,38
8,267,Heredity,2,1,-1045.993,-1045.993,8
3,77,Heredity,4,2,-2091.984,-1045.992,1
8,283,Heredity,4,2,-2091.958,-1045.979,1
3,104,softmutate,4,2,-2091.953,-1045.976,2
2,57,softmutate,4,2,-2091.95,-1045.975,65
8,279,Permutate,4,2,-2091.939,-1045.97,12
1,23,Random,2,1,-1045.966,-1045.966,107
8,257,keptBest,4,2,-2091.928,-1045.964,191
7,219,keptBest,4,2,-2091.928,-1045.964,191
6,183,keptBest,4,2,-2091.928,-1045.964,191
5,162,Random,4,2,-2091.928,-1045.964,191
6,214,softmutate,4,2,-2091.922,-1045.961,2
4,139,LatMutate,4,2,-2091.912,-1045.956,2
2,54,Heredity,4,2,-2091.907,-1045.953,65
3,87,Heredity,4,2,-2091.905,-1045.953,65
4,113,Heredity,4,2,-2091.904,-1045.952,65
7,240,softmutate,4,2,-2091.864,-1045.932,191
2,56,softmutate,4,2,-2091.86,-1045.93,191
5,144,keptBest,4,2,-2091.841,-1045.921,1
7,220,keptBest,4,2,-2091.841,-1045.921,1
6,184,keptBest,4,2,-2091.841,-1045.921,1
4,134,Random,4,2,-2091.841,-1045.921,1
4,107,keptBest,4,2,-2091.836,-1045.918,12
5,145,keptBest,4,2,-2091.836,-1045.918,12
1,28,Random,4,2,-2091.836,-1045.918,12
2,34,keptBest,4,2,-2091.836,-1045.918,12
3,71,keptBest,4,2,-2091.836,-1045.918,12
2,58,softmutate,4,2,-2091.821,-1045.911,191
2,67,softmutate,4,2,-2091.821,-1045.91,9
7,249,LatMutate,4,2,-2091.817,-1045.909,1
8,268,Heredity,2,1,-1045.903,-1045.903,1
5,157,keptBest,2,1,-1045.898,-1045.898,123
3,81,Permutate,2,1,-1045.898,-1045.898,123
4,121,keptBest,2,1,-1045.898,-1045.898,123
4,129,softmutate,4,2,-2091.787,-1045.893,2
