Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,41,Heredity,2,1,-680.01,-680.01,115
4,138,softmutate,4,2,-1360.007,-680.004,137
5,153,Heredity,4,2,-1359.595,-679.798,115
5,156,Random,4,2,-1359.588,-679.794,115
5,142,keptBest,4,2,-1359.271,-679.635,115
4,122,softmutate,4,2,-1359.271,-679.635,115
2,48,LatMutate,4,2,-1359.199,-679.599,12
5,166,softmutate,4,2,-1359.198,-679.599,12
4,107,keptBest,4,2,-1359.199,-679.599,12
3,70,keptBest,4,2,-1359.199,-679.599,12
4,133,Heredity,4,2,-1359.194,-679.597,12
2,33,keptBest,4,2,-1359.047,-679.523,113
3,71,keptBest,4,2,-1359.047,-679.523,113
4,108,keptBest,4,2,-1359.047,-679.523,113
1,8,Random,4,2,-1359.047,-679.523,113
2,65,LatMutate,2,1,-679.515,-679.515,160
3,87,keptBest,2,1,-679.515,-679.515,160
4,118,keptBest,2,1,-679.515,-679.515,160
5,169,Permutate,2,1,-679.515,-679.515,160
4,131,softmutate,2,1,-679.515,-679.515,156
4,116,Heredity,2,1,-679.514,-679.514,156
5,148,Heredity,2,1,-679.512,-679.512,160
3,77,RandTop,2,1,-679.512,-679.512,156
3,102,Heredity,4,2,-1359.004,-679.502,26
4,109,keptBest,4,2,-1359.004,-679.502,26
2,34,keptBest,4,2,-1358.909,-679.455,26
1,20,Random,4,2,-1358.909,-679.455,26
4,120,Permutate,4,2,-1358.909,-679.455,26
3,72,keptBest,4,2,-1358.909,-679.455,26
5,146,Permutate,4,2,-1358.885,-679.443,132
5,167,softmutate,4,2,-1358.883,-679.442,132
2,35,keptBest,4,2,-1358.879,-679.44,132
1,9,RandTop,4,2,-1358.879,-679.44,132
2,44,Heredity,4,2,-1358.805,-679.403,1
3,97,Heredity,4,2,-1358.649,-679.325,1
4,128,Random,4,2,-1358.641,-679.321,1
5,162,Heredity,4,2,-1358.634,-679.317,1
3,95,softmutate,4,2,-1358.6,-679.3,24
2,36,keptBest,4,2,-1358.598,-679.299,24
1,6,Random,4,2,-1358.598,-679.299,24
3,80,Heredity,4,2,-1358.506,-679.253,1
3,78,Permutate,2,1,-679.226,-679.226,5
3,76,Random,2,1,-679.225,-679.225,5
2,42,Random,2,1,-679.225,-679.225,5
3,74,Random,2,1,-679.224,-679.224,5
5,152,Random,2,1,-679.224,-679.224,5
1,13,Random,2,1,-679.223,-679.223,5
3,85,LatMutate,2,1,-679.223,-679.223,5
5,163,RandTop,4,2,-1358.398,-679.199,4
5,159,LatMutate,4,2,-1358.351,-679.175,1
5,177,Random,4,2,-1358.334,-679.167,1
1,21,Random,4,2,-1358.324,-679.162,2
2,47,Random,4,2,-1358.296,-679.148,12
5,154,Heredity,4,2,-1358.286,-679.143,1
3,91,softmutate,4,2,-1358.204,-679.102,2
5,170,Heredity,4,2,-1358.198,-679.099,6
4,121,Permutate,4,2,-1358.199,-679.099,1
5,172,Heredity,4,2,-1358.193,-679.097,6
1,23,Random,4,2,-1358.129,-679.064,2
3,90,Heredity,4,2,-1358.119,-679.06,1
3,83,softmutate,4,2,-1357.941,-678.97,1
3,104,Random,4,2,-1357.886,-678.943,2
5,173,LatMutate,4,2,-1357.782,-678.891,1
5,164,RandTop,4,2,-1357.704,-678.852,5
5,175,Permutate,4,2,-1357.697,-678.849,1
4,126,Heredity,4,2,-1357.644,-678.822,2
5,143,keptBest,4,2,-1357.644,-678.822,2
4,130,LatMutate,4,2,-1357.636,-678.818,12
4,125,Heredity,4,2,-1357.633,-678.816,1
2,59,Heredity,4,2,-1357.606,-678.803,2
3,98,LatMutate,4,2,-1357.606,-678.803,2
5,165,LatMutate,4,2,-1357.605,-678.803,2
1,25,RandTop,4,2,-1357.576,-678.788,12
4,135,softmutate,4,2,-1357.558,-678.779,2
2,58,Heredity,4,2,-1357.554,-678.777,1
2,50,softmutate,4,2,-1357.55,-678.775,5
2,57,Heredity,4,2,-1357.544,-678.772,2
2,45,Heredity,4,2,-1357.532,-678.766,2
5,144,keptBest,4,2,-1357.507,-678.754,12
4,129,Random,4,2,-1357.508,-678.754,2
4,141,softmutate,4,2,-1357.507,-678.754,12
1,22,Random,4,2,-1357.466,-678.733,1
5,174,LatMutate,4,2,-1357.452,-678.726,4
1,24,RandTop,4,2,-1357.443,-678.722,6
2,68,softmutate,4,2,-1357.405,-678.703,115
2,67,Random,4,2,-1357.33,-678.665,1
2,66,softmutate,4,2,-1357.194,-678.597,1
1,30,Random,4,2,-1357.096,-678.548,1
1,31,Random,4,2,-1357.093,-678.547,8
3,96,LatMutate,2,1,-678.526,-678.526,1
4,127,Heredity,4,2,-1357.048,-678.524,1
4,140,RandTop,4,2,-1357.044,-678.522,8
4,132,RandTop,2,1,-678.505,-678.505,38
2,63,softmutate,4,2,-1356.985,-678.493,2
2,54,Permutate,2,1,-678.479,-678.479,99
3,79,Permutate,2,1,-678.478,-678.478,99
4,134,Random,4,2,-1356.886,-678.443,12
5,145,keptBest,4,2,-1356.886,-678.443,12
4,139,RandTop,4,2,-1356.805,-678.403,12
1,1,Random,2,1,-678.395,-678.395,99
4,136,Heredity,4,2,-1356.784,-678.392,1
2,60,RandTop,4,2,-1356.762,-678.381,31
5,160,LatMutate,2,1,-678.379,-678.379,8
5,178,Heredity,6,3,-2035.069,-678.356,1
1,18,Random,4,2,-1356.539,-678.269,1
3,101,Heredity,4,2,-1356.519,-678.259,8
2,62,Heredity,4,2,-1356.453,-678.226,1
3,99,softmutate,4,2,-1356.393,-678.197,36
4,137,softmutate,4,2,-1356.394,-678.197,2
3,84,softmutate,4,2,-1356.379,-678.19,1
3,103,Heredity,4,2,-1356.337,-678.168,1
1,29,RandTop,4,2,-1356.091,-678.045,12
