Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,299,softmutate,4,2,-2087.969,-1043.984,2
12,401,keptBest,4,2,-2087.824,-1043.912,2
4,107,keptBest,4,2,-2087.816,-1043.908,11
5,146,RandTop,2,1,-1043.877,-1043.877,38
3,77,keptBest,2,1,-1043.823,-1043.823,10
6,197,Random,2,1,-1043.781,-1043.781,65
1,30,RandTop,4,2,-2087.56,-1043.78,65
2,33,keptBest,4,2,-2087.56,-1043.78,65
11,378,Heredity,4,2,-2087.557,-1043.779,65
1,26,RandTop,4,2,-2087.559,-1043.779,65
5,155,Random,2,1,-1043.779,-1043.779,65
1,22,Random,2,1,-1043.779,-1043.779,65
13,458,Heredity,4,2,-2087.557,-1043.778,65
1,12,Random,2,1,-1043.778,-1043.778,65
11,387,LatMutate,2,1,-1043.777,-1043.777,65
6,189,Random,2,1,-1043.777,-1043.777,65
12,407,Random,2,1,-1043.777,-1043.777,65
3,102,softmutate,4,2,-2087.554,-1043.777,65
13,466,Random,4,2,-2087.547,-1043.774,10
2,50,keptBest,2,1,-1043.773,-1043.773,2
3,86,keptBest,2,1,-1043.773,-1043.773,2
1,19,RandTop,2,1,-1043.773,-1043.773,65
1,8,Random,2,1,-1043.773,-1043.773,2
13,463,softmutate,4,2,-2087.528,-1043.764,10
8,268,LatMutate,4,2,-2087.525,-1043.763,2
4,120,Heredity,4,2,-2087.523,-1043.761,2
11,388,Permutate,4,2,-2087.522,-1043.761,2
10,330,Heredity,4,2,-2087.517,-1043.759,2
3,84,RandTop,2,1,-1043.758,-1043.758,47
10,355,softmutate,4,2,-2087.515,-1043.758,10
11,377,Heredity,4,2,-2087.517,-1043.758,2
8,283,Random,4,2,-2087.494,-1043.747,2
12,423,Heredity,4,2,-2087.487,-1043.744,2
9,318,softmutate,4,2,-2087.473,-1043.737,2
12,414,Heredity,4,2,-2087.472,-1043.736,2
4,128,Heredity,4,2,-2087.469,-1043.734,2
4,134,softmutate,4,2,-2087.462,-1043.731,123
2,66,Random,4,2,-2087.452,-1043.726,11
5,147,Heredity,4,2,-2087.45,-1043.725,1
6,184,Heredity,4,2,-2087.45,-1043.725,12
1,32,Random,4,2,-2087.446,-1043.723,12
3,106,softmutate,4,2,-2087.44,-1043.72,2
8,262,Heredity,4,2,-2087.44,-1043.72,12
2,51,Heredity,2,1,-1043.719,-1043.719,65
1,21,RandTop,4,2,-2087.43,-1043.715,2
