Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,140,softmutate,4,2,-1228.159,-614.08,2
3,88,RandTop,2,1,-614.056,-614.056,2
5,144,keptBest,4,2,-1228.045,-614.023,11
7,239,Heredity,4,2,-1227.995,-613.998,8
3,105,Heredity,4,2,-1227.8,-613.9,38
4,141,Random,4,2,-1227.801,-613.9,8
8,268,Permutate,4,2,-1227.759,-613.88,6
3,86,Random,2,1,-613.88,-613.88,8
3,91,LatMutate,2,1,-613.878,-613.878,8
3,73,Random,2,1,-613.877,-613.877,8
1,11,RandTop,2,1,-613.877,-613.877,8
8,260,Random,2,1,-613.877,-613.877,8
3,85,Random,2,1,-613.876,-613.876,8
8,284,RandTop,4,2,-1227.749,-613.874,8
5,171,Permutate,2,1,-613.873,-613.873,8
1,24,Random,4,2,-1227.746,-613.873,11
8,274,Heredity,4,2,-1227.737,-613.868,2
6,203,softmutate,4,2,-1227.735,-613.867,2
8,273,Heredity,4,2,-1227.73,-613.865,38
7,231,Heredity,4,2,-1227.707,-613.854,1
5,154,Heredity,4,2,-1227.702,-613.851,2
3,101,Heredity,4,2,-1227.696,-613.848,1
5,164,Heredity,4,2,-1227.685,-613.843,51
4,136,RandTop,4,2,-1227.673,-613.836,2
3,103,Heredity,4,2,-1227.66,-613.83,2
1,19,Random,2,1,-613.823,-613.823,2
5,147,Heredity,4,2,-1227.645,-613.822,1
6,217,softmutate,4,2,-1227.626,-613.813,1
5,161,Random,2,1,-613.806,-613.806,1
6,210,softmutate,4,2,-1227.61,-613.805,2
4,134,Heredity,4,2,-1227.609,-613.805,2
2,62,Heredity,4,2,-1227.603,-613.801,2
1,31,RandTop,4,2,-1227.598,-613.799,1
3,97,RandTop,4,2,-1227.587,-613.794,1
1,28,RandTop,4,2,-1227.584,-613.792,1
6,209,LatMutate,4,2,-1227.577,-613.789,15
8,278,RandTop,2,1,-613.789,-613.789,1
2,57,Random,2,1,-613.781,-613.781,2
5,170,softmutate,4,2,-1227.561,-613.78,1
5,166,Random,4,2,-1227.543,-613.772,3
7,238,RandTop,2,1,-613.77,-613.77,2
1,27,RandTop,4,2,-1227.54,-613.77,2
2,53,softmutate,2,1,-613.769,-613.769,2
7,240,Heredity,4,2,-1227.535,-613.767,2
8,269,LatMutate,4,2,-1227.532,-613.766,2
3,104,LatMutate,4,2,-1227.533,-613.766,1
1,21,Random,4,2,-1227.522,-613.761,1
4,126,Random,2,1,-613.761,-613.761,1
5,176,softmutate,4,2,-1227.482,-613.741,8
5,153,Heredity,4,2,-1227.478,-613.739,2
7,244,softmutate,4,2,-1227.478,-613.739,12
2,68,softmutate,2,1,-613.733,-613.733,2
5,157,LatMutate,4,2,-1227.451,-613.726,2
8,289,softmutate,4,2,-1227.448,-613.724,8
1,29,RandTop,4,2,-1227.43,-613.715,4
2,36,keptBest,4,2,-1227.43,-613.715,4
5,165,Random,4,2,-1227.426,-613.713,31
5,167,RandTop,4,2,-1227.426,-613.713,31
1,20,Random,4,2,-1227.423,-613.711,31
6,184,Heredity,4,2,-1227.409,-613.705,2
8,263,Heredity,4,2,-1227.404,-613.702,2
8,291,Random,4,2,-1227.403,-613.702,1
3,96,Heredity,4,2,-1227.387,-613.694,2
3,76,Heredity,4,2,-1227.379,-613.689,2
4,138,softmutate,4,2,-1227.374,-613.687,2
8,288,RandTop,4,2,-1227.359,-613.679,8
2,37,Heredity,4,2,-1227.351,-613.676,2
6,198,softmutate,4,2,-1227.351,-613.676,2
3,95,Heredity,4,2,-1227.348,-613.674,2
3,102,Heredity,4,2,-1227.347,-613.674,2
8,276,softmutate,4,2,-1227.336,-613.668,2
4,121,softmutate,4,2,-1227.332,-613.666,2
5,169,softmutate,4,2,-1227.328,-613.664,2
3,81,softmutate,4,2,-1227.327,-613.663,2
5,173,LatMutate,4,2,-1227.316,-613.658,1
7,233,Random,4,2,-1227.24,-613.62,46
4,137,RandTop,4,2,-1227.228,-613.614,1
7,246,LatMutate,2,1,-613.591,-613.591,8
1,22,Random,2,1,-613.586,-613.586,8
6,187,Heredity,2,1,-613.585,-613.585,12
5,172,Heredity,4,2,-1227.155,-613.577,2
4,123,LatMutate,2,1,-613.568,-613.568,12
5,179,softmutate,4,2,-1227.119,-613.56,1
4,117,RandTop,2,1,-613.559,-613.559,8
2,52,Heredity,4,2,-1227.103,-613.552,2
2,46,RandTop,2,1,-613.544,-613.544,12
1,4,Random,2,1,-613.527,-613.527,12
2,41,Heredity,2,1,-613.524,-613.524,12
3,74,RandTop,2,1,-613.524,-613.524,12
2,54,softmutate,2,1,-613.523,-613.523,12
5,178,softmutate,4,2,-1226.907,-613.453,2
4,110,Heredity,4,2,-1226.858,-613.429,2
8,290,softmutate,4,2,-1226.818,-613.409,1
2,58,RandTop,2,1,-613.402,-613.402,12
1,14,RandTop,2,1,-613.394,-613.394,12
8,282,Random,4,2,-1226.778,-613.389,2
1,2,RandTop,2,1,-613.386,-613.386,2
4,118,RandTop,2,1,-613.385,-613.385,2
5,162,RandTop,2,1,-613.384,-613.384,12
1,32,Random,4,2,-1226.761,-613.38,2
1,1,Random,2,1,-613.294,-613.294,12
6,215,Permutate,4,2,-1226.485,-613.242,2
7,241,RandTop,4,2,-1226.335,-613.168,2
4,116,RandTop,2,1,-612.27,-612.27,10
