Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,164,keptBest,2,1,-607.942,-607.942,225
5,166,LatMutate,2,1,-607.894,-607.894,12
2,43,Random,2,1,-607.885,-607.885,10
5,160,Permutate,4,2,-1215.665,-607.832,2
2,62,RandTop,4,2,-1215.566,-607.783,164
1,8,Random,4,2,-1215.536,-607.768,10
1,16,RandTop,2,1,-607.742,-607.742,12
3,96,softmutate,4,2,-1215.481,-607.74,2
3,77,softmutate,4,2,-1215.475,-607.738,10
5,158,RandTop,4,2,-1215.472,-607.736,2
2,36,Permutate,4,2,-1215.47,-607.735,12
3,75,Permutate,4,2,-1215.469,-607.735,12
3,76,Permutate,4,2,-1215.466,-607.733,12
4,141,Heredity,4,2,-1215.45,-607.725,2
5,165,Permutate,2,1,-607.724,-607.724,2
5,179,Random,4,2,-1215.444,-607.722,2
2,65,RandTop,2,1,-607.719,-607.719,2
2,59,softmutate,4,2,-1215.437,-607.719,12
4,114,Heredity,2,1,-607.717,-607.717,2
1,14,RandTop,2,1,-607.717,-607.717,2
4,118,RandTop,2,1,-607.716,-607.716,2
2,42,Heredity,2,1,-607.716,-607.716,2
2,46,RandTop,2,1,-607.716,-607.716,2
5,157,Heredity,4,2,-1215.432,-607.716,1
1,9,Random,4,2,-1215.429,-607.715,12
3,97,LatMutate,2,1,-607.714,-607.714,2
4,117,Random,2,1,-607.713,-607.713,2
3,90,Heredity,4,2,-1215.427,-607.713,11
1,31,RandTop,4,2,-1215.425,-607.713,63
5,175,softmutate,4,2,-1215.422,-607.711,12
4,130,softmutate,4,2,-1215.423,-607.711,12
5,161,LatMutate,4,2,-1215.419,-607.71,12
5,148,Heredity,2,1,-607.709,-607.709,2
2,45,Random,2,1,-607.707,-607.707,164
3,86,RandTop,2,1,-607.706,-607.706,2
4,137,Random,2,1,-607.705,-607.705,12
3,88,Heredity,4,2,-1215.409,-607.704,10
3,89,Heredity,4,2,-1215.408,-607.704,12
4,128,Heredity,4,2,-1215.401,-607.701,12
4,133,softmutate,4,2,-1215.403,-607.701,2
3,95,softmutate,4,2,-1215.4,-607.7,2
4,127,Heredity,4,2,-1215.394,-607.697,12
3,80,Heredity,2,1,-607.696,-607.696,12
4,134,LatMutate,2,1,-607.696,-607.696,2
5,163,softmutate,4,2,-1215.388,-607.694,2
3,81,Heredity,2,1,-607.694,-607.694,12
5,173,softmutate,4,2,-1215.372,-607.686,11
4,116,Random,2,1,-607.685,-607.685,12
4,143,LatMutate,2,1,-607.684,-607.684,71
1,15,RandTop,2,1,-607.684,-607.684,2
4,112,softmutate,4,2,-1215.358,-607.679,1
5,152,Random,2,1,-607.679,-607.679,12
2,54,Random,4,2,-1215.356,-607.678,5
3,78,Heredity,2,1,-607.676,-607.676,12
1,26,Random,4,2,-1215.351,-607.676,2
2,60,RandTop,2,1,-607.672,-607.672,2
5,153,Random,2,1,-607.668,-607.668,12
5,177,softmutate,4,2,-1215.337,-607.668,2
3,85,Random,2,1,-607.668,-607.668,12
1,19,Random,4,2,-1215.331,-607.666,15
3,105,Random,4,2,-1215.329,-607.665,15
1,18,Random,4,2,-1215.329,-607.665,15
5,147,softmutate,4,2,-1215.323,-607.662,2
4,111,softmutate,4,2,-1215.321,-607.661,2
2,68,softmutate,4,2,-1215.321,-607.66,2
4,113,softmutate,4,2,-1215.319,-607.66,2
1,11,RandTop,4,2,-1215.313,-607.657,71
1,20,Random,4,2,-1215.312,-607.656,8
3,100,RandTop,4,2,-1215.297,-607.649,71
4,135,LatMutate,2,1,-607.647,-607.647,71
5,167,LatMutate,2,1,-607.645,-607.645,2
2,37,softmutate,4,2,-1215.289,-607.645,12
5,170,Heredity,4,2,-1215.284,-607.642,12
2,66,LatMutate,2,1,-607.632,-607.632,2
3,82,Heredity,2,1,-607.629,-607.629,71
2,38,Heredity,2,1,-607.628,-607.628,2
3,74,Random,4,2,-1215.256,-607.628,140
4,119,RandTop,2,1,-607.611,-607.611,2
5,171,Heredity,4,2,-1215.219,-607.61,2
2,52,Heredity,4,2,-1215.22,-607.61,2
5,156,Heredity,4,2,-1215.217,-607.609,2
4,122,Heredity,4,2,-1215.214,-607.607,2
2,64,softmutate,4,2,-1215.213,-607.606,2
1,12,Random,2,1,-607.606,-607.606,71
2,40,Heredity,2,1,-607.599,-607.599,69
4,120,Permutate,2,1,-607.599,-607.599,69
3,98,LatMutate,2,1,-607.598,-607.598,71
4,139,RandTop,2,1,-607.597,-607.597,71
1,22,RandTop,4,2,-1215.176,-607.588,63
3,106,softmutate,4,2,-1215.177,-607.588,10
2,61,Heredity,2,1,-607.587,-607.587,69
5,174,Random,4,2,-1215.167,-607.583,2
3,91,Heredity,4,2,-1215.156,-607.578,1
3,102,softmutate,4,2,-1215.153,-607.576,2
5,151,Heredity,2,1,-607.576,-607.576,12
1,32,RandTop,4,2,-1215.151,-607.576,2
2,57,softmutate,4,2,-1215.147,-607.574,2
4,125,Heredity,4,2,-1215.142,-607.571,2
2,63,LatMutate,4,2,-1215.116,-607.558,10
5,169,Heredity,2,1,-607.555,-607.555,12
4,142,softmutate,4,2,-1215.096,-607.548,11
5,180,RandTop,4,2,-1215.068,-607.534,12
1,1,Random,2,1,-607.531,-607.531,123
1,6,RandTop,2,1,-607.531,-607.531,123
3,87,RandTop,2,1,-607.531,-607.531,123
2,48,Heredity,4,2,-1215.059,-607.53,12
5,172,Random,4,2,-1215.056,-607.528,1
5,176,softmutate,4,2,-1215.05,-607.525,12
2,69,softmutate,4,2,-1215.02,-607.51,2
4,123,Heredity,4,2,-1214.972,-607.486,26
3,84,Random,2,1,-607.482,-607.482,123
1,3,Random,2,1,-607.48,-607.48,123
4,131,softmutate,4,2,-1214.952,-607.476,2
3,94,LatMutate,4,2,-1214.91,-607.455,5
1,10,Random,4,2,-1214.905,-607.452,15
4,138,Random,2,1,-607.447,-607.447,1
1,2,Random,2,1,-607.446,-607.446,47
5,178,Heredity,4,2,-1214.887,-607.444,8
1,25,Random,2,1,-607.44,-607.44,1
1,24,Random,2,1,-607.437,-607.437,2
3,103,softmutate,4,2,-1214.856,-607.428,59
4,110,Heredity,4,2,-1214.838,-607.419,63
2,67,RandTop,2,1,-607.371,-607.371,1
5,154,RandTop,2,1,-607.356,-607.356,164
5,155,RandTop,2,1,-607.353,-607.353,187
1,7,RandTop,2,1,-607.333,-607.333,12
