Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,293,keptBest,4,2,-491.032,-245.516,1
9,329,softmutate,4,2,-488.733,-244.367,1
3,85,RandTop,2,1,-244.319,-244.319,65
4,111,keptBest,2,1,-244.319,-244.319,65
5,156,keptBest,2,1,-244.319,-244.319,65
6,201,keptBest,2,1,-244.319,-244.319,65
7,231,keptBest,2,1,-244.319,-244.319,65
8,279,keptBest,2,1,-244.319,-244.319,65
9,318,keptBest,2,1,-244.319,-244.319,65
2,51,RandTop,2,1,-244.318,-244.318,65
3,89,keptBest,2,1,-244.318,-244.318,65
9,324,RandTop,4,2,-488.427,-244.213,2
6,206,Permutate,4,2,-488.354,-244.177,12
6,181,keptBest,4,2,-488.355,-244.177,12
8,256,keptBest,4,2,-488.355,-244.177,12
9,294,keptBest,4,2,-488.355,-244.177,12
5,142,keptBest,4,2,-488.355,-244.177,12
4,106,keptBest,4,2,-488.355,-244.177,12
3,68,keptBest,4,2,-488.355,-244.177,12
7,219,keptBest,4,2,-488.355,-244.177,12
2,33,keptBest,4,2,-488.355,-244.177,12
1,1,Random,4,2,-488.355,-244.177,12
8,276,Permutate,4,2,-488.353,-244.176,63
5,147,Permutate,4,2,-488.353,-244.176,12
5,146,RandTop,4,2,-488.35,-244.175,12
8,275,Permutate,4,2,-488.35,-244.175,63
9,296,RandTop,4,2,-488.347,-244.174,12
5,161,Permutate,4,2,-488.348,-244.174,12
7,237,Random,4,2,-488.341,-244.171,12
5,158,RandTop,4,2,-488.306,-244.153,15
8,267,Permutate,2,1,-244.101,-244.101,38
7,240,LatMutate,2,1,-244.086,-244.086,2
6,189,Random,2,1,-244.086,-244.086,2
1,12,RandTop,2,1,-244.086,-244.086,2
2,64,LatMutate,2,1,-244.081,-244.081,2
1,10,RandTop,2,1,-244.077,-244.077,38
2,35,keptBest,2,1,-244.077,-244.077,38
8,281,LatMutate,2,1,-244.074,-244.074,71
9,319,keptBest,2,1,-244.074,-244.074,71
6,202,keptBest,2,1,-244.065,-244.065,65
9,321,keptBest,2,1,-244.065,-244.065,65
7,232,keptBest,2,1,-244.065,-244.065,65
5,168,Heredity,2,1,-244.065,-244.065,65
8,283,keptBest,2,1,-244.065,-244.065,65
9,299,Heredity,2,1,-244.062,-244.062,65
5,159,keptBest,2,1,-244.061,-244.061,65
4,120,keptBest,2,1,-244.061,-244.061,65
1,22,Random,2,1,-244.061,-244.061,65
2,36,keptBest,2,1,-244.061,-244.061,65
3,91,keptBest,2,1,-244.061,-244.061,65
9,305,Heredity,2,1,-244.058,-244.058,2
4,138,softmutate,2,1,-244.045,-244.045,6
7,225,Heredity,2,1,-244.031,-244.031,2
9,308,RandTop,2,1,-244.02,-244.02,5
7,233,keptBest,2,1,-243.986,-243.986,12
8,284,keptBest,2,1,-243.986,-243.986,12
5,160,keptBest,2,1,-243.986,-243.986,12
8,268,Permutate,2,1,-243.986,-243.986,12
4,119,LatMutate,2,1,-243.986,-243.986,12
6,203,keptBest,2,1,-243.986,-243.986,12
4,121,keptBest,2,1,-243.985,-243.985,12
3,92,keptBest,2,1,-243.985,-243.985,12
5,150,Heredity,2,1,-243.985,-243.985,12
2,44,Heredity,2,1,-243.985,-243.985,12
8,262,Random,2,1,-243.985,-243.985,12
9,310,Permutate,2,1,-243.984,-243.984,12
9,302,Heredity,2,1,-243.984,-243.984,12
2,41,keptBest,2,1,-243.984,-243.984,12
6,196,LatMutate,2,1,-243.984,-243.984,12
1,4,Random,2,1,-243.984,-243.984,12
2,59,Permutate,2,1,-243.983,-243.983,12
3,82,Random,2,1,-243.983,-243.983,12
6,193,Permutate,2,1,-243.982,-243.982,12
9,311,Permutate,2,1,-243.981,-243.981,71
6,194,Permutate,2,1,-243.98,-243.98,71
4,117,Permutate,2,1,-243.971,-243.971,2
2,53,Heredity,4,2,-487.879,-243.939,2
8,274,RandTop,4,2,-487.853,-243.927,11
6,213,softmutate,4,2,-487.834,-243.917,12
4,133,LatMutate,2,1,-243.906,-243.906,5
5,153,Random,2,1,-243.884,-243.884,12
6,208,softmutate,2,1,-243.879,-243.879,65
3,96,LatMutate,2,1,-243.87,-243.87,2
5,166,Heredity,2,1,-243.857,-243.857,1
2,52,RandTop,2,1,-243.854,-243.854,2
8,266,Permutate,2,1,-243.844,-243.844,2
9,301,Heredity,2,1,-243.843,-243.843,1
3,97,Permutate,2,1,-243.832,-243.832,2
5,169,Permutate,2,1,-243.829,-243.829,2
4,107,keptBest,4,2,-487.655,-243.828,55
1,18,RandTop,4,2,-487.655,-243.828,55
3,69,keptBest,4,2,-487.655,-243.828,55
5,143,keptBest,4,2,-487.655,-243.828,55
2,34,keptBest,4,2,-487.655,-243.828,55
8,280,LatMutate,2,1,-243.826,-243.826,1
7,248,Permutate,4,2,-487.633,-243.816,2
3,79,softmutate,4,2,-487.628,-243.814,2
2,56,Permutate,4,2,-487.606,-243.803,2
6,204,Random,4,2,-487.592,-243.796,2
9,312,Permutate,2,1,-243.786,-243.786,10
5,177,softmutate,4,2,-487.57,-243.785,2
7,251,Random,4,2,-487.551,-243.776,2
6,216,RandTop,4,2,-487.548,-243.774,2
5,148,Heredity,2,1,-243.772,-243.772,12
7,243,Heredity,2,1,-243.769,-243.769,1
4,132,Permutate,2,1,-243.764,-243.764,1
9,313,Permutate,2,1,-243.761,-243.761,1
1,13,RandTop,2,1,-243.756,-243.756,12
1,25,Random,4,2,-487.51,-243.755,2
7,227,Random,2,1,-243.751,-243.751,1
1,9,Random,2,1,-243.748,-243.748,8
3,73,Heredity,4,2,-487.485,-243.743,2
3,93,Random,4,2,-487.487,-243.743,2
3,95,Permutate,2,1,-243.74,-243.74,8
3,80,Heredity,2,1,-243.726,-243.726,1
7,229,Permutate,2,1,-243.72,-243.72,1
8,277,softmutate,4,2,-487.424,-243.712,2
4,129,Heredity,2,1,-243.712,-243.712,2
5,167,Heredity,2,1,-243.709,-243.709,2
3,105,LatMutate,2,1,-243.709,-243.709,2
3,103,softmutate,4,2,-487.401,-243.7,1
9,300,Heredity,2,1,-243.692,-243.692,2
1,19,RandTop,4,2,-487.376,-243.688,2
8,272,Random,4,2,-487.374,-243.687,1
4,110,Heredity,4,2,-487.373,-243.687,2
1,16,Random,4,2,-487.372,-243.686,2
8,282,Heredity,2,1,-243.685,-243.685,2
7,250,LatMutate,2,1,-243.685,-243.685,6
9,328,LatMutate,2,1,-243.684,-243.684,2
5,170,Random,4,2,-487.368,-243.684,1
6,191,RandTop,2,1,-243.677,-243.677,12
3,87,RandTop,2,1,-243.676,-243.676,12
8,263,RandTop,2,1,-243.675,-243.675,12
3,78,softmutate,4,2,-487.35,-243.675,2
4,114,Random,2,1,-243.673,-243.673,2
7,239,softmutate,4,2,-487.347,-243.673,1
2,55,Random,4,2,-487.342,-243.671,2
6,211,Heredity,4,2,-487.339,-243.669,2
2,50,Random,2,1,-243.668,-243.668,12
5,152,Random,2,1,-243.667,-243.667,12
2,40,LatMutate,4,2,-487.329,-243.665,2
2,45,Heredity,2,1,-243.664,-243.664,1
8,259,Heredity,2,1,-243.664,-243.664,12
8,292,LatMutate,2,1,-243.664,-243.664,2
8,260,Heredity,2,1,-243.664,-243.664,12
6,217,softmutate,2,1,-243.664,-243.664,2
9,298,Heredity,2,1,-243.664,-243.664,12
2,46,Heredity,2,1,-243.664,-243.664,12
4,128,softmutate,2,1,-243.664,-243.664,12
2,49,Random,2,1,-243.664,-243.664,2
4,112,Heredity,2,1,-243.663,-243.663,2
1,7,Random,2,1,-243.659,-243.659,2
8,278,softmutate,4,2,-487.319,-243.659,2
2,62,softmutate,4,2,-487.302,-243.651,1
4,127,softmutate,4,2,-487.3,-243.65,2
4,131,Permutate,2,1,-243.65,-243.65,2
7,247,Permutate,2,1,-243.638,-243.638,1
4,141,softmutate,4,2,-487.273,-243.636,12
4,137,softmutate,4,2,-487.259,-243.63,2
6,195,LatMutate,2,1,-243.625,-243.625,12
6,185,Random,4,2,-487.245,-243.622,15
5,157,Random,4,2,-487.243,-243.621,15
7,244,Heredity,2,1,-243.616,-243.616,1
6,200,Heredity,4,2,-487.23,-243.615,2
9,315,Heredity,4,2,-487.227,-243.614,2
7,234,Heredity,4,2,-487.229,-243.614,2
5,145,Random,4,2,-487.228,-243.614,2
3,100,softmutate,4,2,-487.22,-243.61,1
7,223,Random,4,2,-487.219,-243.609,71
3,90,Heredity,4,2,-487.209,-243.604,2
5,149,Heredity,2,1,-243.604,-243.604,1
2,38,Heredity,4,2,-487.207,-243.603,8
2,58,softmutate,4,2,-487.183,-243.591,2
2,61,Heredity,4,2,-487.171,-243.585,2
6,214,softmutate,4,2,-487.166,-243.583,2
7,226,Heredity,2,1,-243.581,-243.581,1
2,39,Random,4,2,-487.163,-243.581,11
7,224,softmutate,4,2,-487.154,-243.577,11
1,3,Random,4,2,-487.155,-243.577,4
1,29,RandTop,4,2,-487.149,-243.574,1
2,66,RandTop,4,2,-487.136,-243.568,12
4,134,Heredity,4,2,-487.133,-243.567,1
6,199,Heredity,4,2,-487.132,-243.566,2
4,135,Random,4,2,-487.128,-243.564,1
3,76,softmutate,4,2,-487.126,-243.563,2
4,125,softmutate,4,2,-487.124,-243.562,2
7,254,softmutate,4,2,-487.122,-243.561,2
4,115,RandTop,2,1,-243.561,-243.561,12
9,327,softmutate,4,2,-487.118,-243.559,1
4,109,Heredity,4,2,-487.117,-243.558,12
7,222,Heredity,4,2,-487.114,-243.557,12
8,291,Random,4,2,-487.113,-243.557,2
9,297,softmutate,4,2,-487.103,-243.552,2
8,273,Random,4,2,-487.102,-243.551,36
9,307,Random,2,1,-243.55,-243.55,12
6,188,Random,2,1,-243.55,-243.55,12
9,306,Random,2,1,-243.549,-243.549,12
1,8,Random,2,1,-243.549,-243.549,12
9,326,Permutate,4,2,-487.087,-243.544,1
3,86,RandTop,2,1,-243.539,-243.539,1
7,235,Random,4,2,-487.079,-243.539,2
9,314,LatMutate,2,1,-243.539,-243.539,1
4,123,Heredity,4,2,-487.074,-243.537,2
1,24,Random,4,2,-487.071,-243.535,2
7,230,LatMutate,2,1,-243.531,-243.531,1
5,178,softmutate,4,2,-487.059,-243.53,2
6,187,Heredity,2,1,-243.529,-243.529,5
1,27,RandTop,4,2,-487.056,-243.528,11
7,252,RandTop,4,2,-487.047,-243.524,1
2,57,softmutate,4,2,-487.048,-243.524,4
1,11,RandTop,2,1,-243.522,-243.522,1
9,317,Random,4,2,-487.041,-243.521,2
4,126,softmutate,4,2,-487.038,-243.519,2
3,104,LatMutate,4,2,-487.032,-243.516,2
2,47,Heredity,2,1,-243.516,-243.516,2
3,94,softmutate,4,2,-487.028,-243.514,2
7,236,Random,4,2,-487.025,-243.512,11
7,228,RandTop,2,1,-243.512,-243.512,5
3,77,softmutate,4,2,-487.023,-243.511,2
7,253,softmutate,4,2,-487.018,-243.509,2
9,309,RandTop,2,1,-243.508,-243.508,12
9,322,LatMutate,2,1,-243.505,-243.505,5
4,108,Heredity,4,2,-487.004,-243.502,2
4,139,Random,4,2,-487.003,-243.501,1
6,186,Heredity,2,1,-243.5,-243.5,1
3,72,Heredity,4,2,-486.999,-243.499,2
5,171,RandTop,4,2,-486.998,-243.499,4
3,74,Heredity,4,2,-486.997,-243.498,2
1,6,Random,2,1,-243.497,-243.497,12
5,151,Random,2,1,-243.495,-243.495,12
1,21,Random,2,1,-243.495,-243.495,12
2,60,RandTop,2,1,-243.493,-243.493,1
9,323,Heredity,4,2,-486.983,-243.492,2
3,70,Heredity,4,2,-486.979,-243.489,2
1,30,RandTop,4,2,-486.975,-243.488,2
8,270,Heredity,4,2,-486.975,-243.488,14
6,215,Heredity,6,3,-730.463,-243.488,1
8,258,softmutate,4,2,-486.971,-243.486,2
6,182,Heredity,4,2,-486.962,-243.481,12
7,241,Heredity,2,1,-243.479,-243.479,1
8,285,Random,2,1,-243.479,-243.479,12
1,17,Random,4,2,-486.958,-243.479,72
1,23,Random,2,1,-243.477,-243.477,71
2,67,softmutate,4,2,-486.955,-243.477,4
7,249,softmutate,4,2,-486.955,-243.477,1
1,26,RandTop,4,2,-486.954,-243.477,2
1,20,Random,2,1,-243.477,-243.477,12
9,320,softmutate,4,2,-486.953,-243.477,2
1,15,Random,4,2,-486.951,-243.475,2
2,43,Heredity,2,1,-243.475,-243.475,1
2,42,Heredity,2,1,-243.475,-243.475,2
5,154,Random,2,1,-243.473,-243.473,2
8,287,Heredity,4,2,-486.947,-243.473,2
3,81,Heredity,2,1,-243.472,-243.472,12
7,245,Random,2,1,-243.469,-243.469,1
7,221,Heredity,4,2,-486.933,-243.467,11
6,192,RandTop,2,1,-243.465,-243.465,2
5,175,Random,4,2,-486.926,-243.463,2
4,136,RandTop,4,2,-486.923,-243.461,1
8,257,Heredity,4,2,-486.921,-243.461,2
8,269,Heredity,4,2,-486.923,-243.461,11
6,212,LatMutate,4,2,-486.922,-243.461,1
8,286,Heredity,4,2,-486.912,-243.456,2
6,197,softmutate,2,1,-243.455,-243.455,2
6,207,softmutate,2,1,-243.451,-243.451,2
1,31,RandTop,4,2,-486.896,-243.448,1
6,205,RandTop,4,2,-486.895,-243.447,1
7,238,RandTop,4,2,-486.89,-243.445,2
2,48,Heredity,2,1,-243.444,-243.444,2
4,130,Random,2,1,-243.443,-243.443,2
3,83,Random,2,1,-243.432,-243.432,38
2,63,softmutate,4,2,-486.851,-243.425,2
5,163,LatMutate,2,1,-243.422,-243.422,1
5,174,Heredity,4,2,-486.842,-243.421,2
8,261,Heredity,2,1,-243.416,-243.416,2
7,242,Heredity,2,1,-243.415,-243.415,2
3,101,RandTop,4,2,-486.827,-243.414,1
5,172,softmutate,4,2,-486.809,-243.405,1
3,88,Heredity,4,2,-486.81,-243.405,2
2,65,RandTop,4,2,-486.805,-243.403,5
5,173,softmutate,4,2,-486.78,-243.39,2
9,316,Random,4,2,-486.778,-243.389,2
9,325,Permutate,4,2,-486.775,-243.388,1
5,176,LatMutate,2,1,-243.377,-243.377,12
5,164,LatMutate,2,1,-243.376,-243.376,12
3,98,Random,4,2,-486.751,-243.375,6
3,99,Permutate,4,2,-486.748,-243.374,6
8,288,Random,4,2,-486.743,-243.372,51
1,32,RandTop,4,2,-486.738,-243.369,12
3,102,RandTop,4,2,-486.734,-243.367,2
9,295,RandTop,4,2,-486.733,-243.366,2
8,290,softmutate,4,2,-486.707,-243.354,2
4,118,LatMutate,2,1,-243.352,-243.352,2
4,113,Heredity,2,1,-243.352,-243.352,2
8,271,Heredity,4,2,-486.684,-243.342,2
1,2,Random,4,2,-486.652,-243.326,11
4,122,Heredity,4,2,-486.65,-243.325,11
5,155,Heredity,4,2,-486.649,-243.325,11
2,54,Heredity,4,2,-486.628,-243.314,12
1,28,RandTop,4,2,-486.627,-243.313,1
6,198,Heredity,4,2,-486.614,-243.307,11
6,190,RandTop,2,1,-243.282,-243.282,12
1,5,Random,2,1,-243.282,-243.282,12
4,116,RandTop,2,1,-243.281,-243.281,12
8,289,softmutate,4,2,-486.561,-243.28,2
6,210,Random,2,1,-243.251,-243.251,1
1,14,RandTop,2,1,-243.251,-243.251,8
6,209,Random,2,1,-243.246,-243.246,8
