Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,205,Permutate,2,1,-1844.918,-1844.918,191
4,108,keptBest,4,2,-3689.674,-1844.837,227
5,153,Heredity,2,1,-1844.696,-1844.696,12
5,145,keptBest,4,2,-3689.307,-1844.653,65
4,114,Permutate,4,2,-3689.307,-1844.653,65
6,183,keptBest,4,2,-3689.307,-1844.653,65
1,25,Random,4,2,-3689.304,-1844.652,65
3,71,keptBest,4,2,-3689.304,-1844.652,65
2,33,keptBest,4,2,-3689.304,-1844.652,65
4,109,keptBest,4,2,-3689.304,-1844.652,65
4,123,Random,2,1,-1844.649,-1844.649,12
5,173,Random,4,2,-3689.187,-1844.594,65
1,1,RandTop,4,2,-3689.179,-1844.589,65
3,77,Heredity,2,1,-1844.533,-1844.533,65
5,152,Heredity,2,1,-1844.521,-1844.521,191
6,192,RandTop,2,1,-1844.504,-1844.504,191
4,129,RandTop,4,2,-3688.972,-1844.486,65
1,18,RandTop,4,2,-3688.97,-1844.485,65
1,3,Random,2,1,-1844.455,-1844.455,12
3,106,RandTop,4,2,-3688.883,-1844.441,65
1,20,Random,2,1,-1844.435,-1844.435,1
4,110,keptBest,4,2,-3688.79,-1844.395,65
1,28,RandTop,4,2,-3688.79,-1844.395,65
2,34,keptBest,4,2,-3688.79,-1844.395,65
5,146,keptBest,4,2,-3688.79,-1844.395,65
3,72,keptBest,4,2,-3688.79,-1844.395,65
6,184,keptBest,4,2,-3688.79,-1844.395,65
5,176,Heredity,2,1,-1844.37,-1844.37,12
1,16,Random,4,2,-3688.703,-1844.351,63
6,185,keptBest,4,2,-3688.703,-1844.351,63
5,147,keptBest,4,2,-3688.703,-1844.351,63
4,111,keptBest,4,2,-3688.703,-1844.351,63
2,35,keptBest,4,2,-3688.703,-1844.351,63
3,73,keptBest,4,2,-3688.703,-1844.351,63
4,136,Random,2,1,-1844.322,-1844.322,12
2,44,RandTop,2,1,-1844.319,-1844.319,65
1,13,RandTop,2,1,-1844.318,-1844.318,65
1,15,RandTop,2,1,-1844.318,-1844.318,65
5,180,Permutate,4,2,-3688.59,-1844.295,12
6,207,LatMutate,2,1,-1844.294,-1844.294,12
5,179,Permutate,4,2,-3688.587,-1844.294,2
4,126,Heredity,4,2,-3688.585,-1844.293,65
6,209,Random,4,2,-3688.575,-1844.288,12
2,39,Heredity,2,1,-1844.287,-1844.287,65
6,217,RandTop,4,2,-3688.563,-1844.282,10
4,113,Heredity,4,2,-3688.549,-1844.274,191
3,97,Permutate,4,2,-3688.536,-1844.268,12
5,170,LatMutate,2,1,-1844.265,-1844.265,12
4,122,Heredity,2,1,-1844.256,-1844.256,65
3,74,Heredity,2,1,-1844.255,-1844.255,2
2,40,Heredity,2,1,-1844.245,-1844.245,12
2,42,Random,2,1,-1844.245,-1844.245,12
4,120,Heredity,2,1,-1844.238,-1844.238,12
2,37,Permutate,4,2,-3688.451,-1844.226,59
2,36,keptBest,4,2,-3688.427,-1844.214,12
1,29,Random,4,2,-3688.427,-1844.214,12
3,96,Permutate,4,2,-3688.427,-1844.213,2
2,62,Heredity,4,2,-3688.41,-1844.205,12
1,7,Random,2,1,-1844.203,-1844.203,65
2,66,softmutate,4,2,-3688.399,-1844.199,2
2,60,softmutate,4,2,-3688.391,-1844.196,12
1,9,RandTop,2,1,-1844.186,-1844.186,65
2,43,RandTop,2,1,-1844.183,-1844.183,65
3,98,Permutate,4,2,-3688.366,-1844.183,12
4,115,softmutate,4,2,-3688.363,-1844.182,11
1,14,RandTop,2,1,-1844.176,-1844.176,65
6,208,LatMutate,2,1,-1844.175,-1844.175,12
6,188,Heredity,4,2,-3688.351,-1844.175,11
3,88,Random,2,1,-1844.171,-1844.171,164
4,142,RandTop,4,2,-3688.33,-1844.165,11
6,211,Random,4,2,-3688.329,-1844.165,11
6,210,Random,4,2,-3688.329,-1844.164,11
3,80,Heredity,4,2,-3688.314,-1844.157,2
1,21,RandTop,2,1,-1844.154,-1844.154,164
