Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,181,keptBest,4,2,-833.833,-416.917,141
4,107,keptBest,4,2,-833.69,-416.845,12
3,69,keptBest,4,2,-833.591,-416.795,12
6,216,LatMutate,4,2,-833.516,-416.758,2
5,155,RandTop,4,2,-833.516,-416.758,10
7,220,keptBest,4,2,-833.432,-416.716,8
6,183,keptBest,4,2,-833.432,-416.716,8
5,179,softmutate,4,2,-833.432,-416.716,8
5,171,softmutate,4,2,-833.411,-416.705,2
3,103,RandTop,4,2,-833.401,-416.7,2
6,201,RandTop,2,1,-416.683,-416.683,2
4,126,Heredity,2,1,-416.683,-416.683,2
3,104,softmutate,4,2,-833.355,-416.678,2
4,142,softmutate,4,2,-833.357,-416.678,2
5,167,Random,4,2,-833.334,-416.667,1
6,187,Permutate,4,2,-833.321,-416.66,74
7,248,RandTop,4,2,-833.321,-416.66,12
1,30,RandTop,4,2,-833.307,-416.653,2
5,163,Heredity,4,2,-833.295,-416.647,2
3,83,softmutate,4,2,-833.293,-416.647,2
5,172,softmutate,4,2,-833.293,-416.647,2
3,78,Heredity,4,2,-833.285,-416.642,2
6,195,Heredity,4,2,-833.282,-416.641,2
2,50,Heredity,4,2,-833.276,-416.638,2
3,96,Random,4,2,-833.27,-416.635,2
6,210,Random,4,2,-833.269,-416.634,2
6,189,softmutate,4,2,-833.263,-416.631,2
6,207,Heredity,4,2,-833.258,-416.629,2
6,199,RandTop,2,1,-416.627,-416.627,12
7,229,keptBest,2,1,-416.627,-416.627,12
7,227,Heredity,2,1,-416.625,-416.625,12
2,62,softmutate,4,2,-833.246,-416.623,12
3,79,Heredity,4,2,-833.237,-416.619,2
3,75,softmutate,4,2,-833.223,-416.612,2
4,120,Heredity,4,2,-833.222,-416.611,2
4,134,Heredity,4,2,-833.218,-416.609,2
4,111,Heredity,4,2,-833.217,-416.609,2
6,191,Random,2,1,-416.602,-416.602,12
2,48,Permutate,2,1,-416.602,-416.602,12
2,47,Random,2,1,-416.602,-416.602,12
6,193,Random,2,1,-416.602,-416.602,12
5,156,Random,2,1,-416.602,-416.602,12
7,232,Random,2,1,-416.602,-416.602,12
5,164,softmutate,4,2,-833.203,-416.602,1
5,151,Random,2,1,-416.602,-416.602,12
1,1,Random,2,1,-416.602,-416.602,12
2,49,Heredity,2,1,-416.601,-416.601,12
5,157,Random,2,1,-416.601,-416.601,12
3,85,LatMutate,2,1,-416.601,-416.601,12
2,52,Random,4,2,-833.201,-416.601,2
5,152,Random,2,1,-416.601,-416.601,12
6,190,Random,2,1,-416.601,-416.601,12
6,192,Random,2,1,-416.601,-416.601,12
1,16,Random,2,1,-416.601,-416.601,12
1,9,Random,2,1,-416.601,-416.601,12
1,5,Random,2,1,-416.6,-416.6,12
2,43,Heredity,2,1,-416.6,-416.6,12
1,23,Random,2,1,-416.6,-416.6,12
3,98,LatMutate,2,1,-416.6,-416.6,12
3,93,softmutate,4,2,-833.2,-416.6,12
3,76,Heredity,2,1,-416.6,-416.6,12
2,44,Heredity,2,1,-416.599,-416.599,12
7,224,RandTop,4,2,-833.187,-416.594,191
5,173,Heredity,4,2,-833.181,-416.59,2
6,213,Permutate,4,2,-833.164,-416.582,2
2,41,Heredity,4,2,-833.165,-416.582,2
6,206,LatMutate,4,2,-833.162,-416.581,2
2,67,Permutate,4,2,-833.163,-416.581,4
5,170,softmutate,4,2,-833.156,-416.578,2
7,244,softmutate,4,2,-833.136,-416.568,2
4,108,keptBest,4,2,-833.113,-416.556,12
3,71,keptBest,4,2,-833.112,-416.556,12
2,34,keptBest,4,2,-833.112,-416.556,12
5,145,keptBest,4,2,-833.113,-416.556,12
1,26,RandTop,4,2,-833.112,-416.556,12
3,97,RandTop,4,2,-833.113,-416.556,12
5,177,Random,4,2,-833.077,-416.539,12
7,235,Heredity,4,2,-833.071,-416.536,2
5,148,Heredity,4,2,-833.065,-416.533,2
6,217,Heredity,4,2,-833.045,-416.522,1
2,55,softmutate,4,2,-833.017,-416.509,2
3,89,Permutate,4,2,-833.015,-416.507,2
6,205,Heredity,4,2,-832.959,-416.48,2
1,14,RandTop,4,2,-832.954,-416.477,164
6,184,keptBest,4,2,-832.954,-416.477,164
5,146,keptBest,4,2,-832.954,-416.477,164
3,72,keptBest,4,2,-832.954,-416.477,164
2,35,keptBest,4,2,-832.954,-416.477,164
7,221,keptBest,4,2,-832.954,-416.477,164
4,109,keptBest,4,2,-832.954,-416.477,164
4,110,keptBest,4,2,-832.928,-416.464,38
3,86,Heredity,4,2,-832.928,-416.464,38
5,147,keptBest,4,2,-832.928,-416.464,38
1,25,Random,4,2,-832.922,-416.461,38
2,36,keptBest,4,2,-832.922,-416.461,38
3,73,keptBest,4,2,-832.922,-416.461,38
1,17,RandTop,2,1,-416.46,-416.46,10
7,239,Heredity,4,2,-832.92,-416.46,1
4,119,RandTop,2,1,-416.459,-416.459,10
4,114,Random,4,2,-832.906,-416.453,38
6,197,keptBest,2,1,-416.438,-416.438,12
5,165,Permutate,2,1,-416.438,-416.438,12
4,141,softmutate,4,2,-832.873,-416.436,12
6,212,RandTop,4,2,-832.872,-416.436,15
3,99,RandTop,2,1,-416.435,-416.435,12
4,116,Permutate,4,2,-832.866,-416.433,2
2,59,RandTop,4,2,-832.807,-416.403,2
1,28,Random,4,2,-832.789,-416.395,55
7,242,RandTop,4,2,-832.782,-416.391,14
5,174,Heredity,4,2,-832.779,-416.39,1
1,29,RandTop,4,2,-832.723,-416.361,11
1,10,Random,2,1,-416.354,-416.354,12
6,202,RandTop,2,1,-416.354,-416.354,12
2,42,keptBest,2,1,-416.354,-416.354,12
1,11,RandTop,2,1,-416.353,-416.353,12
1,15,Random,2,1,-416.353,-416.353,12
1,12,RandTop,2,1,-416.352,-416.352,12
7,223,Random,4,2,-832.671,-416.336,59
6,186,Random,4,2,-832.671,-416.335,59
4,140,Permutate,4,2,-832.651,-416.325,2
2,68,softmutate,4,2,-832.647,-416.323,2
6,204,Random,4,2,-832.637,-416.318,2
1,2,Random,2,1,-416.316,-416.316,123
6,200,RandTop,2,1,-416.316,-416.316,123
1,3,Random,2,1,-416.315,-416.315,123
1,6,Random,2,1,-416.315,-416.315,123
1,4,Random,2,1,-416.315,-416.315,123
6,198,Heredity,4,2,-832.622,-416.311,2
3,82,Permutate,4,2,-832.609,-416.304,156
7,238,Heredity,4,2,-832.602,-416.301,6
1,22,RandTop,4,2,-832.598,-416.299,17
2,53,RandTop,4,2,-832.598,-416.299,17
5,150,Random,2,1,-416.299,-416.299,65
1,13,RandTop,2,1,-416.298,-416.298,65
6,194,Random,2,1,-416.297,-416.297,65
1,27,Random,4,2,-832.585,-416.293,4
4,137,LatMutate,4,2,-832.53,-416.265,2
7,237,Random,2,1,-416.264,-416.264,2
1,21,RandTop,4,2,-832.51,-416.255,2
3,87,Heredity,4,2,-832.507,-416.254,63
2,58,Random,2,1,-416.246,-416.246,12
5,159,RandTop,2,1,-416.236,-416.236,12
3,74,Random,4,2,-832.469,-416.235,127
3,95,Heredity,4,2,-832.447,-416.224,12
2,64,softmutate,4,2,-832.435,-416.217,1
2,63,LatMutate,4,2,-832.423,-416.212,2
6,214,softmutate,4,2,-832.422,-416.211,2
4,128,Random,4,2,-832.416,-416.208,8
6,209,Heredity,4,2,-832.408,-416.204,1
2,65,Random,4,2,-832.382,-416.191,1
