Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,109,keptBest,4,2,-1058.155,-529.078,122
4,139,Permutate,4,2,-1058.043,-529.022,12
5,175,Heredity,4,2,-1057.622,-528.811,11
5,152,Permutate,4,2,-1057.534,-528.767,10
4,129,Random,4,2,-1057.532,-528.766,10
3,83,Permutate,4,2,-1057.374,-528.687,2
2,61,RandTop,4,2,-1057.336,-528.668,1
5,169,Permutate,4,2,-1057.328,-528.664,11
4,142,Random,4,2,-1057.222,-528.611,11
3,106,Heredity,4,2,-1057.206,-528.603,2
5,176,Random,4,2,-1057.2,-528.6,2
3,73,keptBest,4,2,-1057.167,-528.584,2
2,57,softmutate,4,2,-1057.167,-528.584,2
5,148,keptBest,4,2,-1057.158,-528.579,164
3,87,Random,4,2,-1057.158,-528.579,164
4,111,keptBest,4,2,-1057.158,-528.579,164
5,149,keptBest,4,2,-1057.143,-528.571,4
4,136,RandTop,4,2,-1057.143,-528.571,4
2,34,keptBest,4,2,-1057.059,-528.53,2
1,29,Random,4,2,-1057.059,-528.53,2
5,173,Heredity,4,2,-1057.036,-528.518,2
1,31,Random,4,2,-1057.002,-528.501,11
2,50,Random,4,2,-1057.001,-528.501,2
2,35,keptBest,4,2,-1057.002,-528.501,11
2,56,softmutate,4,2,-1056.963,-528.481,12
2,42,Heredity,4,2,-1056.96,-528.48,2
5,182,softmutate,4,2,-1056.917,-528.459,2
5,150,keptBest,4,2,-1056.906,-528.453,2
4,140,softmutate,4,2,-1056.906,-528.453,2
5,155,Heredity,4,2,-1056.905,-528.452,2
4,145,softmutate,4,2,-1056.9,-528.45,2
1,7,RandTop,2,1,-528.437,-528.437,12
2,46,keptBest,2,1,-528.437,-528.437,12
1,27,RandTop,4,2,-1056.861,-528.431,10
4,138,Permutate,4,2,-1056.852,-528.426,2
5,164,softmutate,4,2,-1056.843,-528.422,8
5,172,Heredity,4,2,-1056.835,-528.418,2
3,81,keptBest,2,1,-528.417,-528.417,2
2,45,Permutate,2,1,-528.417,-528.417,2
4,120,keptBest,2,1,-528.417,-528.417,2
5,167,Random,4,2,-1056.832,-528.416,2
4,128,Permutate,2,1,-528.414,-528.414,2
5,154,Random,2,1,-528.406,-528.406,12
4,122,LatMutate,2,1,-528.405,-528.405,12
4,124,softmutate,2,1,-528.404,-528.404,12
4,123,softmutate,2,1,-528.404,-528.404,12
3,100,softmutate,4,2,-1056.802,-528.401,2
4,126,keptBest,2,1,-528.397,-528.397,164
3,82,keptBest,2,1,-528.397,-528.397,164
2,43,RandTop,2,1,-528.397,-528.397,164
4,115,RandTop,2,1,-528.396,-528.396,164
3,85,RandTop,2,1,-528.396,-528.396,164
3,101,Heredity,4,2,-1056.789,-528.394,2
2,70,softmutate,4,2,-1056.776,-528.388,2
1,30,RandTop,4,2,-1056.773,-528.386,2
5,165,RandTop,2,1,-528.382,-528.382,12
3,77,Random,2,1,-528.378,-528.378,12
3,79,Heredity,4,2,-1056.719,-528.36,12
3,99,RandTop,4,2,-1056.721,-528.36,12
4,144,RandTop,4,2,-1056.718,-528.359,4
5,157,Heredity,4,2,-1056.718,-528.359,12
1,9,Random,4,2,-1056.718,-528.359,12
1,26,RandTop,4,2,-1056.718,-528.359,12
2,69,Heredity,4,2,-1056.694,-528.347,2
2,66,Random,4,2,-1056.693,-528.346,11
2,67,RandTop,4,2,-1056.688,-528.344,11
3,103,Heredity,4,2,-1056.687,-528.343,2
