Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,179,keptBest,6,2,-534.644,-267.322,63
6,215,Heredity,6,2,-534.573,-267.286,8
5,153,Heredity,6,2,-534.318,-267.159,2
2,34,keptBest,6,2,-534.234,-267.117,63
1,30,RandTop,6,2,-534.234,-267.117,63
5,173,LatMutate,6,2,-534.226,-267.113,2
4,108,keptBest,6,2,-534.163,-267.081,11
6,181,keptBest,6,2,-534.163,-267.081,11
5,146,keptBest,6,2,-534.163,-267.081,11
7,218,keptBest,6,2,-534.163,-267.081,11
3,102,Heredity,6,2,-534.163,-267.081,11
7,244,Heredity,6,2,-534.154,-267.077,11
7,235,LatMutate,6,2,-534.155,-267.077,11
4,111,Heredity,6,2,-534.141,-267.071,36
9,323,softmutate,6,2,-534.141,-267.07,2
4,133,Heredity,6,2,-534.14,-267.07,2
7,245,Permutate,6,2,-534.137,-267.068,2
3,84,Heredity,6,2,-534.132,-267.066,2
6,209,Random,6,2,-534.106,-267.053,12
7,221,Permutate,6,2,-534.103,-267.052,12
3,71,keptBest,6,2,-534.102,-267.051,12
4,109,keptBest,6,2,-534.102,-267.051,12
4,125,softmutate,6,2,-534.102,-267.051,12
2,35,keptBest,6,2,-534.102,-267.051,12
1,13,Random,6,2,-534.102,-267.051,12
9,309,Random,6,2,-534.098,-267.049,12
6,182,keptBest,6,2,-534.055,-267.027,11
5,160,softmutate,6,2,-534.055,-267.027,11
7,219,keptBest,6,2,-534.055,-267.027,11
7,228,softmutate,6,2,-534.011,-267.006,8
3,77,Heredity,6,2,-533.907,-266.953,12
7,249,LatMutate,6,2,-533.893,-266.947,12
2,59,Heredity,6,2,-533.847,-266.924,11
3,72,keptBest,6,2,-533.847,-266.924,11
8,278,Heredity,6,2,-533.846,-266.923,11
7,222,Heredity,6,2,-533.844,-266.922,2
3,101,RandTop,6,2,-533.842,-266.921,11
2,56,Permutate,6,2,-533.84,-266.92,2
8,262,LatMutate,6,2,-533.84,-266.92,2
5,171,Heredity,6,2,-533.839,-266.92,2
6,206,Heredity,6,2,-533.84,-266.92,2
3,92,Heredity,6,2,-533.839,-266.92,2
9,300,Heredity,6,2,-533.838,-266.919,2
7,248,softmutate,6,2,-533.837,-266.918,2
4,135,RandTop,6,2,-533.837,-266.918,2
5,172,Permutate,6,2,-533.834,-266.917,2
5,155,Random,6,2,-533.834,-266.917,65
9,306,softmutate,6,2,-533.833,-266.917,2
3,86,Heredity,6,2,-533.834,-266.917,2
8,273,LatMutate,6,2,-533.835,-266.917,2
5,149,Heredity,6,2,-533.833,-266.916,65
3,79,LatMutate,6,2,-533.831,-266.916,65
8,279,Heredity,6,2,-533.801,-266.9,8
9,320,Heredity,6,2,-533.765,-266.882,12
9,316,Heredity,6,2,-533.762,-266.881,12
8,287,Random,6,2,-533.734,-266.867,2
4,132,Heredity,6,2,-533.722,-266.861,11
4,120,Heredity,6,2,-533.708,-266.854,12
4,130,Heredity,6,2,-533.709,-266.854,12
5,175,softmutate,6,2,-533.707,-266.854,2
6,203,softmutate,6,2,-533.707,-266.853,1
3,74,softmutate,6,2,-533.706,-266.853,12
2,65,Heredity,6,2,-533.705,-266.853,2
1,25,RandTop,6,2,-533.697,-266.848,11
2,36,keptBest,6,2,-533.697,-266.848,11
4,140,softmutate,6,2,-533.695,-266.848,2
8,285,Heredity,6,2,-533.694,-266.847,12
3,76,Heredity,6,2,-533.69,-266.845,12
2,37,keptBest,6,2,-533.687,-266.843,2
1,29,Random,6,2,-533.687,-266.843,2
8,272,LatMutate,6,2,-533.684,-266.842,2
6,207,Heredity,6,2,-533.684,-266.842,2
6,199,Random,6,2,-533.683,-266.842,2
2,41,softmutate,6,2,-533.684,-266.842,2
4,113,Heredity,6,2,-533.684,-266.842,2
4,126,softmutate,6,2,-533.685,-266.842,2
4,121,Heredity,6,2,-533.683,-266.842,2
6,210,Random,6,2,-533.683,-266.841,2
5,177,Random,6,2,-533.682,-266.841,2
5,161,softmutate,6,2,-533.682,-266.841,2
3,73,softmutate,6,2,-533.682,-266.841,2
6,190,Heredity,6,2,-533.682,-266.841,2
7,231,Heredity,6,2,-533.682,-266.841,2
8,263,LatMutate,6,2,-533.681,-266.84,2
5,157,LatMutate,6,2,-533.677,-266.838,12
8,274,softmutate,6,2,-533.674,-266.837,12
6,202,LatMutate,6,2,-533.669,-266.835,63
8,266,Heredity,6,2,-533.67,-266.835,63
6,185,Heredity,6,2,-533.651,-266.825,51
1,27,Random,6,2,-533.647,-266.823,12
1,11,RandTop,6,2,-533.624,-266.812,6
2,66,Random,6,2,-533.613,-266.807,2
3,94,Random,6,2,-533.596,-266.798,1
8,280,Random,6,2,-533.594,-266.797,1
2,52,LatMutate,3,1,-266.797,-266.797,6
1,4,RandTop,3,1,-266.796,-266.796,6
6,192,Heredity,6,2,-533.59,-266.795,36
2,54,Heredity,6,2,-533.587,-266.793,1
1,18,RandTop,6,2,-533.586,-266.793,10
9,313,RandTop,6,2,-533.583,-266.792,10
9,298,Heredity,6,2,-533.58,-266.79,10
8,283,LatMutate,6,2,-533.581,-266.79,6
4,129,Heredity,6,2,-533.578,-266.789,10
9,302,Heredity,6,2,-533.568,-266.784,2
3,93,Heredity,6,2,-533.561,-266.781,8
9,303,Random,6,2,-533.556,-266.778,63
5,156,Permutate,6,2,-533.557,-266.778,12
1,10,Random,6,2,-533.554,-266.777,63
4,141,softmutate,6,2,-533.553,-266.777,63
6,201,LatMutate,6,2,-533.552,-266.776,2
2,57,softmutate,6,2,-533.552,-266.776,63
3,75,softmutate,6,2,-533.538,-266.769,12
4,115,Permutate,6,2,-533.537,-266.768,12
2,39,Heredity,6,2,-533.512,-266.756,10
8,269,RandTop,6,2,-533.486,-266.743,11
8,268,Heredity,6,2,-533.477,-266.739,2
6,208,Heredity,6,2,-533.467,-266.734,2
6,191,Heredity,6,2,-533.455,-266.727,10
7,243,RandTop,3,1,-266.722,-266.722,6
2,62,RandTop,6,2,-533.443,-266.722,8
1,28,Random,6,2,-533.441,-266.72,6
