Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,171,Permutate,6,2,-1133.493,-566.746,123
5,162,softmutate,6,2,-1133.456,-566.728,67
5,158,Permutate,6,2,-1133.292,-566.646,12
4,130,Permutate,6,2,-1133.112,-566.556,59
3,86,keptBest,3,1,-566.542,-566.542,65
2,38,RandTop,3,1,-566.542,-566.542,65
4,117,keptBest,3,1,-566.542,-566.542,65
5,174,Random,6,2,-1133.075,-566.538,63
4,119,Heredity,6,2,-1133.068,-566.534,63
3,99,Heredity,6,2,-1133.057,-566.529,59
2,54,RandTop,3,1,-566.528,-566.528,123
4,142,softmutate,6,2,-1133.054,-566.527,11
4,125,softmutate,6,2,-1133.054,-566.527,63
3,82,softmutate,6,2,-1133.041,-566.52,2
3,103,Permutate,6,2,-1133.029,-566.515,6
4,136,Random,6,2,-1132.995,-566.498,15
2,65,softmutate,6,2,-1132.991,-566.496,11
5,163,softmutate,6,2,-1132.992,-566.496,2
3,101,Random,6,2,-1132.988,-566.494,2
4,143,softmutate,6,2,-1132.983,-566.492,129
2,63,Permutate,6,2,-1132.982,-566.491,11
4,138,Permutate,6,2,-1132.981,-566.491,2
5,176,Permutate,6,2,-1132.982,-566.491,11
3,94,softmutate,6,2,-1132.964,-566.482,2
5,154,Heredity,6,2,-1132.951,-566.475,11
5,146,keptBest,6,2,-1132.938,-566.469,11
4,123,softmutate,6,2,-1132.938,-566.469,11
5,160,softmutate,6,2,-1132.934,-566.467,15
4,135,softmutate,6,2,-1132.921,-566.46,11
3,83,softmutate,6,2,-1132.921,-566.46,10
2,49,LatMutate,3,1,-566.458,-566.458,2
4,126,LatMutate,3,1,-566.454,-566.454,2
2,42,Heredity,6,2,-1132.889,-566.445,47
4,113,Heredity,3,1,-566.436,-566.436,123
3,87,keptBest,3,1,-566.436,-566.436,123
2,52,keptBest,3,1,-566.436,-566.436,123
1,8,Random,3,1,-566.436,-566.436,123
4,118,keptBest,3,1,-566.436,-566.436,123
1,3,Random,3,1,-566.434,-566.434,123
1,7,Random,3,1,-566.434,-566.434,123
1,5,Random,3,1,-566.434,-566.434,123
2,50,Random,3,1,-566.434,-566.434,10
4,131,LatMutate,3,1,-566.431,-566.431,65
5,148,Heredity,3,1,-566.431,-566.431,47
1,32,RandTop,6,2,-1132.859,-566.43,1
2,35,Random,3,1,-566.43,-566.43,65
5,180,softmutate,6,2,-1132.861,-566.43,12
1,12,RandTop,3,1,-566.429,-566.429,65
2,53,keptBest,3,1,-566.429,-566.429,65
4,134,RandTop,6,2,-1132.859,-566.429,13
2,37,RandTop,3,1,-566.429,-566.429,65
1,11,RandTop,3,1,-566.426,-566.426,47
2,39,Permutate,3,1,-566.426,-566.426,65
3,74,Permutate,3,1,-566.426,-566.426,65
1,1,Random,6,2,-1132.849,-566.425,12
5,150,Random,3,1,-566.424,-566.424,221
3,75,Permutate,3,1,-566.424,-566.424,221
2,36,RandTop,3,1,-566.422,-566.422,221
2,64,softmutate,6,2,-1132.838,-566.419,67
4,132,Heredity,6,2,-1132.831,-566.416,11
2,67,Random,6,2,-1132.83,-566.415,2
1,20,RandTop,6,2,-1132.817,-566.409,123
5,167,Random,3,1,-566.407,-566.407,10
3,106,softmutate,6,2,-1132.812,-566.406,51
2,48,softmutate,6,2,-1132.81,-566.405,51
4,133,Random,6,2,-1132.789,-566.395,2
1,19,RandTop,6,2,-1132.79,-566.395,51
