Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,149,keptBest,3,1,-859.426,-859.426,12
2,69,softmutate,6,2,-1718.551,-859.275,31
4,136,Heredity,6,2,-1718.385,-859.193,12
5,169,Heredity,6,2,-1718.359,-859.179,59
3,70,keptBest,6,2,-1718.175,-859.088,11
5,142,keptBest,6,2,-1718.175,-859.088,11
2,33,keptBest,6,2,-1718.175,-859.088,11
1,26,RandTop,6,2,-1718.175,-859.088,11
4,106,keptBest,6,2,-1718.175,-859.088,11
1,21,RandTop,6,2,-1718.17,-859.085,63
2,34,keptBest,6,2,-1718.17,-859.085,63
5,168,Permutate,6,2,-1718.149,-859.074,63
3,103,Permutate,6,2,-1718.137,-859.068,12
3,93,RandTop,6,2,-1718.129,-859.065,63
1,25,RandTop,6,2,-1718.121,-859.061,11
3,87,Heredity,6,2,-1718.118,-859.059,63
2,56,Heredity,6,2,-1718.109,-859.054,63
5,143,keptBest,6,2,-1718.097,-859.049,51
4,107,keptBest,6,2,-1718.097,-859.049,51
3,71,keptBest,6,2,-1718.097,-859.049,51
1,15,Random,6,2,-1718.097,-859.049,51
2,35,keptBest,6,2,-1718.097,-859.049,51
2,58,softmutate,6,2,-1718.08,-859.04,2
4,134,Permutate,6,2,-1718.079,-859.039,2
5,164,Random,6,2,-1718.036,-859.018,63
2,36,keptBest,6,2,-1718.018,-859.009,12
1,32,RandTop,6,2,-1718.018,-859.009,12
4,132,Heredity,6,2,-1718.012,-859.006,12
1,29,RandTop,6,2,-1718.001,-859.001,11
2,42,Heredity,6,2,-1718.0,-859.0,1
5,178,softmutate,6,2,-1717.966,-858.983,12
3,97,Permutate,6,2,-1717.942,-858.971,1
2,66,softmutate,6,2,-1717.935,-858.968,12
5,162,Heredity,6,2,-1717.902,-858.951,1
2,65,RandTop,6,2,-1717.88,-858.94,11
2,55,Heredity,6,2,-1717.88,-858.94,2
3,95,softmutate,6,2,-1717.875,-858.938,12
4,126,Heredity,6,2,-1717.857,-858.928,12
4,120,Random,6,2,-1717.853,-858.927,140
5,144,keptBest,6,2,-1717.853,-858.927,140
2,54,Random,6,2,-1717.852,-858.926,140
4,108,keptBest,6,2,-1717.852,-858.926,140
3,72,keptBest,6,2,-1717.852,-858.926,140
2,52,Heredity,6,2,-1717.846,-858.923,2
3,88,softmutate,6,2,-1717.837,-858.919,12
3,77,RandTop,3,1,-858.911,-858.911,38
2,60,LatMutate,6,2,-1717.812,-858.906,12
2,41,Random,3,1,-858.9,-858.9,123
1,5,Random,3,1,-858.9,-858.9,123
3,74,Random,3,1,-858.9,-858.9,123
4,135,Heredity,6,2,-1717.794,-858.897,11
2,48,RandTop,3,1,-858.893,-858.893,10
5,172,softmutate,6,2,-1717.784,-858.892,2
3,105,Heredity,6,2,-1717.76,-858.88,12
1,6,RandTop,3,1,-858.878,-858.878,12
4,110,keptBest,3,1,-858.878,-858.878,12
2,37,Heredity,3,1,-858.878,-858.878,12
3,78,keptBest,3,1,-858.878,-858.878,12
5,151,keptBest,3,1,-858.878,-858.878,12
3,75,Random,3,1,-858.877,-858.877,12
4,112,Heredity,3,1,-858.877,-858.877,12
2,59,Heredity,6,2,-1717.734,-858.867,2
5,154,LatMutate,3,1,-858.862,-858.862,12
4,121,RandTop,6,2,-1717.712,-858.856,11
5,177,Permutate,6,2,-1717.668,-858.834,8
2,68,softmutate,6,2,-1717.662,-858.831,11
3,81,RandTop,3,1,-858.827,-858.827,123
1,17,RandTop,6,2,-1717.625,-858.813,71
4,123,LatMutate,3,1,-858.811,-858.811,123
3,83,LatMutate,3,1,-858.802,-858.802,123
3,101,Heredity,6,2,-1717.594,-858.797,71
5,157,LatMutate,3,1,-858.795,-858.795,2
4,124,RandTop,3,1,-858.794,-858.794,1
2,63,Permutate,6,2,-1717.584,-858.792,12
4,111,Heredity,3,1,-858.782,-858.782,38
5,155,Heredity,6,2,-1717.561,-858.781,11
1,20,RandTop,6,2,-1717.552,-858.776,4
5,152,RandTop,3,1,-858.774,-858.774,8
1,4,Random,3,1,-858.758,-858.758,12
3,91,Heredity,6,2,-1717.449,-858.724,2
5,167,RandTop,6,2,-1717.443,-858.722,4
5,163,Heredity,6,2,-1717.444,-858.722,2
5,158,softmutate,3,1,-858.72,-858.72,5
