Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,27,Random,6,2,-3606.353,-1803.176,221
4,124,Permutate,6,2,-3606.246,-1803.123,65
3,71,keptBest,3,1,-1802.975,-1802.975,123
4,132,keptBest,3,1,-1802.975,-1802.975,123
2,48,RandTop,3,1,-1802.975,-1802.975,123
5,160,keptBest,3,1,-1802.975,-1802.975,123
1,8,RandTop,3,1,-1802.971,-1802.971,10
2,36,keptBest,3,1,-1802.971,-1802.971,10
2,64,Permutate,6,2,-3605.94,-1802.97,2
3,69,keptBest,6,2,-3605.94,-1802.97,2
5,143,Heredity,3,1,-1802.96,-1802.96,69
4,137,Permutate,6,2,-3605.917,-1802.958,12
2,42,Heredity,3,1,-1802.956,-1802.956,69
4,108,Heredity,3,1,-1802.952,-1802.952,69
2,63,RandTop,6,2,-3605.89,-1802.945,10
2,37,keptBest,3,1,-1802.943,-1802.943,123
1,6,RandTop,3,1,-1802.943,-1802.943,123
4,116,RandTop,3,1,-1802.943,-1802.943,123
3,76,Random,3,1,-1802.942,-1802.942,123
1,30,RandTop,6,2,-3605.872,-1802.936,129
2,35,keptBest,6,2,-3605.872,-1802.936,129
1,13,Random,3,1,-1802.934,-1802.934,123
3,78,RandTop,3,1,-1802.931,-1802.931,123
3,87,Random,3,1,-1802.93,-1802.93,123
5,155,Permutate,6,2,-3605.845,-1802.923,65
1,32,RandTop,6,2,-3605.829,-1802.915,2
2,54,Random,6,2,-3605.821,-1802.911,47
5,170,Random,6,2,-3605.821,-1802.911,47
4,121,LatMutate,3,1,-1802.907,-1802.907,2
4,136,Random,6,2,-3605.786,-1802.893,12
4,128,LatMutate,3,1,-1802.89,-1802.89,12
2,55,RandTop,6,2,-3605.773,-1802.887,69
1,4,Random,3,1,-1802.887,-1802.887,47
1,25,Random,6,2,-3605.764,-1802.882,69
1,18,Random,6,2,-3605.748,-1802.874,47
3,94,Random,6,2,-3605.72,-1802.86,12
4,127,LatMutate,3,1,-1802.85,-1802.85,65
1,1,Random,3,1,-1802.847,-1802.847,65
4,118,RandTop,3,1,-1802.844,-1802.844,65
5,147,RandTop,3,1,-1802.843,-1802.843,65
1,21,RandTop,6,2,-3605.687,-1802.843,13
3,77,Random,3,1,-1802.839,-1802.839,65
2,61,RandTop,6,2,-3605.666,-1802.833,13
1,3,Random,3,1,-1802.832,-1802.832,187
4,119,LatMutate,3,1,-1802.822,-1802.822,65
1,31,Random,6,2,-3605.637,-1802.819,63
5,167,LatMutate,3,1,-1802.816,-1802.816,65
4,106,Heredity,3,1,-1802.806,-1802.806,65
5,156,softmutate,6,2,-3605.601,-1802.8,2
3,80,Heredity,6,2,-3605.594,-1802.797,12
1,5,Random,3,1,-1802.796,-1802.796,65
5,148,RandTop,3,1,-1802.793,-1802.793,65
3,86,Heredity,3,1,-1802.792,-1802.792,65
1,10,Random,6,2,-3605.574,-1802.787,221
4,113,Heredity,3,1,-1802.787,-1802.787,65
4,138,softmutate,6,2,-3605.572,-1802.786,11
3,92,LatMutate,3,1,-1802.772,-1802.772,65
4,112,Heredity,3,1,-1802.771,-1802.771,65
5,144,Heredity,3,1,-1802.771,-1802.771,12
4,120,LatMutate,3,1,-1802.768,-1802.768,47
3,72,Heredity,3,1,-1802.766,-1802.766,12
2,39,Heredity,3,1,-1802.765,-1802.765,12
5,162,Heredity,6,2,-3605.523,-1802.762,12
1,12,Random,3,1,-1802.761,-1802.761,47
5,142,Heredity,3,1,-1802.759,-1802.759,12
3,81,Heredity,6,2,-3605.516,-1802.758,63
5,157,LatMutate,3,1,-1802.752,-1802.752,2
2,44,Random,3,1,-1802.749,-1802.749,187
1,11,Random,3,1,-1802.748,-1802.748,65
2,58,softmutate,6,2,-3605.48,-1802.74,2
1,14,Random,3,1,-1802.736,-1802.736,65
1,22,RandTop,6,2,-3605.471,-1802.735,59
5,169,Random,6,2,-3605.466,-1802.733,59
2,62,Random,6,2,-3605.459,-1802.73,9
3,98,RandTop,6,2,-3605.441,-1802.72,11
3,93,Random,3,1,-1802.719,-1802.719,47
1,7,RandTop,3,1,-1802.716,-1802.716,123
1,2,Random,3,1,-1802.715,-1802.715,123
4,110,Heredity,3,1,-1802.702,-1802.702,2
2,52,Random,3,1,-1802.7,-1802.7,2
