Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,361,Permutate,6,2,-1280.206,-640.103,156
6,185,Permutate,6,2,-1279.334,-639.667,164
10,352,Permutate,6,2,-1279.332,-639.666,160
8,291,Heredity,6,2,-1279.314,-639.657,160
10,354,Heredity,6,2,-1279.31,-639.655,187
10,365,Heredity,6,2,-1279.261,-639.631,160
9,328,Heredity,6,2,-1279.201,-639.601,8
5,151,keptBest,3,1,-639.598,-639.598,8
4,127,Permutate,3,1,-639.598,-639.598,8
6,192,keptBest,3,1,-639.598,-639.598,8
7,223,Heredity,3,1,-639.597,-639.597,8
6,184,Heredity,3,1,-639.595,-639.595,8
9,302,Heredity,3,1,-639.595,-639.595,8
3,79,keptBest,3,1,-639.594,-639.594,8
4,121,keptBest,3,1,-639.594,-639.594,8
2,44,LatMutate,3,1,-639.594,-639.594,8
7,227,LatMutate,3,1,-639.593,-639.593,8
6,209,softmutate,3,1,-639.592,-639.592,8
7,228,LatMutate,3,1,-639.59,-639.59,8
6,204,Heredity,6,2,-1279.177,-639.588,160
9,321,softmutate,6,2,-1279.173,-639.586,166
9,301,Random,3,1,-639.584,-639.584,8
2,39,Heredity,3,1,-639.568,-639.568,156
4,110,Heredity,3,1,-639.567,-639.567,156
1,5,Random,3,1,-639.565,-639.565,156
3,86,LatMutate,3,1,-639.565,-639.565,156
2,45,keptBest,3,1,-639.565,-639.565,156
5,173,Permutate,6,2,-1279.131,-639.565,156
8,264,Permutate,3,1,-639.565,-639.565,156
8,260,Heredity,3,1,-639.565,-639.565,156
2,42,RandTop,3,1,-639.565,-639.565,156
8,270,RandTop,3,1,-639.564,-639.564,156
4,120,LatMutate,3,1,-639.561,-639.561,156
5,155,LatMutate,3,1,-639.56,-639.56,156
8,289,LatMutate,3,1,-639.558,-639.558,156
7,238,RandTop,3,1,-639.557,-639.557,156
2,54,Permutate,3,1,-639.556,-639.556,156
3,99,LatMutate,3,1,-639.552,-639.552,156
5,179,softmutate,6,2,-1279.096,-639.548,160
6,180,keptBest,6,2,-1279.096,-639.548,160
9,294,keptBest,6,2,-1279.096,-639.548,160
7,219,keptBest,6,2,-1279.096,-639.548,160
8,256,keptBest,6,2,-1279.096,-639.548,160
10,363,LatMutate,6,2,-1279.077,-639.538,1
5,150,LatMutate,3,1,-639.534,-639.534,160
7,226,Permutate,3,1,-639.534,-639.534,160
3,77,Permutate,3,1,-639.532,-639.532,160
6,186,Heredity,3,1,-639.529,-639.529,160
4,130,Permutate,6,2,-1279.047,-639.523,156
10,355,Heredity,6,2,-1279.021,-639.511,156
9,330,softmutate,6,2,-1278.924,-639.462,166
7,232,Permutate,6,2,-1278.918,-639.459,160
9,329,softmutate,6,2,-1278.905,-639.452,166
7,249,Heredity,6,2,-1278.899,-639.449,160
8,277,Heredity,6,2,-1278.885,-639.443,31
9,295,keptBest,6,2,-1278.885,-639.443,31
10,332,keptBest,6,2,-1278.885,-639.443,31
9,326,Heredity,6,2,-1278.883,-639.442,1
8,268,Heredity,6,2,-1278.883,-639.441,31
3,73,Heredity,3,1,-639.429,-639.429,160
4,142,softmutate,6,2,-1278.841,-639.42,160
5,143,keptBest,6,2,-1278.841,-639.42,160
7,252,softmutate,6,2,-1278.775,-639.388,2
2,69,softmutate,6,2,-1278.735,-639.367,12
8,278,Heredity,6,2,-1278.654,-639.327,8
5,163,softmutate,6,2,-1278.65,-639.325,12
6,207,Heredity,6,2,-1278.643,-639.322,156
10,360,Heredity,6,2,-1278.637,-639.319,8
9,296,keptBest,6,2,-1278.591,-639.295,11
10,333,keptBest,6,2,-1278.591,-639.295,11
8,257,keptBest,6,2,-1278.591,-639.295,11
6,213,Heredity,6,2,-1278.591,-639.295,11
7,220,keptBest,6,2,-1278.591,-639.295,11
9,303,RandTop,6,2,-1278.577,-639.289,11
6,212,softmutate,6,2,-1278.531,-639.266,2
5,148,Permutate,6,2,-1278.506,-639.253,8
4,118,Permutate,6,2,-1278.506,-639.253,8
10,357,Heredity,6,2,-1278.481,-639.241,12
8,258,keptBest,6,2,-1278.481,-639.24,12
2,58,softmutate,6,2,-1278.481,-639.24,12
9,297,keptBest,6,2,-1278.481,-639.24,12
7,221,keptBest,6,2,-1278.481,-639.24,12
6,181,keptBest,6,2,-1278.481,-639.24,12
10,334,keptBest,6,2,-1278.481,-639.24,12
3,70,keptBest,6,2,-1278.481,-639.24,12
4,107,keptBest,6,2,-1278.481,-639.24,12
5,144,keptBest,6,2,-1278.481,-639.24,12
7,244,Heredity,6,2,-1278.477,-639.239,12
4,140,softmutate,6,2,-1278.469,-639.234,8
6,182,keptBest,6,2,-1278.466,-639.233,8
5,154,Permutate,6,2,-1278.466,-639.233,8
8,259,keptBest,6,2,-1278.466,-639.233,8
7,222,keptBest,6,2,-1278.466,-639.233,8
5,159,Heredity,3,1,-639.216,-639.216,1
9,309,Permutate,6,2,-1278.433,-639.216,10
6,215,Heredity,6,2,-1278.431,-639.216,1
5,162,RandTop,6,2,-1278.431,-639.215,10
6,183,keptBest,6,2,-1278.431,-639.215,10
9,315,softmutate,6,2,-1278.419,-639.209,8
6,190,Heredity,6,2,-1278.411,-639.205,119
5,153,Heredity,6,2,-1278.41,-639.205,119
6,191,Heredity,6,2,-1278.404,-639.202,119
7,248,Heredity,6,2,-1278.39,-639.195,10
9,323,Heredity,6,2,-1278.382,-639.191,59
10,335,keptBest,6,2,-1278.382,-639.191,59
8,283,softmutate,6,2,-1278.377,-639.189,8
7,240,Heredity,6,2,-1278.376,-639.188,1
2,68,Heredity,6,2,-1278.377,-639.188,2
4,108,keptBest,6,2,-1278.361,-639.181,12
3,96,Heredity,6,2,-1278.361,-639.181,12
5,145,keptBest,6,2,-1278.361,-639.181,12
2,52,Permutate,6,2,-1278.347,-639.173,12
6,208,LatMutate,6,2,-1278.34,-639.17,8
3,87,Heredity,6,2,-1278.336,-639.168,12
10,366,softmutate,6,2,-1278.323,-639.161,1
5,147,Permutate,3,1,-639.154,-639.154,119
5,149,Permutate,3,1,-639.152,-639.152,119
3,82,Heredity,6,2,-1278.304,-639.152,12
10,351,LatMutate,3,1,-639.151,-639.151,119
10,341,RandTop,3,1,-639.15,-639.15,119
5,164,LatMutate,3,1,-639.148,-639.148,119
2,66,Heredity,6,2,-1278.297,-639.148,1
3,104,Random,6,2,-1278.294,-639.147,11
3,85,RandTop,6,2,-1278.283,-639.141,12
5,152,keptBest,3,1,-639.134,-639.134,119
4,122,keptBest,3,1,-639.134,-639.134,119
