Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,83,keptBest,3,1,-375.88,-375.88,47
4,108,keptBest,6,2,-751.497,-375.749,68
2,34,keptBest,6,2,-751.355,-375.678,11
1,32,RandTop,6,2,-751.355,-375.678,11
5,170,Heredity,6,2,-751.356,-375.678,11
6,184,keptBest,6,2,-751.356,-375.678,11
6,201,Permutate,6,2,-751.355,-375.677,11
4,120,Permutate,6,2,-751.353,-375.676,11
4,140,Permutate,6,2,-751.353,-375.676,11
5,146,keptBest,6,2,-751.353,-375.676,11
4,109,keptBest,6,2,-751.347,-375.673,11
3,94,Heredity,6,2,-751.347,-375.673,11
6,219,LatMutate,6,2,-751.326,-375.663,12
6,217,softmutate,6,2,-751.267,-375.634,11
4,143,Random,6,2,-751.267,-375.633,11
5,147,keptBest,6,2,-751.267,-375.633,11
6,185,keptBest,6,2,-751.267,-375.633,11
5,167,Random,3,1,-375.617,-375.617,12
6,195,keptBest,3,1,-375.617,-375.617,12
3,88,softmutate,6,2,-751.207,-375.604,12
6,209,Heredity,6,2,-751.199,-375.599,8
6,203,Random,3,1,-375.591,-375.591,2
2,56,keptBest,3,1,-375.591,-375.591,123
4,133,softmutate,6,2,-751.182,-375.591,11
6,197,Heredity,6,2,-751.181,-375.591,11
1,4,Random,3,1,-375.591,-375.591,123
2,48,Heredity,6,2,-751.18,-375.59,123
2,54,Permutate,3,1,-375.59,-375.59,65
5,158,Heredity,6,2,-751.177,-375.589,11
2,58,Heredity,6,2,-751.178,-375.589,65
1,17,RandTop,3,1,-375.588,-375.588,65
1,7,Random,3,1,-375.588,-375.588,65
3,93,Heredity,6,2,-751.175,-375.588,65
5,148,keptBest,6,2,-751.175,-375.588,65
4,110,keptBest,6,2,-751.175,-375.588,65
4,123,LatMutate,3,1,-375.562,-375.562,10
1,24,RandTop,6,2,-751.123,-375.561,10
6,215,softmutate,6,2,-751.118,-375.559,2
5,169,Heredity,6,2,-751.093,-375.546,63
1,15,Random,6,2,-751.091,-375.546,63
1,22,RandTop,6,2,-751.092,-375.546,63
6,212,softmutate,6,2,-751.087,-375.544,2
5,175,Permutate,6,2,-751.086,-375.543,2
6,220,RandTop,6,2,-751.085,-375.543,2
5,181,softmutate,6,2,-751.08,-375.54,2
4,111,keptBest,6,2,-751.065,-375.533,11
3,103,softmutate,6,2,-751.065,-375.533,11
4,130,Random,6,2,-751.041,-375.521,2
4,144,softmutate,6,2,-751.04,-375.52,2
3,82,softmutate,6,2,-751.025,-375.513,59
4,132,softmutate,6,2,-751.025,-375.513,59
2,70,softmutate,6,2,-751.016,-375.508,2
1,23,RandTop,6,2,-750.997,-375.499,71
2,35,keptBest,6,2,-750.997,-375.499,71
2,49,Permutate,6,2,-750.996,-375.498,65
2,57,Heredity,3,1,-375.498,-375.498,65
2,42,Random,3,1,-375.497,-375.497,65
3,91,RandTop,3,1,-375.497,-375.497,65
2,44,Heredity,6,2,-750.993,-375.497,51
4,117,Heredity,6,2,-750.994,-375.497,65
5,160,Heredity,6,2,-750.994,-375.497,63
6,192,Heredity,3,1,-375.496,-375.496,65
5,157,Heredity,6,2,-750.991,-375.496,63
1,26,Random,6,2,-750.992,-375.496,65
4,129,Heredity,6,2,-750.991,-375.496,63
5,154,Heredity,3,1,-375.496,-375.496,65
5,171,RandTop,6,2,-750.992,-375.496,51
2,46,Heredity,6,2,-750.991,-375.495,51
2,68,softmutate,6,2,-750.989,-375.495,11
4,114,Heredity,6,2,-750.99,-375.495,63
6,186,Heredity,6,2,-750.99,-375.495,51
1,14,Random,6,2,-750.989,-375.495,51
3,72,keptBest,6,2,-750.989,-375.495,11
4,137,RandTop,6,2,-750.991,-375.495,51
6,196,Heredity,6,2,-750.991,-375.495,63
4,127,softmutate,6,2,-750.991,-375.495,51
6,193,Heredity,6,2,-750.99,-375.495,63
6,187,Heredity,6,2,-750.989,-375.494,63
3,80,Heredity,6,2,-750.978,-375.489,2
4,134,Heredity,6,2,-750.972,-375.486,2
4,138,Heredity,6,2,-750.969,-375.485,11
