Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,108,Permutate,6,2,-1237.704,-618.852,1
3,68,keptBest,6,2,-1237.572,-618.786,2
9,214,keptBest,3,1,-618.612,-618.612,187
4,92,Heredity,3,1,-618.612,-618.612,187
5,121,keptBest,3,1,-618.612,-618.612,187
6,145,keptBest,3,1,-618.612,-618.612,187
8,191,keptBest,3,1,-618.612,-618.612,187
8,188,Permutate,3,1,-618.612,-618.612,187
7,167,keptBest,3,1,-618.612,-618.612,187
9,212,Permutate,3,1,-618.611,-618.611,187
4,96,Permutate,3,1,-618.61,-618.61,187
7,158,softmutate,6,2,-1237.211,-618.606,12
4,99,keptBest,3,1,-618.606,-618.606,187
3,76,keptBest,3,1,-618.606,-618.606,187
2,43,Heredity,3,1,-618.606,-618.606,187
7,166,LatMutate,3,1,-618.606,-618.606,187
9,209,Random,3,1,-618.603,-618.603,187
3,63,Random,6,2,-1237.206,-618.603,15
2,54,keptBest,3,1,-618.602,-618.602,187
1,28,RandTop,3,1,-618.602,-618.602,187
8,185,Random,3,1,-618.597,-618.597,187
2,47,RandTop,3,1,-618.597,-618.597,187
3,56,Heredity,6,2,-1237.193,-618.597,2
7,152,Heredity,6,2,-1237.193,-618.596,65
6,126,Heredity,6,2,-1237.186,-618.593,187
8,187,RandTop,3,1,-618.576,-618.576,8
2,53,LatMutate,3,1,-618.568,-618.568,187
6,129,Random,6,2,-1237.113,-618.556,15
8,189,LatMutate,3,1,-618.532,-618.532,187
5,116,Heredity,3,1,-618.531,-618.531,44
4,88,softmutate,6,2,-1237.057,-618.529,12
6,133,Permutate,6,2,-1237.049,-618.524,8
3,62,Heredity,6,2,-1237.043,-618.521,12
2,50,Permutate,3,1,-618.516,-618.516,44
1,25,Random,3,1,-618.515,-618.515,44
1,24,Random,3,1,-618.514,-618.514,1
3,64,RandTop,6,2,-1237.026,-618.513,11
9,208,Heredity,3,1,-618.504,-618.504,187
2,51,Permutate,3,1,-618.502,-618.502,1
1,17,RandTop,6,2,-1236.989,-618.495,44
9,210,Random,3,1,-618.491,-618.491,1
5,111,softmutate,6,2,-1236.959,-618.479,2
4,81,Heredity,6,2,-1236.952,-618.476,6
7,159,softmutate,6,2,-1236.946,-618.473,8
5,106,RandTop,6,2,-1236.917,-618.458,1
4,91,keptBest,6,2,-1236.854,-618.427,5
3,69,keptBest,6,2,-1236.854,-618.427,5
5,113,keptBest,6,2,-1236.854,-618.427,5
1,1,Random,6,2,-1236.854,-618.427,5
2,41,keptBest,6,2,-1236.854,-618.427,5
1,12,RandTop,6,2,-1236.829,-618.414,10
8,170,Heredity,6,2,-1236.813,-618.407,2
6,125,Heredity,6,2,-1236.81,-618.405,12
4,82,Heredity,6,2,-1236.792,-618.396,10
1,11,RandTop,6,2,-1236.782,-618.391,1
8,169,Heredity,6,2,-1236.774,-618.387,6
4,87,Permutate,6,2,-1236.773,-618.387,6
5,118,Random,3,1,-618.374,-618.374,38
2,38,softmutate,6,2,-1236.715,-618.357,2
1,4,Random,6,2,-1236.705,-618.353,1
5,104,Heredity,6,2,-1236.692,-618.346,2
7,156,Permutate,6,2,-1236.646,-618.323,8
7,155,Permutate,6,2,-1236.645,-618.323,8
2,36,Heredity,6,2,-1236.636,-618.318,2
1,13,RandTop,6,2,-1236.599,-618.299,1
7,147,Heredity,6,2,-1236.587,-618.294,2
3,66,Permutate,6,2,-1236.585,-618.293,6
9,198,Random,6,2,-1236.555,-618.277,8
6,122,Heredity,6,2,-1236.537,-618.268,25
5,102,Heredity,6,2,-1236.514,-618.257,1
9,196,Heredity,6,2,-1236.497,-618.248,1
5,110,softmutate,6,2,-1236.485,-618.242,2
8,175,Permutate,6,2,-1236.455,-618.228,6
3,55,Permutate,9,3,-1854.683,-618.228,1
5,107,Permutate,6,2,-1236.454,-618.227,6
6,134,softmutate,6,2,-1236.397,-618.198,1
6,131,Permutate,6,2,-1236.383,-618.191,38
9,202,softmutate,6,2,-1236.382,-618.191,1
1,3,Random,6,2,-1236.383,-618.191,1
6,132,Permutate,6,2,-1236.38,-618.19,38
8,176,softmutate,6,2,-1236.333,-618.167,2
3,59,Heredity,6,2,-1236.33,-618.165,6
9,215,keptBest,3,1,-618.131,-618.131,10
7,161,Heredity,3,1,-618.131,-618.131,10
2,39,softmutate,6,2,-1236.261,-618.131,194
3,75,CoorMutate,3,1,-618.131,-618.131,10
8,192,keptBest,3,1,-618.131,-618.131,10
2,48,RandTop,3,1,-618.13,-618.13,10
8,181,Heredity,3,1,-618.13,-618.13,10
9,207,Heredity,3,1,-618.128,-618.128,10
1,22,Random,3,1,-618.128,-618.128,10
7,168,keptBest,3,1,-618.126,-618.126,10
6,141,Random,3,1,-618.126,-618.126,10
1,23,Random,3,1,-618.125,-618.125,25
1,16,RandTop,6,2,-1236.211,-618.105,10
9,205,softmutate,6,2,-1236.197,-618.098,1
3,60,Heredity,6,2,-1236.176,-618.088,25
1,6,Random,6,2,-1236.168,-618.084,1
3,58,Heredity,6,2,-1236.136,-618.068,129
6,124,Heredity,6,2,-1236.137,-618.068,129
9,201,LatMutate,6,2,-1236.126,-618.063,129
3,65,RandTop,6,2,-1236.121,-618.061,6
8,184,Random,3,1,-618.057,-618.057,8
5,109,LatMutate,6,2,-1236.11,-618.055,20
7,148,Heredity,6,2,-1236.084,-618.042,1
5,100,Heredity,6,2,-1236.084,-618.042,1
2,31,Heredity,9,3,-1854.116,-618.039,1
9,193,Heredity,6,2,-1236.077,-618.038,2
4,84,Random,6,2,-1236.063,-618.032,65
1,10,Random,6,2,-1236.06,-618.03,65
8,172,Heredity,6,2,-1236.016,-618.008,1
7,150,Heredity,6,2,-1236.008,-618.004,1
7,162,Random,3,1,-618.001,-618.001,1
3,70,Heredity,3,1,-618.001,-618.001,8
8,190,LatMutate,3,1,-618.0,-618.0,1
4,98,LatMutate,3,1,-617.999,-617.999,8
4,97,LatMutate,3,1,-617.998,-617.998,8
3,61,Heredity,6,2,-1235.99,-617.995,69
3,57,Heredity,6,2,-1235.954,-617.977,1
5,120,LatMutate,3,1,-617.975,-617.975,1
2,49,RandTop,3,1,-617.962,-617.962,65
7,149,Heredity,6,2,-1235.907,-617.953,8
9,194,Heredity,6,2,-1235.901,-617.95,2
5,117,Random,3,1,-617.945,-617.945,1
7,163,Random,3,1,-617.943,-617.943,1
7,153,Random,6,2,-1235.865,-617.933,1
2,34,Heredity,6,2,-1235.867,-617.933,1
3,67,softmutate,6,2,-1235.812,-617.906,12
6,127,Heredity,6,2,-1235.81,-617.905,1
6,143,LatMutate,3,1,-617.887,-617.887,44
7,165,RandTop,3,1,-617.885,-617.885,10
9,204,softmutate,6,2,-1235.738,-617.869,2
8,173,Heredity,6,2,-1235.686,-617.843,1
1,30,RandTop,3,1,-617.823,-617.823,65
5,115,Heredity,3,1,-617.803,-617.803,44
9,200,Permutate,6,2,-1235.602,-617.801,6
2,33,Heredity,6,2,-1235.595,-617.797,1
7,154,Random,6,2,-1235.584,-617.792,1
5,114,Heredity,3,1,-617.791,-617.791,44
8,178,softmutate,6,2,-1235.577,-617.789,8
9,197,Heredity,6,2,-1235.563,-617.782,1
2,37,softmutate,6,2,-1235.555,-617.777,1
4,86,Permutate,6,2,-1235.552,-617.776,1
2,35,Heredity,6,2,-1235.534,-617.767,1
4,77,Heredity,9,3,-1853.278,-617.759,1
6,128,Random,6,2,-1235.479,-617.74,1
5,105,Random,6,2,-1235.481,-617.74,1
9,195,Heredity,6,2,-1235.477,-617.739,1
4,89,softmutate,6,2,-1235.476,-617.738,44
6,136,softmutate,6,2,-1235.465,-617.732,156
1,5,Random,6,2,-1235.455,-617.728,1
2,42,Heredity,3,1,-617.703,-617.703,164
7,157,LatMutate,6,2,-1235.402,-617.701,8
1,18,RandTop,6,2,-1235.399,-617.699,65
2,45,Random,3,1,-617.651,-617.651,8
8,174,Random,6,2,-1235.277,-617.638,38
6,142,RandTop,3,1,-617.63,-617.63,191
8,182,Heredity,3,1,-617.627,-617.627,44
4,93,Heredity,3,1,-617.607,-617.607,44
6,144,LatMutate,3,1,-617.603,-617.603,1
1,19,Random,3,1,-617.596,-617.596,191
1,21,Random,3,1,-617.582,-617.582,8
9,213,LatMutate,3,1,-617.581,-617.581,21
3,71,Random,3,1,-617.574,-617.574,21
1,15,RandTop,6,2,-1235.144,-617.572,10
3,73,LatMutate,3,1,-617.563,-617.563,8
1,9,Random,6,2,-1235.105,-617.552,1
1,2,Random,6,2,-1235.059,-617.529,1
4,85,Random,6,2,-1235.026,-617.513,40
2,52,LatMutate,3,1,-617.51,-617.51,38
4,95,RandTop,3,1,-617.507,-617.507,1
1,26,RandTop,3,1,-617.504,-617.504,1
4,80,Heredity,6,2,-1234.978,-617.489,1
6,140,Heredity,3,1,-617.486,-617.486,44
