Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,96,keptBest,6,2,-870.944,-435.472,12
5,107,Random,6,2,-870.894,-435.447,63
3,71,keptBest,6,2,-870.424,-435.212,12
2,47,keptBest,6,2,-870.424,-435.212,12
4,97,keptBest,6,2,-870.424,-435.212,12
1,15,RandTop,6,2,-870.424,-435.212,12
6,130,Heredity,6,2,-870.417,-435.208,12
2,44,softmutate,6,2,-870.409,-435.204,12
7,164,keptBest,6,2,-870.381,-435.19,12
4,98,keptBest,6,2,-870.381,-435.19,12
3,66,Permutate,6,2,-870.381,-435.19,12
6,140,keptBest,6,2,-870.381,-435.19,12
5,119,keptBest,6,2,-870.381,-435.19,12
7,157,RandTop,6,2,-870.276,-435.138,2
2,32,Heredity,6,2,-870.234,-435.117,2
2,42,Permutate,6,2,-870.217,-435.108,8
3,59,Heredity,6,2,-870.191,-435.096,2
4,90,Permutate,6,2,-870.174,-435.087,8
7,150,Heredity,6,2,-870.149,-435.075,2
5,111,Permutate,6,2,-870.114,-435.057,12
5,103,Heredity,6,2,-870.069,-435.034,2
3,57,Heredity,6,2,-870.056,-435.028,2
5,113,LatMutate,6,2,-870.044,-435.022,2
4,92,Permutate,6,2,-870.034,-435.017,2
7,161,softmutate,6,2,-870.003,-435.001,2
1,2,Random,6,2,-869.999,-435.0,2
1,7,Random,6,2,-869.999,-434.999,2
3,68,LatMutate,6,2,-869.987,-434.993,2
2,37,Heredity,6,2,-869.956,-434.978,2
2,33,Heredity,6,2,-869.951,-434.976,2
5,105,Heredity,6,2,-869.935,-434.967,2
3,65,Permutate,6,2,-869.873,-434.937,12
5,109,RandTop,6,2,-869.862,-434.931,2
7,158,Permutate,6,2,-869.857,-434.929,8
5,102,Heredity,6,2,-869.857,-434.928,2
5,117,softmutate,6,2,-869.85,-434.925,2
5,115,softmutate,6,2,-869.803,-434.902,2
3,58,Heredity,6,2,-869.736,-434.868,11
5,116,softmutate,6,2,-869.733,-434.867,11
2,39,Random,6,2,-869.7,-434.85,11
7,146,Heredity,6,2,-869.699,-434.849,4
5,114,LatMutate,6,2,-869.697,-434.849,2
3,55,Heredity,6,2,-869.698,-434.849,4
3,61,Heredity,6,2,-869.691,-434.846,1
6,135,Permutate,6,2,-869.675,-434.838,1
