Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,63,keptBest,6,2,-1046.246,-523.123,8
6,126,Random,6,2,-1046.233,-523.117,17
4,88,Heredity,3,1,-522.999,-522.999,115
1,17,RandTop,6,2,-1045.976,-522.988,6
2,34,Heredity,6,2,-1045.612,-522.806,24
4,84,softmutate,6,2,-1045.596,-522.798,24
2,41,Permutate,6,2,-1045.593,-522.796,24
4,80,Permutate,6,2,-1045.592,-522.796,24
2,44,keptBest,6,2,-1045.588,-522.794,24
1,3,Random,6,2,-1045.588,-522.794,24
3,54,Heredity,6,2,-1045.503,-522.751,24
1,15,RandTop,6,2,-1045.481,-522.74,65
5,107,Permutate,6,2,-1045.268,-522.634,6
2,40,Permutate,6,2,-1045.252,-522.626,6
6,128,RandTop,6,2,-1045.136,-522.568,10
2,32,Heredity,6,2,-1045.122,-522.561,1
5,99,Heredity,6,2,-1045.089,-522.545,1
6,134,softmutate,6,2,-1045.088,-522.544,1
1,4,Random,6,2,-1045.049,-522.524,6
3,67,Random,3,1,-522.461,-522.461,156
1,13,RandTop,6,2,-1044.901,-522.45,6
4,78,Heredity,6,2,-1044.894,-522.447,6
5,100,Heredity,6,2,-1044.892,-522.446,6
6,133,softmutate,6,2,-1044.658,-522.329,2
3,59,RandTop,6,2,-1044.612,-522.306,6
4,76,Heredity,6,2,-1044.601,-522.301,6
2,43,LatMutate,6,2,-1044.407,-522.204,1
4,92,Random,3,1,-522.182,-522.182,42
5,115,Heredity,3,1,-522.182,-522.182,42
2,47,Heredity,3,1,-522.182,-522.182,42
3,68,Random,3,1,-522.182,-522.182,42
3,71,LatMutate,3,1,-522.182,-522.182,42
4,96,LatMutate,3,1,-522.181,-522.181,42
6,138,Heredity,3,1,-522.181,-522.181,42
2,45,Heredity,3,1,-522.181,-522.181,42
4,91,Random,3,1,-522.171,-522.171,42
1,2,Random,6,2,-1044.341,-522.171,12
5,121,keptBest,3,1,-522.171,-522.171,42
6,143,keptBest,3,1,-522.171,-522.171,42
1,20,Random,3,1,-522.128,-522.128,42
6,131,LatMutate,6,2,-1044.228,-522.114,1
4,82,softmutate,6,2,-1044.143,-522.071,1
1,12,RandTop,6,2,-1044.004,-522.002,59
6,127,Random,6,2,-1043.804,-521.902,1
3,55,Heredity,6,2,-1043.794,-521.897,6
5,103,Random,6,2,-1043.775,-521.887,1
1,1,Random,6,2,-1043.774,-521.887,1
2,36,Random,6,2,-1043.668,-521.834,1
5,102,Heredity,6,2,-1043.659,-521.83,1
4,86,keptBest,6,2,-1043.63,-521.815,59
5,114,keptBest,6,2,-1043.63,-521.815,59
3,64,keptBest,6,2,-1043.63,-521.815,59
2,37,Random,6,2,-1043.63,-521.815,59
3,56,Heredity,6,2,-1043.63,-521.815,6
6,137,keptBest,6,2,-1043.63,-521.815,59
1,14,RandTop,6,2,-1043.621,-521.81,1
5,104,Random,6,2,-1043.573,-521.786,8
4,90,Random,3,1,-521.782,-521.782,8
1,27,RandTop,3,1,-521.782,-521.782,8
4,94,RandTop,3,1,-521.782,-521.782,8
3,74,keptBest,3,1,-521.782,-521.782,8
5,118,Random,3,1,-521.782,-521.782,8
2,51,keptBest,3,1,-521.782,-521.782,8
3,69,RandTop,3,1,-521.782,-521.782,8
5,105,RandTop,6,2,-1043.565,-521.782,8
5,117,Random,3,1,-521.782,-521.782,8
6,140,Random,3,1,-521.782,-521.782,8
6,141,RandTop,3,1,-521.782,-521.782,8
1,5,Random,6,2,-1043.525,-521.762,8
4,97,keptBest,3,1,-521.738,-521.738,8
3,72,LatMutate,3,1,-521.738,-521.738,8
3,57,Heredity,6,2,-1043.45,-521.725,2
1,6,Random,6,2,-1043.4,-521.7,8
1,24,Random,3,1,-521.682,-521.682,8
1,16,RandTop,6,2,-1043.3,-521.65,1
1,7,Random,6,2,-1043.206,-521.603,31
4,93,Random,3,1,-521.601,-521.601,8
3,58,Random,6,2,-1043.185,-521.592,2
2,39,RandTop,6,2,-1043.148,-521.574,65
1,18,Random,3,1,-521.564,-521.564,8
6,132,LatMutate,6,2,-1043.089,-521.545,1
5,110,softmutate,6,2,-1043.054,-521.527,5
2,46,Heredity,3,1,-521.515,-521.515,8
6,139,Heredity,3,1,-521.515,-521.515,8
6,142,Permutate,3,1,-521.513,-521.513,8
2,35,Heredity,6,2,-1043.021,-521.511,6
3,66,Heredity,3,1,-521.51,-521.51,8
3,65,Heredity,3,1,-521.507,-521.507,8
1,29,RandTop,3,1,-521.497,-521.497,8
3,53,Heredity,6,2,-1042.983,-521.491,6
6,123,Heredity,6,2,-1042.982,-521.491,6
2,31,Heredity,6,2,-1042.967,-521.484,1
4,75,Heredity,6,2,-1042.965,-521.482,1
6,135,softmutate,6,2,-1042.962,-521.481,1
6,122,Heredity,6,2,-1042.932,-521.466,1
5,106,RandTop,6,2,-1042.901,-521.45,194
5,119,LatMutate,3,1,-521.439,-521.439,1
4,77,Heredity,6,2,-1042.876,-521.438,8
3,60,Permutate,6,2,-1042.816,-521.408,1
2,33,Heredity,6,2,-1042.768,-521.384,6
5,101,Heredity,6,2,-1042.684,-521.342,1
6,130,Permutate,6,2,-1042.636,-521.318,6
4,81,LatMutate,6,2,-1042.581,-521.29,1
1,23,Random,3,1,-521.261,-521.261,42
5,109,softmutate,6,2,-1042.521,-521.26,12
1,28,RandTop,3,1,-521.243,-521.243,3
4,79,Permutate,6,2,-1042.262,-521.131,2
3,73,LatMutate,3,1,-521.129,-521.129,3
1,30,RandTop,3,1,-521.129,-521.129,3
3,52,Heredity,6,2,-1042.148,-521.074,25
1,22,Random,3,1,-521.021,-521.021,25
5,111,softmutate,6,2,-1041.914,-520.957,15
6,124,Heredity,6,2,-1041.705,-520.852,1
1,10,Random,6,2,-1041.678,-520.839,1
5,112,softmutate,6,2,-1041.581,-520.79,1
5,108,Permutate,6,2,-1041.273,-520.637,2
5,98,Heredity,6,2,-1041.231,-520.616,2
3,61,softmutate,6,2,-1041.195,-520.598,12
1,9,Random,6,2,-1041.156,-520.578,1
2,38,RandTop,6,2,-1041.076,-520.538,12
4,83,softmutate,6,2,-1040.945,-520.472,1
4,89,Heredity,3,1,-520.472,-520.472,5
4,87,Heredity,3,1,-520.456,-520.456,5
1,26,RandTop,3,1,-520.436,-520.436,5
6,125,Heredity,6,2,-1040.811,-520.405,5
5,116,Heredity,3,1,-520.259,-520.259,25
5,120,LatMutate,3,1,-520.258,-520.258,47
1,25,RandTop,3,1,-520.171,-520.171,47
3,62,softmutate,6,2,-1040.31,-520.155,1
1,8,Random,6,2,-1039.644,-519.822,1
6,129,RandTop,6,2,-1038.353,-519.177,1
