Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,104,Permutate,6,2,-1140.8,-570.4,51
5,118,keptBest,3,1,-570.359,-570.359,115
1,4,Random,6,2,-1140.346,-570.173,63
3,57,Heredity,6,2,-1140.329,-570.165,59
4,75,Heredity,6,2,-1140.304,-570.152,44
3,56,Heredity,6,2,-1140.303,-570.152,44
3,69,Permutate,3,1,-570.145,-570.145,160
2,43,Heredity,3,1,-570.144,-570.144,160
2,49,Permutate,3,1,-570.144,-570.144,160
3,71,softmutate,3,1,-570.143,-570.143,160
2,51,LatMutate,3,1,-570.143,-570.143,160
4,93,Heredity,3,1,-570.142,-570.142,160
1,24,RandTop,3,1,-570.125,-570.125,160
4,78,Heredity,6,2,-1140.241,-570.12,160
5,113,RandTop,3,1,-570.113,-570.113,156
1,3,Random,6,2,-1140.129,-570.064,26
5,108,keptBest,6,2,-1140.073,-570.036,63
4,77,Heredity,6,2,-1140.073,-570.036,63
5,99,Heredity,6,2,-1140.068,-570.034,10
2,33,Heredity,6,2,-1140.067,-570.033,10
3,63,Permutate,6,2,-1140.023,-570.012,10
5,105,Permutate,6,2,-1139.985,-569.992,12
4,76,Heredity,6,2,-1139.969,-569.984,31
2,34,Heredity,6,2,-1139.588,-569.794,6
3,64,keptBest,6,2,-1139.588,-569.794,6
4,88,keptBest,6,2,-1139.588,-569.794,6
2,41,keptBest,6,2,-1139.507,-569.754,6
1,13,RandTop,6,2,-1139.507,-569.754,6
3,58,Heredity,6,2,-1139.371,-569.685,6
4,74,Heredity,6,2,-1139.343,-569.672,6
5,100,Heredity,6,2,-1139.122,-569.561,1
3,54,Heredity,6,2,-1139.098,-569.549,1
4,91,Heredity,3,1,-569.546,-569.546,42
2,31,Heredity,6,2,-1139.083,-569.541,6
1,10,Random,6,2,-1139.039,-569.52,42
1,15,RandTop,6,2,-1138.965,-569.483,6
5,117,LatMutate,3,1,-569.443,-569.443,42
5,112,Random,3,1,-569.411,-569.411,42
2,32,Heredity,6,2,-1138.792,-569.396,1
3,53,Heredity,6,2,-1138.583,-569.292,6
4,90,Heredity,3,1,-569.286,-569.286,5
3,61,RandTop,6,2,-1138.53,-569.265,7
3,65,keptBest,6,2,-1138.521,-569.26,2
1,16,RandTop,6,2,-1138.521,-569.26,2
2,42,keptBest,6,2,-1138.521,-569.26,2
4,82,RandTop,6,2,-1138.519,-569.259,2
5,109,keptBest,6,2,-1138.519,-569.259,2
1,6,Random,6,2,-1138.412,-569.206,5
1,17,RandTop,6,2,-1138.255,-569.128,44
4,79,Random,6,2,-1138.224,-569.112,7
3,55,Heredity,6,2,-1138.184,-569.092,1
4,94,Random,3,1,-569.051,-569.051,1
2,45,Random,3,1,-569.051,-569.051,1
5,116,LatMutate,3,1,-569.05,-569.05,1
1,9,Random,6,2,-1138.1,-569.05,8
1,22,Random,3,1,-569.049,-569.049,1
4,81,RandTop,6,2,-1138.044,-569.022,1
5,98,Heredity,6,2,-1137.992,-568.996,5
2,35,Heredity,6,2,-1137.987,-568.993,8
1,8,Random,6,2,-1137.965,-568.983,8
1,11,Random,6,2,-1137.902,-568.951,1
2,38,RandTop,6,2,-1137.875,-568.938,2
2,37,RandTop,6,2,-1137.449,-568.725,38
5,106,softmutate,6,2,-1136.937,-568.468,1
4,89,keptBest,6,2,-1136.302,-568.151,6
3,62,RandTop,6,2,-1136.302,-568.151,6
4,87,softmutate,6,2,-1136.271,-568.135,1
5,111,Heredity,3,1,-568.135,-568.135,1
1,2,Random,6,2,-1136.247,-568.123,5
5,101,Random,6,2,-1136.097,-568.048,1
4,80,Random,6,2,-1136.003,-568.001,1
1,7,Random,6,2,-1135.904,-567.952,1
3,59,Random,6,2,-1135.883,-567.942,15
5,102,Random,6,2,-1135.791,-567.895,1
2,47,RandTop,3,1,-567.893,-567.893,38
2,50,LatMutate,3,1,-567.754,-567.754,1
4,83,Permutate,6,2,-1135.469,-567.734,5
1,5,Random,6,2,-1135.453,-567.726,1
4,85,LatMutate,6,2,-1134.918,-567.459,1
1,1,Random,6,2,-1134.636,-567.318,1
3,67,Random,3,1,-567.217,-567.217,44
2,36,Random,6,2,-1134.206,-567.103,1
3,66,Heredity,3,1,-567.009,-567.009,3
1,12,RandTop,6,2,-1133.229,-566.614,3
2,39,softmutate,6,2,-1133.054,-566.527,1
3,68,Random,3,1,-566.51,-566.51,1
3,60,RandTop,6,2,-1130.39,-565.195,6
5,107,softmutate,6,2,-1129.295,-564.648,2
4,92,Heredity,3,1,-563.329,-563.329,38
3,72,softmutate,3,1,-563.232,-563.232,6
1,27,RandTop,3,1,-563.001,-563.001,10
1,29,RandTop,3,1,-562.671,-562.671,123
5,115,RandTop,3,1,-562.654,-562.654,1
