Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,163,keptBest,6,2,-1739.05,-869.525,12
3,68,keptBest,6,2,-1738.55,-869.275,113
6,140,keptBest,6,2,-1738.55,-869.275,113
2,40,keptBest,6,2,-1738.55,-869.275,113
7,164,keptBest,6,2,-1738.55,-869.275,113
1,3,Random,6,2,-1738.55,-869.275,113
4,93,keptBest,6,2,-1738.55,-869.275,113
5,117,keptBest,6,2,-1738.55,-869.275,113
5,103,Heredity,6,2,-1738.463,-869.231,113
6,141,keptBest,6,2,-1738.421,-869.21,4
4,94,keptBest,6,2,-1738.421,-869.21,4
2,41,keptBest,6,2,-1738.421,-869.21,4
3,69,keptBest,6,2,-1738.421,-869.21,4
5,118,keptBest,6,2,-1738.421,-869.21,4
1,7,Random,6,2,-1738.421,-869.21,4
7,165,keptBest,6,2,-1738.421,-869.21,4
6,127,Heredity,6,2,-1738.332,-869.166,113
4,85,RandTop,6,2,-1738.005,-869.002,6
5,110,LatMutate,6,2,-1737.999,-868.999,2
6,132,Permutate,6,2,-1737.922,-868.961,12
1,2,Random,6,2,-1737.898,-868.949,2
4,91,softmutate,6,2,-1737.725,-868.862,12
3,70,keptBest,6,2,-1737.355,-868.678,8
2,34,Heredity,6,2,-1737.355,-868.678,8
1,12,RandTop,6,2,-1737.348,-868.674,8
2,42,keptBest,6,2,-1737.348,-868.674,8
1,6,Random,6,2,-1737.342,-868.671,8
4,87,Permutate,6,2,-1737.318,-868.659,63
3,58,Heredity,6,2,-1737.3,-868.65,8
5,106,Random,6,2,-1737.28,-868.64,12
2,44,Heredity,3,1,-868.615,-868.615,115
1,19,Random,3,1,-868.611,-868.611,115
2,47,Random,3,1,-868.606,-868.606,115
6,128,Heredity,6,2,-1737.138,-868.569,160
5,111,LatMutate,6,2,-1737.086,-868.543,5
7,150,Heredity,6,2,-1737.082,-868.541,1
4,86,Permutate,6,2,-1737.075,-868.538,160
6,129,Random,6,2,-1737.075,-868.537,160
2,38,Permutate,6,2,-1737.072,-868.536,160
3,62,Permutate,6,2,-1737.072,-868.536,160
5,109,Permutate,6,2,-1737.072,-868.536,160
3,63,Permutate,6,2,-1737.07,-868.535,160
7,152,Heredity,6,2,-1737.049,-868.525,8
2,50,Permutate,3,1,-868.507,-868.507,42
3,75,LatMutate,3,1,-868.506,-868.506,42
7,146,Heredity,6,2,-1737.008,-868.504,160
6,124,Heredity,6,2,-1737.009,-868.504,160
3,76,LatMutate,3,1,-868.504,-868.504,42
7,154,Random,6,2,-1737.001,-868.5,2
3,55,Heredity,6,2,-1736.996,-868.498,160
2,52,LatMutate,3,1,-868.497,-868.497,42
6,145,LatMutate,3,1,-868.497,-868.497,42
3,67,softmutate,6,2,-1736.988,-868.494,6
1,26,RandTop,3,1,-868.493,-868.493,42
6,131,Permutate,6,2,-1736.984,-868.492,1
3,73,RandTop,3,1,-868.488,-868.488,42
4,90,softmutate,6,2,-1736.953,-868.477,63
3,53,Heredity,6,2,-1736.943,-868.472,11
2,35,Heredity,6,2,-1736.943,-868.472,11
6,134,LatMutate,6,2,-1736.883,-868.442,2
1,21,Random,3,1,-868.403,-868.403,8
5,105,Heredity,6,2,-1736.772,-868.386,8
3,71,Random,3,1,-868.364,-868.364,8
7,155,RandTop,6,2,-1736.693,-868.347,8
7,158,Permutate,6,2,-1736.671,-868.336,1
2,43,Heredity,3,1,-868.331,-868.331,1
2,33,Heredity,6,2,-1736.608,-868.304,4
5,99,Heredity,6,2,-1736.601,-868.301,11
1,10,Random,6,2,-1736.473,-868.237,6
1,16,RandTop,6,2,-1736.472,-868.236,2
1,13,RandTop,6,2,-1736.466,-868.233,2
7,162,softmutate,6,2,-1736.41,-868.205,8
2,51,LatMutate,3,1,-868.203,-868.203,1
7,157,Permutate,6,2,-1736.371,-868.185,8
2,48,Random,3,1,-868.184,-868.184,1
4,79,Heredity,6,2,-1736.361,-868.181,8
