Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,109,Random,6,2,-4211.095,-2105.548,11
9,210,keptBest,6,2,-4209.988,-2104.994,4
8,177,Random,6,2,-4209.988,-2104.994,4
8,189,keptBest,6,2,-4209.987,-2104.993,4
6,131,Random,6,2,-4209.987,-2104.993,4
7,164,keptBest,6,2,-4209.987,-2104.993,4
5,116,keptBest,6,2,-4209.961,-2104.981,4
1,15,RandTop,6,2,-4209.961,-2104.981,4
2,44,keptBest,6,2,-4209.961,-2104.981,4
4,94,keptBest,6,2,-4209.961,-2104.981,4
6,140,keptBest,6,2,-4209.961,-2104.981,4
3,70,keptBest,6,2,-4209.961,-2104.981,4
1,3,Random,6,2,-4209.942,-2104.971,4
9,201,Random,6,2,-4209.898,-2104.949,162
5,117,keptBest,6,2,-4209.848,-2104.924,8
4,88,Permutate,6,2,-4209.848,-2104.924,8
4,77,Heredity,6,2,-4209.725,-2104.863,4
3,55,Heredity,6,2,-4209.71,-2104.855,4
5,114,softmutate,6,2,-4209.693,-2104.847,2
8,182,Permutate,6,2,-4209.682,-2104.841,12
9,211,keptBest,6,2,-4209.682,-2104.841,12
8,190,keptBest,6,2,-4209.651,-2104.826,12
7,165,keptBest,6,2,-4209.651,-2104.826,12
6,134,Permutate,6,2,-4209.651,-2104.826,12
6,124,Heredity,6,2,-4209.622,-2104.811,1
7,154,Random,6,2,-4209.596,-2104.798,71
3,62,Permutate,6,2,-4209.568,-2104.784,71
4,95,keptBest,6,2,-4209.568,-2104.784,71
1,10,RandTop,6,2,-4209.518,-2104.759,6
4,80,Heredity,6,2,-4209.507,-2104.754,1
4,83,Heredity,6,2,-4209.491,-2104.745,4
3,53,Heredity,6,2,-4209.441,-2104.721,4
2,45,keptBest,6,2,-4209.349,-2104.674,12
5,118,keptBest,6,2,-4209.349,-2104.674,12
6,141,keptBest,6,2,-4209.349,-2104.674,12
1,8,Random,6,2,-4209.349,-2104.674,12
4,96,keptBest,6,2,-4209.349,-2104.674,12
3,71,keptBest,6,2,-4209.349,-2104.674,12
4,85,RandTop,6,2,-4209.325,-2104.663,10
2,42,Permutate,6,2,-4209.223,-2104.611,2
3,72,keptBest,6,2,-4209.223,-2104.611,2
9,203,Permutate,6,2,-4209.151,-2104.575,2
3,57,Heredity,6,2,-4209.134,-2104.567,4
1,9,RandTop,6,2,-4209.067,-2104.533,2
2,46,keptBest,6,2,-4209.067,-2104.533,2
4,86,Permutate,6,2,-4209.027,-2104.513,2
8,179,RandTop,6,2,-4209.007,-2104.504,2
9,199,Random,6,2,-4208.975,-2104.488,2
7,151,Heredity,6,2,-4208.835,-2104.417,12
8,184,LatMutate,6,2,-4208.825,-2104.413,2
9,202,RandTop,6,2,-4208.763,-2104.381,10
2,43,softmutate,6,2,-4208.752,-2104.376,2
2,41,RandTop,6,2,-4208.709,-2104.354,2
8,176,Random,6,2,-4208.643,-2104.321,6
1,1,Random,6,2,-4208.611,-2104.305,1
6,132,RandTop,6,2,-4208.542,-2104.271,1
4,87,Permutate,6,2,-4208.409,-2104.205,1
7,158,Permutate,6,2,-4208.405,-2104.203,1
3,63,Permutate,6,2,-4208.399,-2104.2,1
7,150,Heredity,6,2,-4208.35,-2104.175,5
8,172,Heredity,6,2,-4208.309,-2104.154,12
1,16,Random,3,1,-2104.129,-2104.129,35
7,157,Permutate,6,2,-4208.223,-2104.112,1
5,111,Permutate,6,2,-4208.199,-2104.1,1
8,180,RandTop,6,2,-4208.194,-2104.097,8
9,208,softmutate,6,2,-4208.15,-2104.075,2
9,205,LatMutate,6,2,-4208.146,-2104.073,2
1,19,Random,3,1,-2104.062,-2104.062,8
7,156,RandTop,6,2,-4208.106,-2104.053,65
6,128,Heredity,6,2,-4208.076,-2104.038,2
3,61,RandTop,6,2,-4208.063,-2104.031,1
2,50,Permutate,3,1,-2104.014,-2104.014,8
1,27,RandTop,3,1,-2104.011,-2104.011,8
1,7,Random,6,2,-4208.022,-2104.011,1
1,23,Random,3,1,-2104.002,-2104.002,8
1,22,Random,3,1,-2104.001,-2104.001,8
9,214,RandTop,3,1,-2104.001,-2104.001,8
2,49,Random,3,1,-2103.998,-2103.998,8
6,138,softmutate,6,2,-4207.987,-2103.993,2
3,73,Heredity,3,1,-2103.992,-2103.992,8
5,122,LatMutate,3,1,-2103.967,-2103.967,8
4,97,Random,3,1,-2103.965,-2103.965,8
3,64,LatMutate,6,2,-4207.883,-2103.942,8
1,2,Random,6,2,-4207.878,-2103.939,1
2,38,Random,6,2,-4207.877,-2103.938,5
7,161,softmutate,6,2,-4207.787,-2103.894,1
5,115,softmutate,6,2,-4207.734,-2103.867,1
6,135,softmutate,6,2,-4207.708,-2103.854,2
5,105,Heredity,6,2,-4207.665,-2103.832,2
5,107,Random,6,2,-4207.632,-2103.816,1
5,104,Heredity,6,2,-4207.623,-2103.811,1
7,152,Heredity,6,2,-4207.601,-2103.801,1
9,206,LatMutate,6,2,-4207.553,-2103.777,2
6,125,Heredity,6,2,-4207.513,-2103.756,2
6,146,LatMutate,3,1,-2103.754,-2103.754,1
2,40,RandTop,6,2,-4207.5,-2103.75,1
6,133,Permutate,6,2,-4207.485,-2103.742,1
3,69,softmutate,6,2,-4207.479,-2103.739,2
1,5,Random,6,2,-4207.459,-2103.729,6
7,162,softmutate,6,2,-4207.438,-2103.719,1
8,175,Heredity,6,2,-4207.418,-2103.709,2
1,11,RandTop,6,2,-4207.396,-2103.698,12
2,33,Heredity,6,2,-4207.387,-2103.694,8
9,200,Random,6,2,-4207.377,-2103.689,67
3,56,Heredity,6,2,-4207.359,-2103.679,2
5,103,Heredity,6,2,-4207.3,-2103.65,1
3,75,Random,3,1,-2103.64,-2103.64,1
1,30,RandTop,3,1,-2103.635,-2103.635,12
9,194,Heredity,6,2,-4207.246,-2103.623,2
2,47,Heredity,3,1,-2103.62,-2103.62,1
2,51,LatMutate,3,1,-2103.602,-2103.602,1
9,207,softmutate,6,2,-4207.202,-2103.601,2
7,155,RandTop,6,2,-4207.192,-2103.596,1
1,18,Random,3,1,-2103.572,-2103.572,2
5,123,LatMutate,3,1,-2103.57,-2103.57,1
5,108,Random,6,2,-4207.132,-2103.566,1
8,186,softmutate,6,2,-4207.121,-2103.561,12
3,67,softmutate,6,2,-4207.1,-2103.55,1
1,20,Random,3,1,-2103.544,-2103.544,8
3,68,softmutate,6,2,-4207.077,-2103.539,1
1,26,RandTop,3,1,-2103.533,-2103.533,8
6,126,Heredity,6,2,-4207.046,-2103.523,1
3,65,LatMutate,6,2,-4207.031,-2103.516,8
7,166,Random,3,1,-2103.5,-2103.5,119
2,39,RandTop,6,2,-4206.933,-2103.466,5
4,79,Heredity,6,2,-4206.865,-2103.433,13
7,149,Heredity,6,2,-4206.866,-2103.433,2
9,196,Heredity,6,2,-4206.854,-2103.427,1
4,81,Heredity,6,2,-4206.849,-2103.425,2
3,54,Heredity,6,2,-4206.835,-2103.417,2
4,100,LatMutate,3,1,-2103.41,-2103.41,8
9,204,Permutate,6,2,-4206.771,-2103.386,1
8,171,Heredity,6,2,-4206.763,-2103.382,2
5,110,Permutate,6,2,-4206.763,-2103.381,1
1,6,Random,6,2,-4206.756,-2103.378,166
8,178,RandTop,6,2,-4206.734,-2103.367,12
1,21,Random,3,1,-2103.361,-2103.361,1
6,143,Random,3,1,-2103.357,-2103.357,1
5,121,Permutate,3,1,-2103.357,-2103.357,5
9,212,RandTop,3,1,-2103.357,-2103.357,1
1,25,RandTop,3,1,-2103.354,-2103.354,1
6,145,Random,3,1,-2103.353,-2103.353,1
1,28,RandTop,3,1,-2103.335,-2103.335,1
3,66,softmutate,6,2,-4206.665,-2103.332,12
1,12,RandTop,6,2,-4206.642,-2103.321,5
5,120,RandTop,3,1,-2103.32,-2103.32,1
1,24,Random,3,1,-2103.313,-2103.313,1
4,99,RandTop,3,1,-2103.308,-2103.308,1
2,31,Heredity,6,2,-4206.612,-2103.306,65
7,168,Random,3,1,-2103.306,-2103.306,1
5,119,RandTop,3,1,-2103.306,-2103.306,1
6,142,Random,3,1,-2103.303,-2103.303,1
1,29,RandTop,3,1,-2103.294,-2103.294,1
1,17,Random,3,1,-2103.292,-2103.292,1
8,191,Random,3,1,-2103.274,-2103.274,1
4,89,LatMutate,6,2,-4206.534,-2103.267,1
3,60,Random,6,2,-4206.526,-2103.263,8
9,195,Heredity,6,2,-4206.524,-2103.262,1
2,52,LatMutate,3,1,-2103.261,-2103.261,1
5,101,Heredity,6,2,-4206.516,-2103.258,1
6,129,Heredity,6,2,-4206.469,-2103.234,5
6,127,Heredity,6,2,-4206.364,-2103.182,1
4,82,Heredity,6,2,-4206.316,-2103.158,5
7,169,Random,3,1,-2103.155,-2103.155,1
5,102,Heredity,6,2,-4206.29,-2103.145,1
8,183,Permutate,6,2,-4206.262,-2103.131,5
8,181,Permutate,6,2,-4206.259,-2103.13,5
6,136,softmutate,6,2,-4206.192,-2103.096,1
3,76,RandTop,3,1,-2103.094,-2103.094,1
4,84,Random,6,2,-4206.162,-2103.081,1
3,58,Heredity,6,2,-4206.144,-2103.072,1
4,91,softmutate,6,2,-4206.132,-2103.066,1
8,174,Heredity,6,2,-4206.101,-2103.051,1
2,34,Heredity,6,2,-4206.079,-2103.04,1
8,187,softmutate,6,2,-4206.054,-2103.027,2
1,13,RandTop,6,2,-4205.995,-2102.998,1
4,93,softmutate,6,2,-4205.971,-2102.985,1
9,215,RandTop,3,1,-2102.971,-2102.971,1
2,32,Heredity,6,2,-4205.933,-2102.966,1
1,4,Random,6,2,-4205.866,-2102.933,11
4,90,softmutate,6,2,-4205.833,-2102.916,2
7,148,Heredity,6,2,-4205.827,-2102.913,15
9,197,Heredity,6,2,-4205.66,-2102.83,1
6,144,RandTop,3,1,-2102.815,-2102.815,1
9,213,RandTop,3,1,-2102.8,-2102.8,1
7,147,Heredity,6,2,-4205.556,-2102.778,2
8,192,RandTop,3,1,-2102.778,-2102.778,1
1,14,RandTop,6,2,-4205.53,-2102.765,2
8,185,LatMutate,6,2,-4205.515,-2102.758,2
9,193,Heredity,6,2,-4205.501,-2102.75,2
4,92,softmutate,6,2,-4205.436,-2102.718,2
2,37,Heredity,6,2,-4205.373,-2102.686,1
8,173,Heredity,6,2,-4205.371,-2102.686,15
7,153,Heredity,6,2,-4205.335,-2102.667,2
3,59,Heredity,6,2,-4205.322,-2102.661,15
7,167,Random,3,1,-2102.65,-2102.65,187
3,74,Random,3,1,-2102.595,-2102.595,8
2,48,Random,3,1,-2102.593,-2102.593,8
7,159,LatMutate,6,2,-4205.18,-2102.59,74
4,78,Heredity,6,2,-4205.176,-2102.588,1
