Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,46,keptBest,6,2,-1877.945,-938.973,2
2,42,Permutate,6,2,-1877.746,-938.873,11
5,110,Permutate,6,2,-1877.366,-938.683,71
2,37,Heredity,6,2,-1877.318,-938.659,1
5,108,RandTop,6,2,-1877.271,-938.636,11
5,118,keptBest,6,2,-1877.204,-938.602,11
3,71,keptBest,6,2,-1877.204,-938.602,11
2,47,keptBest,6,2,-1877.204,-938.602,11
4,96,keptBest,6,2,-1877.204,-938.602,11
1,19,RandTop,6,2,-1877.204,-938.602,11
3,59,Heredity,6,2,-1877.181,-938.591,11
5,116,softmutate,6,2,-1877.173,-938.586,11
1,12,Random,6,2,-1877.151,-938.575,11
5,107,RandTop,6,2,-1877.041,-938.52,11
5,109,Permutate,6,2,-1876.976,-938.488,8
3,62,RandTop,6,2,-1876.823,-938.412,2
5,115,softmutate,6,2,-1876.599,-938.3,1
4,88,LatMutate,6,2,-1876.575,-938.287,8
4,86,Permutate,6,2,-1876.426,-938.213,12
3,54,Heredity,6,2,-1876.332,-938.166,8
2,39,Random,6,2,-1876.184,-938.092,7
1,7,Random,6,2,-1876.064,-938.032,39
4,77,Heredity,6,2,-1875.997,-937.999,5
3,67,softmutate,6,2,-1875.971,-937.986,5
4,97,keptBest,6,2,-1875.967,-937.984,59
3,64,Permutate,6,2,-1875.967,-937.984,59
5,119,keptBest,6,2,-1875.967,-937.984,59
3,66,softmutate,6,2,-1875.923,-937.962,2
4,85,RandTop,6,2,-1875.918,-937.959,2
5,122,Random,3,1,-937.938,-937.938,8
4,98,Random,3,1,-937.927,-937.927,35
3,72,keptBest,6,2,-1875.813,-937.906,1
1,9,Random,6,2,-1875.813,-937.906,1
2,48,keptBest,6,2,-1875.813,-937.906,1
2,41,RandTop,6,2,-1875.797,-937.898,1
4,99,Random,3,1,-937.817,-937.817,8
5,114,softmutate,6,2,-1875.5,-937.75,1
2,40,RandTop,6,2,-1875.492,-937.746,1
2,50,Random,3,1,-937.741,-937.741,8
1,18,RandTop,6,2,-1875.394,-937.697,59
1,8,Random,6,2,-1875.239,-937.62,6
5,101,Heredity,6,2,-1875.23,-937.615,1
3,69,softmutate,6,2,-1875.077,-937.538,2
1,11,Random,6,2,-1875.008,-937.504,113
1,15,RandTop,6,2,-1874.951,-937.476,12
5,106,Random,6,2,-1874.769,-937.385,7
4,93,softmutate,6,2,-1874.694,-937.347,2
4,87,Permutate,6,2,-1874.601,-937.3,1
1,16,RandTop,6,2,-1874.591,-937.295,1
3,68,softmutate,6,2,-1874.574,-937.287,2
3,65,LatMutate,6,2,-1874.563,-937.281,2
4,79,Heredity,6,2,-1874.43,-937.215,1
2,43,Permutate,6,2,-1874.374,-937.187,1
1,3,Random,6,2,-1874.227,-937.113,1
5,102,Heredity,6,2,-1874.139,-937.07,1
3,55,Heredity,6,2,-1874.064,-937.032,1
1,14,RandTop,6,2,-1874.062,-937.031,1
3,63,Permutate,6,2,-1874.031,-937.015,8
4,94,softmutate,6,2,-1874.019,-937.01,2
2,35,Heredity,6,2,-1874.014,-937.007,1
4,91,softmutate,6,2,-1873.945,-936.973,2
