Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,143,keptBest,6,2,-1579.314,-789.657,166
8,254,keptBest,6,2,-1579.061,-789.531,11
8,288,softmutate,6,2,-1578.821,-789.41,2
4,105,keptBest,6,2,-1578.302,-789.151,51
3,98,softmutate,6,2,-1578.302,-789.151,51
4,137,softmutate,6,2,-1578.3,-789.15,51
7,248,Heredity,6,2,-1578.057,-789.028,25
3,70,keptBest,6,2,-1577.886,-788.943,2
2,53,Heredity,6,2,-1577.886,-788.943,2
4,106,keptBest,6,2,-1577.886,-788.943,2
4,121,softmutate,6,2,-1577.885,-788.943,2
3,94,LatMutate,6,2,-1577.878,-788.939,11
4,107,keptBest,6,2,-1577.633,-788.817,11
3,71,keptBest,6,2,-1577.633,-788.817,11
2,59,RandTop,6,2,-1577.633,-788.817,11
8,285,Heredity,6,2,-1577.285,-788.642,2
4,108,keptBest,6,2,-1577.277,-788.638,2
3,72,keptBest,6,2,-1577.277,-788.638,2
7,218,keptBest,6,2,-1577.277,-788.638,2
2,68,softmutate,6,2,-1577.277,-788.638,2
8,255,keptBest,6,2,-1577.277,-788.638,2
6,181,keptBest,6,2,-1577.277,-788.638,2
5,144,keptBest,6,2,-1577.277,-788.638,2
3,104,softmutate,6,2,-1577.246,-788.623,2
6,187,Heredity,6,2,-1577.179,-788.589,1
7,251,Heredity,6,2,-1577.163,-788.581,1
5,148,Heredity,6,2,-1577.017,-788.508,12
8,263,Heredity,6,2,-1577.014,-788.507,12
4,130,softmutate,6,2,-1576.924,-788.462,12
4,109,keptBest,6,2,-1576.853,-788.426,2
3,73,keptBest,6,2,-1576.853,-788.426,2
2,33,keptBest,6,2,-1576.853,-788.426,2
1,28,Random,6,2,-1576.853,-788.426,2
7,249,Random,6,2,-1576.836,-788.418,12
7,247,Heredity,6,2,-1576.746,-788.373,2
2,34,keptBest,6,2,-1576.707,-788.353,2
3,74,keptBest,6,2,-1576.707,-788.353,2
1,21,RandTop,6,2,-1576.707,-788.353,2
3,92,Random,6,2,-1576.641,-788.321,12
4,124,Heredity,6,2,-1576.639,-788.319,1
2,66,Permutate,6,2,-1576.307,-788.154,2
4,131,Heredity,6,2,-1576.268,-788.134,6
2,64,Random,6,2,-1576.237,-788.118,2
5,170,softmutate,6,2,-1576.202,-788.101,12
3,88,Heredity,6,2,-1576.11,-788.055,1
2,55,Heredity,6,2,-1576.023,-788.012,1
8,284,LatMutate,3,1,-787.958,-787.958,8
3,93,LatMutate,6,2,-1575.814,-787.907,12
3,89,Heredity,6,2,-1575.682,-787.841,1
6,207,Heredity,6,2,-1575.66,-787.83,38
2,56,Heredity,6,2,-1575.542,-787.771,1
8,277,softmutate,6,2,-1575.491,-787.745,74
7,225,Permutate,3,1,-787.745,-787.745,8
2,52,keptBest,3,1,-787.745,-787.745,8
1,8,RandTop,3,1,-787.745,-787.745,8
8,264,keptBest,3,1,-787.745,-787.745,8
5,165,Random,3,1,-787.735,-787.735,8
7,230,keptBest,3,1,-787.735,-787.735,8
6,184,keptBest,3,1,-787.735,-787.735,8
1,20,RandTop,6,2,-1575.38,-787.69,10
2,35,keptBest,6,2,-1575.38,-787.69,10
3,103,RandTop,6,2,-1575.25,-787.625,166
8,270,Heredity,6,2,-1575.225,-787.612,1
4,112,Heredity,6,2,-1575.181,-787.591,8
5,145,keptBest,6,2,-1575.181,-787.591,8
6,199,Random,3,1,-787.563,-787.563,1
5,149,Heredity,6,2,-1575.073,-787.537,6
2,54,Heredity,6,2,-1574.975,-787.487,2
7,232,Heredity,6,2,-1574.963,-787.482,1
1,29,Random,6,2,-1574.872,-787.436,2
2,36,keptBest,6,2,-1574.872,-787.436,2
7,234,Random,6,2,-1574.838,-787.419,1
5,150,Random,6,2,-1574.793,-787.396,1
8,276,Heredity,6,2,-1574.785,-787.392,3
4,129,softmutate,6,2,-1574.783,-787.391,12
3,79,Heredity,6,2,-1574.778,-787.389,2
3,82,Random,6,2,-1574.746,-787.373,4
1,31,RandTop,6,2,-1574.735,-787.368,4
7,240,RandTop,6,2,-1574.721,-787.361,47
2,62,Random,6,2,-1574.721,-787.36,8
5,146,keptBest,6,2,-1574.658,-787.329,8
4,134,RandTop,6,2,-1574.658,-787.329,8
8,271,Heredity,6,2,-1574.639,-787.319,5
6,182,keptBest,6,2,-1574.633,-787.316,115
7,219,keptBest,6,2,-1574.633,-787.316,115
5,178,Heredity,6,2,-1574.633,-787.316,115
8,256,keptBest,6,2,-1574.633,-787.316,115
1,25,Random,6,2,-1574.597,-787.299,2
6,215,RandTop,6,2,-1574.57,-787.285,6
7,224,RandTop,6,2,-1574.552,-787.276,6
2,63,Heredity,6,2,-1574.549,-787.275,1
3,87,Heredity,6,2,-1574.529,-787.264,8
5,168,Heredity,6,2,-1574.525,-787.263,1
2,61,LatMutate,6,2,-1574.523,-787.261,5
1,27,Random,6,2,-1574.518,-787.259,1
2,44,Heredity,6,2,-1574.464,-787.232,1
6,193,Heredity,6,2,-1574.455,-787.227,1
8,262,Heredity,6,2,-1574.453,-787.226,1
1,18,Random,6,2,-1574.329,-787.164,6
4,135,RandTop,6,2,-1574.317,-787.159,1
7,243,softmutate,6,2,-1574.31,-787.155,11
1,32,Random,6,2,-1574.258,-787.129,1
4,136,Permutate,6,2,-1574.244,-787.122,1
1,11,Random,6,2,-1574.196,-787.098,4
2,47,Heredity,6,2,-1574.185,-787.092,2
7,238,Heredity,6,2,-1574.17,-787.085,1
8,258,RandTop,6,2,-1574.146,-787.073,12
8,279,Permutate,3,1,-787.062,-787.062,8
1,30,RandTop,6,2,-1574.102,-787.051,1
6,213,Heredity,6,2,-1574.077,-787.038,1
7,220,RandTop,3,1,-787.031,-787.031,8
4,132,Heredity,6,2,-1574.062,-787.031,1
4,125,Heredity,6,2,-1574.054,-787.027,1
7,221,Permutate,3,1,-787.025,-787.025,8
8,278,softmutate,6,2,-1574.051,-787.025,2
4,127,Permutate,6,2,-1574.05,-787.025,8
6,212,softmutate,6,2,-1574.045,-787.023,2
5,154,Random,3,1,-787.017,-787.017,1
6,183,keptBest,6,2,-1574.033,-787.016,63
