Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,193,Heredity,6,2,-2836.85,-1418.425,20
8,280,Permutate,6,2,-2836.805,-1418.403,12
6,198,Heredity,6,2,-2836.748,-1418.374,44
3,103,softmutate,6,2,-2836.719,-1418.36,59
8,268,Heredity,6,2,-2836.67,-1418.335,12
5,179,softmutate,6,2,-2836.519,-1418.26,8
4,141,softmutate,6,2,-2836.408,-1418.204,6
6,188,keptBest,3,1,-1418.191,-1418.191,5
8,262,keptBest,3,1,-1418.191,-1418.191,5
4,116,Random,3,1,-1418.191,-1418.191,5
5,152,keptBest,3,1,-1418.191,-1418.191,5
7,229,keptBest,3,1,-1418.191,-1418.191,5
8,257,keptBest,6,2,-2836.345,-1418.172,9
7,222,Permutate,6,2,-2836.345,-1418.172,9
3,78,keptBest,3,1,-1418.171,-1418.171,38
2,40,Random,3,1,-1418.171,-1418.171,38
4,114,keptBest,3,1,-1418.171,-1418.171,38
2,41,keptBest,3,1,-1418.17,-1418.17,38
1,9,RandTop,3,1,-1418.17,-1418.17,38
7,220,keptBest,6,2,-2836.339,-1418.17,9
5,146,keptBest,6,2,-2836.339,-1418.17,9
4,111,Permutate,6,2,-2836.339,-1418.17,9
6,183,keptBest,6,2,-2836.339,-1418.17,9
4,133,RandTop,6,2,-2836.327,-1418.164,9
8,265,Permutate,6,2,-2836.306,-1418.153,8
6,184,keptBest,6,2,-2836.271,-1418.135,8
5,166,Heredity,6,2,-2836.271,-1418.135,8
8,258,keptBest,6,2,-2836.271,-1418.135,8
7,221,keptBest,6,2,-2836.271,-1418.135,8
5,147,keptBest,6,2,-2836.19,-1418.095,5
3,85,Heredity,6,2,-2836.19,-1418.095,5
4,109,keptBest,6,2,-2836.19,-1418.095,5
2,49,Heredity,6,2,-2836.181,-1418.091,5
8,288,Random,6,2,-2836.177,-1418.089,1
2,34,keptBest,6,2,-2836.16,-1418.08,44
1,31,RandTop,6,2,-2836.16,-1418.08,44
4,110,keptBest,6,2,-2836.16,-1418.08,44
3,72,keptBest,6,2,-2836.16,-1418.08,44
5,159,Heredity,6,2,-2835.997,-1417.998,1
3,94,softmutate,6,2,-2835.961,-1417.981,1
7,249,softmutate,6,2,-2835.943,-1417.971,1
8,290,softmutate,6,2,-2835.914,-1417.957,1
5,160,Heredity,6,2,-2835.833,-1417.916,1
2,63,RandTop,6,2,-2835.781,-1417.891,1
7,238,Random,3,1,-1417.414,-1417.414,160
6,186,Permutate,6,2,-2834.751,-1417.375,5
3,98,Heredity,6,2,-2834.62,-1417.31,8
6,196,Heredity,6,2,-2834.275,-1417.137,1
7,241,Heredity,6,2,-2834.11,-1417.055,1
2,52,softmutate,6,2,-2834.098,-1417.049,1
6,205,Heredity,6,2,-2834.057,-1417.028,1
2,60,softmutate,6,2,-2833.887,-1416.944,8
2,46,Heredity,6,2,-2833.886,-1416.943,8
8,285,softmutate,6,2,-2833.883,-1416.941,8
2,35,keptBest,6,2,-2833.825,-1416.912,2
1,23,RandTop,6,2,-2833.825,-1416.912,2
3,73,keptBest,6,2,-2833.825,-1416.912,2
1,30,Random,6,2,-2833.799,-1416.9,1
3,104,Heredity,6,2,-2833.717,-1416.858,5
6,209,Random,6,2,-2833.624,-1416.812,1
6,208,Heredity,6,2,-2833.619,-1416.81,2
6,207,Heredity,6,2,-2833.482,-1416.741,67
8,273,softmutate,6,2,-2833.481,-1416.74,67
8,291,Random,6,2,-2833.237,-1416.618,1
5,171,RandTop,6,2,-2833.234,-1416.617,1
4,134,Permutate,6,2,-2833.147,-1416.574,1
5,175,softmutate,6,2,-2833.082,-1416.541,2
2,56,Heredity,6,2,-2833.056,-1416.528,12
4,130,softmutate,6,2,-2833.017,-1416.508,2
1,32,Random,6,2,-2832.964,-1416.482,1
4,138,RandTop,6,2,-2832.945,-1416.473,12
1,15,RandTop,6,2,-2832.916,-1416.458,2
5,172,Permutate,6,2,-2832.889,-1416.445,1
7,254,Permutate,6,2,-2832.889,-1416.444,1
8,277,Heredity,6,2,-2832.844,-1416.422,1
3,93,RandTop,6,2,-2832.789,-1416.395,1
1,18,Random,6,2,-2832.754,-1416.377,1
3,95,softmutate,6,2,-2832.751,-1416.375,1
7,240,Heredity,6,2,-2832.606,-1416.303,2
2,64,softmutate,6,2,-2832.548,-1416.274,2
3,74,keptBest,6,2,-2832.548,-1416.274,2
7,253,RandTop,6,2,-2832.544,-1416.272,2
1,16,Random,6,2,-2832.517,-1416.258,2
6,212,softmutate,6,2,-2832.431,-1416.215,2
2,66,softmutate,6,2,-2832.408,-1416.204,2
5,154,Heredity,6,2,-2832.246,-1416.123,119
6,199,Permutate,6,2,-2832.243,-1416.122,119
5,153,Heredity,6,2,-2832.244,-1416.122,119
5,157,RandTop,3,1,-1416.1,-1416.1,119
7,226,Random,3,1,-1416.1,-1416.1,119
