Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,177,keptBest,6,2,-3437.935,-1718.967,5
6,178,keptBest,6,2,-3437.504,-1718.752,5
5,141,keptBest,6,2,-3437.504,-1718.752,5
4,106,keptBest,6,2,-3437.504,-1718.752,5
3,69,keptBest,6,2,-3437.504,-1718.752,5
2,56,RandTop,6,2,-3437.504,-1718.752,5
3,98,RandTop,6,2,-3437.431,-1718.715,1
6,209,RandTop,6,2,-3437.279,-1718.639,11
4,107,keptBest,6,2,-3437.265,-1718.632,2
3,70,keptBest,6,2,-3437.265,-1718.632,2
2,32,keptBest,6,2,-3437.265,-1718.632,2
5,142,keptBest,6,2,-3437.265,-1718.632,2
1,25,Random,6,2,-3437.265,-1718.632,2
6,179,keptBest,6,2,-3437.265,-1718.632,2
5,150,keptBest,3,1,-1718.606,-1718.606,44
6,184,keptBest,3,1,-1718.606,-1718.606,44
4,112,RandTop,3,1,-1718.606,-1718.606,44
5,143,keptBest,6,2,-3437.178,-1718.589,12
3,87,softmutate,6,2,-3437.178,-1718.589,12
6,180,keptBest,6,2,-3437.178,-1718.589,12
4,108,keptBest,6,2,-3437.178,-1718.589,12
6,207,Permutate,6,2,-3437.155,-1718.578,1
3,71,keptBest,6,2,-3437.143,-1718.572,13
4,109,keptBest,6,2,-3437.143,-1718.572,13
2,33,keptBest,6,2,-3437.143,-1718.572,13
1,20,RandTop,6,2,-3437.143,-1718.572,13
4,130,Heredity,6,2,-3437.139,-1718.569,2
6,204,LatMutate,6,2,-3437.138,-1718.569,2
4,124,LatMutate,6,2,-3437.125,-1718.562,1
5,174,Heredity,6,2,-3437.103,-1718.552,1
6,203,Heredity,6,2,-3437.073,-1718.536,1
3,86,Heredity,6,2,-3437.057,-1718.529,12
3,72,keptBest,6,2,-3437.055,-1718.528,12
2,67,softmutate,6,2,-3437.055,-1718.528,12
5,160,softmutate,6,2,-3437.056,-1718.528,12
6,186,Random,3,1,-1718.523,-1718.523,44
5,169,Permutate,6,2,-3437.023,-1718.512,1
6,211,softmutate,6,2,-3437.012,-1718.506,2
6,210,softmutate,6,2,-3437.001,-1718.5,2
3,96,Permutate,6,2,-3436.996,-1718.498,2
4,136,Permutate,6,2,-3436.985,-1718.492,2
3,82,Permutate,6,2,-3436.972,-1718.486,2
3,78,LatMutate,6,2,-3436.937,-1718.469,2
4,123,Permutate,6,2,-3436.921,-1718.46,1
6,190,Permutate,6,2,-3436.917,-1718.458,1
5,163,Permutate,6,2,-3436.913,-1718.457,1
5,176,Random,6,2,-3436.912,-1718.456,1
2,34,keptBest,6,2,-3436.883,-1718.441,1
1,19,Random,6,2,-3436.883,-1718.441,1
2,54,Random,6,2,-3436.876,-1718.438,2
5,145,Permutate,3,1,-1718.433,-1718.433,44
6,182,Permutate,3,1,-1718.43,-1718.43,44
1,18,RandTop,6,2,-3436.856,-1718.428,2
2,35,keptBest,6,2,-3436.856,-1718.428,2
1,24,Random,6,2,-3436.847,-1718.424,1
1,23,Random,6,2,-3436.845,-1718.422,2
5,151,Heredity,3,1,-1718.418,-1718.418,44
2,63,softmutate,6,2,-3436.83,-1718.415,12
2,46,Heredity,6,2,-3436.828,-1718.414,2
3,76,RandTop,3,1,-1718.413,-1718.413,44
4,110,RandTop,3,1,-1718.409,-1718.409,5
2,53,Heredity,6,2,-3436.8,-1718.4,12
6,195,Heredity,6,2,-3436.8,-1718.4,2
3,99,softmutate,6,2,-3436.782,-1718.391,2
6,200,RandTop,6,2,-3436.769,-1718.384,12
4,135,RandTop,6,2,-3436.768,-1718.384,12
6,201,softmutate,6,2,-3436.744,-1718.372,59
3,85,softmutate,6,2,-3436.737,-1718.368,2
2,61,softmutate,6,2,-3436.735,-1718.368,12
2,65,Heredity,6,2,-3436.696,-1718.348,12
5,153,Heredity,6,2,-3436.659,-1718.329,2
6,198,RandTop,6,2,-3436.645,-1718.323,3
5,149,Heredity,6,2,-3436.646,-1718.323,2
1,16,Random,6,2,-3436.635,-1718.317,4
1,15,RandTop,6,2,-3436.627,-1718.314,4
1,30,RandTop,6,2,-3436.628,-1718.314,8
4,120,Permutate,6,2,-3436.625,-1718.313,6
5,161,Heredity,6,2,-3436.618,-1718.309,63
2,36,RandTop,3,1,-1718.307,-1718.307,38
2,40,keptBest,3,1,-1718.306,-1718.306,38
1,3,Random,3,1,-1718.306,-1718.306,38
5,144,RandTop,3,1,-1718.305,-1718.305,38
3,83,RandTop,6,2,-3436.61,-1718.305,38
5,146,Heredity,3,1,-1718.304,-1718.304,8
4,133,Heredity,6,2,-3436.608,-1718.304,1
6,205,Heredity,6,2,-3436.603,-1718.301,1
2,50,Heredity,6,2,-3436.58,-1718.29,8
2,45,Heredity,6,2,-3436.58,-1718.29,2
4,131,Random,6,2,-3436.558,-1718.279,1
5,162,Heredity,6,2,-3436.558,-1718.279,2
4,119,Heredity,6,2,-3436.554,-1718.277,5
6,181,RandTop,3,1,-1718.275,-1718.275,1
2,66,Random,6,2,-3436.543,-1718.271,15
4,125,Heredity,6,2,-3436.539,-1718.27,2
2,51,Random,6,2,-3436.541,-1718.27,9
1,4,Random,3,1,-1718.268,-1718.268,1
5,171,softmutate,6,2,-3436.531,-1718.265,2
1,2,Random,3,1,-1718.258,-1718.258,1
6,202,softmutate,6,2,-3436.51,-1718.255,1
2,48,LatMutate,6,2,-3436.501,-1718.25,2
2,55,Random,6,2,-3436.501,-1718.25,1
1,8,RandTop,3,1,-1718.245,-1718.245,1
6,206,Random,6,2,-3436.482,-1718.241,15
4,139,softmutate,6,2,-3436.473,-1718.237,2
3,92,softmutate,6,2,-3436.473,-1718.236,2
1,7,RandTop,3,1,-1718.229,-1718.229,119
5,148,Random,3,1,-1718.224,-1718.224,1
4,127,Heredity,6,2,-3436.424,-1718.212,1
4,137,RandTop,6,2,-3436.418,-1718.209,12
1,31,RandTop,6,2,-3436.403,-1718.202,1
3,79,Heredity,3,1,-1718.193,-1718.193,1
4,138,softmutate,6,2,-3436.385,-1718.193,6
2,52,Heredity,6,2,-3436.376,-1718.188,12
1,5,RandTop,3,1,-1718.185,-1718.185,38
1,9,Random,3,1,-1718.184,-1718.184,1
2,38,Permutate,3,1,-1718.183,-1718.183,38
2,37,Permutate,3,1,-1718.181,-1718.181,38
2,59,Random,6,2,-3436.36,-1718.18,12
3,89,LatMutate,6,2,-3436.323,-1718.162,1
3,102,Random,6,2,-3436.293,-1718.147,2
5,175,LatMutate,6,2,-3436.287,-1718.144,8
5,173,Heredity,6,2,-3436.281,-1718.14,2
3,80,Random,3,1,-1718.139,-1718.139,44
3,100,Heredity,6,2,-3436.271,-1718.136,1
5,168,Heredity,6,2,-3436.266,-1718.133,1
2,64,Heredity,6,2,-3436.255,-1718.128,11
6,199,LatMutate,6,2,-3436.251,-1718.126,12
6,189,Heredity,6,2,-3436.218,-1718.109,1
4,129,Heredity,6,2,-3436.215,-1718.108,1
1,22,RandTop,6,2,-3436.192,-1718.096,11
5,158,RandTop,6,2,-3436.167,-1718.084,119
5,167,softmutate,6,2,-3436.15,-1718.075,44
4,121,Heredity,6,2,-3436.124,-1718.062,1
6,183,Random,3,1,-1718.061,-1718.061,5
5,159,LatMutate,6,2,-3436.106,-1718.053,1
5,170,Permutate,6,2,-3436.042,-1718.021,36
6,196,Heredity,6,2,-3436.041,-1718.02,2
2,62,softmutate,6,2,-3436.033,-1718.016,12
3,97,softmutate,6,2,-3436.032,-1718.016,12
6,194,Heredity,6,2,-3436.03,-1718.015,2
1,26,Random,6,2,-3436.022,-1718.011,1
4,122,Random,6,2,-3436.007,-1718.003,162
5,154,Random,3,1,-1718.002,-1718.002,1
3,95,Heredity,6,2,-3435.985,-1717.993,8
3,94,Heredity,6,2,-3435.975,-1717.987,6
6,208,Heredity,6,2,-3435.96,-1717.98,1
1,27,Random,6,2,-3435.954,-1717.977,2
1,29,RandTop,6,2,-3435.941,-1717.971,1
5,166,Heredity,6,2,-3435.941,-1717.971,2
5,172,RandTop,6,2,-3435.929,-1717.965,2
2,47,Heredity,6,2,-3435.899,-1717.95,2
4,134,Heredity,6,2,-3435.893,-1717.947,8
2,60,RandTop,6,2,-3435.885,-1717.943,12
4,116,Random,3,1,-1717.943,-1717.943,44
3,91,Heredity,6,2,-3435.884,-1717.942,2
3,101,Heredity,6,2,-3435.878,-1717.939,1
6,212,softmutate,6,2,-3435.868,-1717.934,148
5,165,Heredity,6,2,-3435.859,-1717.929,12
2,41,LatMutate,3,1,-1717.921,-1717.921,71
1,6,Random,3,1,-1717.92,-1717.92,71
5,147,Random,3,1,-1717.92,-1717.92,71
3,103,RandTop,6,2,-3435.835,-1717.918,63
3,90,softmutate,6,2,-3435.832,-1717.916,36
4,128,Random,6,2,-3435.831,-1717.916,2
1,11,RandTop,6,2,-3435.824,-1717.912,193
5,164,softmutate,6,2,-3435.819,-1717.91,71
3,75,Random,3,1,-1717.905,-1717.905,71
3,93,softmutate,6,2,-3435.776,-1717.888,1
6,191,Random,3,1,-1717.883,-1717.883,12
4,115,LatMutate,6,2,-3435.765,-1717.883,15
6,187,Random,3,1,-1717.879,-1717.879,12
3,73,Random,3,1,-1717.876,-1717.876,2
5,157,RandTop,3,1,-1717.873,-1717.873,12
1,21,Random,6,2,-3435.722,-1717.861,1
6,193,LatMutate,3,1,-1717.858,-1717.858,164
6,188,Heredity,6,2,-3435.716,-1717.858,12
6,185,Heredity,3,1,-1717.855,-1717.855,12
4,111,Random,3,1,-1717.855,-1717.855,164
5,152,Random,3,1,-1717.847,-1717.847,2
3,88,Heredity,6,2,-3435.669,-1717.835,12
1,13,RandTop,3,1,-1717.83,-1717.83,12
1,28,Random,6,2,-3435.579,-1717.789,12
5,155,Heredity,6,2,-3435.577,-1717.788,12
6,197,Heredity,6,2,-3435.548,-1717.774,12
3,84,LatMutate,6,2,-3435.521,-1717.76,160
2,44,Heredity,6,2,-3435.514,-1717.757,164
2,49,Heredity,6,2,-3435.477,-1717.739,6
4,118,RandTop,6,2,-3435.392,-1717.696,63
4,117,LatMutate,3,1,-1717.676,-1717.676,12
6,192,Heredity,6,2,-3435.341,-1717.671,12
3,81,Heredity,6,2,-3435.317,-1717.658,1
4,132,softmutate,6,2,-3435.281,-1717.641,12
1,10,RandTop,3,1,-1717.635,-1717.635,12
1,12,Random,3,1,-1717.592,-1717.592,2
3,77,Heredity,6,2,-3435.147,-1717.573,12
1,14,RandTop,3,1,-1717.472,-1717.472,12
5,156,RandTop,3,1,-1717.461,-1717.461,8
2,42,Heredity,6,2,-3434.896,-1717.448,65
3,104,softmutate,6,2,-3434.792,-1717.396,8
1,17,Random,6,2,-3434.366,-1717.183,11
6,213,softmutate,6,2,-3432.401,-1716.201,8
1,1,Random,3,1,-1715.699,-1715.699,107
2,39,RandTop,3,1,-1714.73,-1714.73,2
2,43,RandTop,3,1,-1714.71,-1714.71,25
