Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,151,keptBest,3,1,-2004.143,-2004.143,38
5,166,Heredity,6,2,-4008.221,-2004.111,59
4,107,keptBest,6,2,-4008.193,-2004.096,2
5,152,Heredity,3,1,-2004.062,-2004.062,44
4,140,RandTop,6,2,-4007.885,-2003.942,1
3,102,Random,6,2,-4007.885,-2003.942,12
5,173,softmutate,6,2,-4007.877,-2003.939,2
5,168,Heredity,6,2,-4007.864,-2003.932,2
2,62,softmutate,6,2,-4007.857,-2003.928,2
3,95,softmutate,6,2,-4007.851,-2003.926,38
2,59,softmutate,6,2,-4007.837,-2003.918,2
2,52,Heredity,3,1,-2003.914,-2003.914,8
3,99,softmutate,6,2,-4007.807,-2003.904,2
4,124,Heredity,3,1,-2003.89,-2003.89,1
5,167,Random,3,1,-2003.856,-2003.856,8
4,128,Heredity,6,2,-4007.71,-2003.855,2
4,135,softmutate,6,2,-4007.696,-2003.848,2
4,133,Heredity,6,2,-4007.692,-2003.846,2
3,83,Heredity,3,1,-2003.842,-2003.842,44
3,79,Heredity,3,1,-2003.838,-2003.838,1
3,92,Heredity,6,2,-4007.665,-2003.833,2
5,155,Random,3,1,-2003.828,-2003.828,8
1,24,RandTop,6,2,-4007.653,-2003.827,1
2,65,RandTop,6,2,-4007.599,-2003.799,4
2,57,RandTop,6,2,-4007.595,-2003.797,8
1,25,Random,6,2,-4007.586,-2003.793,1
3,98,Heredity,6,2,-4007.574,-2003.787,2
4,141,softmutate,6,2,-4007.463,-2003.732,1
1,19,RandTop,6,2,-4007.461,-2003.731,26
1,22,Random,6,2,-4007.455,-2003.728,1
3,94,Heredity,6,2,-4007.445,-2003.722,2
5,179,softmutate,6,2,-4007.437,-2003.718,2
4,129,softmutate,6,2,-4007.436,-2003.718,11
3,88,LatMutate,3,1,-2003.714,-2003.714,2
4,142,Random,6,2,-4007.418,-2003.709,9
1,28,Random,6,2,-4007.398,-2003.699,1
5,174,Heredity,6,2,-4007.375,-2003.688,2
3,86,Heredity,6,2,-4007.369,-2003.685,2
3,103,Heredity,6,2,-4007.356,-2003.678,2
3,96,softmutate,6,2,-4007.34,-2003.67,1
2,68,Random,6,2,-4007.327,-2003.663,4
1,32,Random,6,2,-4007.315,-2003.657,1
4,138,softmutate,6,2,-4007.292,-2003.646,1
2,58,Permutate,6,2,-4007.279,-2003.64,26
1,10,Random,3,1,-2003.637,-2003.637,44
1,30,RandTop,6,2,-4007.252,-2003.626,2
1,31,Random,6,2,-4007.225,-2003.613,8
1,20,RandTop,3,1,-2003.573,-2003.573,44
1,12,RandTop,3,1,-2003.569,-2003.569,3
2,51,LatMutate,3,1,-2003.531,-2003.531,2
1,6,Random,3,1,-2003.53,-2003.53,2
2,56,Random,3,1,-2003.527,-2003.527,2
4,139,RandTop,6,2,-4007.016,-2003.508,1
5,162,Heredity,3,1,-2003.508,-2003.508,2
3,97,Heredity,6,2,-4007.006,-2003.503,2
5,177,RandTop,6,2,-4006.992,-2003.496,2
1,27,Random,6,2,-4006.989,-2003.495,1
3,101,Heredity,6,2,-4006.978,-2003.489,1
2,49,LatMutate,3,1,-2003.482,-2003.482,1
2,42,Heredity,3,1,-2003.471,-2003.471,2
3,81,RandTop,3,1,-2003.47,-2003.47,2
2,35,Heredity,3,1,-2003.469,-2003.469,2
1,3,RandTop,3,1,-2003.468,-2003.468,2
3,82,LatMutate,3,1,-2003.464,-2003.464,2
2,47,Random,3,1,-2003.459,-2003.459,71
5,170,Heredity,6,2,-4006.913,-2003.456,1
1,7,RandTop,3,1,-2003.439,-2003.439,2
1,17,RandTop,3,1,-2003.42,-2003.42,1
5,169,Heredity,6,2,-4006.824,-2003.412,2
2,63,RandTop,6,2,-4006.793,-2003.396,2
3,78,Heredity,3,1,-2003.39,-2003.39,2
5,156,LatMutate,3,1,-2003.39,-2003.39,2
3,104,RandTop,6,2,-4006.772,-2003.386,1
2,41,Heredity,3,1,-2003.384,-2003.384,2
1,29,Random,6,2,-4006.751,-2003.375,1
2,66,softmutate,6,2,-4006.737,-2003.369,2
1,15,Random,3,1,-2003.362,-2003.362,1
1,18,Random,6,2,-4006.724,-2003.362,11
3,87,softmutate,6,2,-4006.722,-2003.361,12
3,77,LatMutate,3,1,-2003.356,-2003.356,2
5,163,Heredity,3,1,-2003.354,-2003.354,1
3,100,Heredity,6,2,-4006.706,-2003.353,2
4,131,Heredity,6,2,-4006.675,-2003.338,2
4,132,softmutate,6,2,-4006.661,-2003.331,2
3,91,softmutate,6,2,-4006.639,-2003.319,2
3,106,Random,6,2,-4006.571,-2003.286,11
3,89,softmutate,6,2,-4006.489,-2003.245,2
5,157,LatMutate,3,1,-2003.236,-2003.236,1
5,161,softmutate,6,2,-4006.438,-2003.219,12
4,137,Heredity,6,2,-4006.428,-2003.214,2
2,61,Heredity,6,2,-4006.388,-2003.194,2
5,178,softmutate,6,2,-4006.344,-2003.172,2
4,134,Heredity,6,2,-4006.286,-2003.143,2
2,53,Heredity,6,2,-4006.273,-2003.136,2
1,2,Random,3,1,-2003.113,-2003.113,2
5,176,Heredity,6,2,-4006.213,-2003.106,2
1,4,Random,3,1,-2003.104,-2003.104,2
2,50,Random,3,1,-2003.081,-2003.081,71
2,54,Heredity,6,2,-4006.13,-2003.065,2
4,127,Heredity,3,1,-2003.034,-2003.034,1
2,69,Random,6,2,-4005.794,-2002.897,2
5,180,Random,6,2,-4005.672,-2002.836,2
5,164,LatMutate,3,1,-2002.822,-2002.822,2
2,60,softmutate,6,2,-4005.598,-2002.799,12
1,9,Random,3,1,-2002.661,-2002.661,2
2,67,softmutate,6,2,-4004.869,-2002.434,47
4,143,softmutate,6,2,-4004.735,-2002.367,1
4,130,Heredity,3,1,-2002.324,-2002.324,2
4,119,LatMutate,3,1,-2002.323,-2002.323,47
1,11,RandTop,3,1,-2002.297,-2002.297,2
3,105,RandTop,6,2,-4004.41,-2002.205,2
3,72,Random,3,1,-2002.161,-2002.161,221
3,74,Random,3,1,-2002.16,-2002.16,221
2,38,RandTop,3,1,-2002.16,-2002.16,221
4,115,Random,3,1,-2002.158,-2002.158,221
1,8,RandTop,3,1,-2002.064,-2002.064,2
4,125,RandTop,3,1,-2001.867,-2001.867,5
5,171,Heredity,6,2,-4003.63,-2001.815,63
