Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,179,keptBest,6,2,-4348.947,-2174.473,2
7,240,Random,6,2,-4348.805,-2174.402,148
5,148,Random,6,2,-4348.797,-2174.398,162
3,73,keptBest,6,2,-4348.564,-2174.282,2
5,156,Heredity,6,2,-4348.491,-2174.246,2
8,262,Random,6,2,-4348.49,-2174.245,162
8,283,softmutate,6,2,-4348.476,-2174.238,2
6,207,Heredity,6,2,-4348.432,-2174.216,2
3,93,softmutate,6,2,-4348.432,-2174.216,2
4,110,keptBest,6,2,-4348.432,-2174.216,2
5,146,Heredity,6,2,-4348.432,-2174.216,2
6,193,Heredity,6,2,-4348.421,-2174.211,12
6,196,softmutate,6,2,-4348.409,-2174.204,2
6,185,Heredity,6,2,-4348.402,-2174.201,2
4,122,Heredity,6,2,-4348.398,-2174.199,2
8,268,Heredity,6,2,-4348.39,-2174.195,1
8,280,softmutate,6,2,-4348.388,-2174.194,2
2,58,Heredity,6,2,-4348.385,-2174.192,1
2,56,Heredity,6,2,-4348.384,-2174.192,8
4,115,Heredity,6,2,-4348.382,-2174.191,2
2,45,Heredity,6,2,-4348.381,-2174.19,2
3,76,Heredity,6,2,-4348.379,-2174.19,2
2,63,Heredity,6,2,-4348.373,-2174.187,2
8,269,Heredity,6,2,-4348.371,-2174.186,8
4,117,Heredity,6,2,-4348.372,-2174.186,12
5,145,keptBest,6,2,-4348.372,-2174.186,12
5,168,Heredity,6,2,-4348.365,-2174.183,1
7,247,Random,6,2,-4348.367,-2174.183,12
4,118,softmutate,6,2,-4348.365,-2174.182,2
6,198,Heredity,6,2,-4348.365,-2174.182,2
5,147,Heredity,6,2,-4348.364,-2174.182,2
3,80,Heredity,6,2,-4348.36,-2174.18,2
4,111,Heredity,6,2,-4348.357,-2174.178,2
7,219,Heredity,6,2,-4348.349,-2174.175,2
8,255,Heredity,6,2,-4348.343,-2174.171,2
2,57,Heredity,6,2,-4348.342,-2174.171,1
2,49,Heredity,6,2,-4348.339,-2174.17,1
4,116,Heredity,6,2,-4348.336,-2174.168,2
7,220,Heredity,6,2,-4348.334,-2174.167,2
8,261,Heredity,6,2,-4348.333,-2174.167,12
2,51,Heredity,6,2,-4348.33,-2174.165,2
6,201,Heredity,6,2,-4348.327,-2174.164,2
3,101,Heredity,6,2,-4348.324,-2174.162,1
6,186,Heredity,6,2,-4348.325,-2174.162,2
5,162,Heredity,6,2,-4348.322,-2174.161,12
5,150,Heredity,6,2,-4348.318,-2174.159,12
7,238,Heredity,6,2,-4348.316,-2174.158,2
6,187,Heredity,6,2,-4348.314,-2174.157,2
3,100,Heredity,6,2,-4348.305,-2174.152,12
6,205,softmutate,6,2,-4348.302,-2174.151,1
3,75,Heredity,6,2,-4348.3,-2174.15,2
7,231,Heredity,6,2,-4348.3,-2174.15,2
5,157,Heredity,6,2,-4348.268,-2174.134,2
