Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,140,keptBest,6,2,-4904.039,-2452.019,2
5,141,keptBest,6,2,-4904.023,-2452.012,20
7,226,Permutate,6,2,-4904.005,-2452.002,4
6,196,Random,6,2,-4903.633,-2451.817,39
7,217,Heredity,6,2,-4903.63,-2451.815,2
6,179,keptBest,6,2,-4903.608,-2451.804,2
4,116,LatMutate,6,2,-4903.608,-2451.804,2
5,143,keptBest,6,2,-4903.608,-2451.804,2
6,180,Heredity,6,2,-4903.572,-2451.786,2
8,253,softmutate,6,2,-4903.532,-2451.766,2
5,165,RandTop,6,2,-4903.48,-2451.74,4
6,205,RandTop,6,2,-4903.474,-2451.737,2
3,82,softmutate,6,2,-4903.464,-2451.732,2
3,71,keptBest,6,2,-4903.451,-2451.725,4
5,144,keptBest,6,2,-4903.451,-2451.725,4
1,22,Random,6,2,-4903.451,-2451.725,4
2,34,keptBest,6,2,-4903.451,-2451.725,4
4,106,keptBest,6,2,-4903.451,-2451.725,4
3,99,Heredity,6,2,-4903.44,-2451.72,12
6,206,Heredity,6,2,-4903.431,-2451.715,12
8,258,Heredity,6,2,-4903.402,-2451.701,2
7,218,Heredity,6,2,-4903.399,-2451.7,1
7,239,Heredity,6,2,-4903.372,-2451.686,9
8,282,Random,6,2,-4903.354,-2451.677,1
3,94,Permutate,6,2,-4903.35,-2451.675,1
7,233,Heredity,6,2,-4903.326,-2451.663,2
3,97,Random,6,2,-4903.3,-2451.65,1
2,61,Heredity,6,2,-4903.272,-2451.636,1
3,72,keptBest,6,2,-4903.272,-2451.636,1
5,149,softmutate,6,2,-4903.268,-2451.634,2
7,230,LatMutate,6,2,-4903.25,-2451.625,2
3,86,Heredity,6,2,-4903.246,-2451.623,12
7,223,Heredity,6,2,-4903.247,-2451.623,2
1,3,Random,3,1,-2451.62,-2451.62,8
6,184,Heredity,6,2,-4903.241,-2451.62,1
1,5,Random,3,1,-2451.616,-2451.616,8
5,146,Permutate,3,1,-2451.613,-2451.613,1
1,20,Random,6,2,-4903.226,-2451.613,8
8,256,Random,3,1,-2451.612,-2451.612,8
1,6,Random,3,1,-2451.612,-2451.612,8
4,113,Random,6,2,-4903.219,-2451.609,4
5,145,Random,3,1,-2451.607,-2451.607,1
3,79,Random,3,1,-2451.606,-2451.606,1
4,134,Heredity,6,2,-4903.206,-2451.603,1
1,2,RandTop,3,1,-2451.599,-2451.599,1
5,150,Random,3,1,-2451.599,-2451.599,1
8,252,Heredity,3,1,-2451.594,-2451.594,1
3,77,Permutate,3,1,-2451.591,-2451.591,1
2,37,LatMutate,3,1,-2451.591,-2451.591,1
8,277,Random,6,2,-4903.165,-2451.583,2
8,254,RandTop,3,1,-2451.58,-2451.58,1
1,1,Random,3,1,-2451.58,-2451.58,1
3,76,Random,3,1,-2451.58,-2451.58,1
2,40,Random,3,1,-2451.58,-2451.58,1
6,195,Heredity,6,2,-4903.154,-2451.577,1
3,95,softmutate,6,2,-4903.151,-2451.576,2
3,75,Random,3,1,-2451.576,-2451.576,1
2,44,softmutate,6,2,-4903.152,-2451.576,2
5,153,Heredity,6,2,-4903.148,-2451.574,2
4,109,Random,3,1,-2451.566,-2451.566,1
2,39,Random,3,1,-2451.565,-2451.565,1
2,36,RandTop,3,1,-2451.56,-2451.56,1
8,279,softmutate,6,2,-4903.121,-2451.56,2
6,182,Heredity,6,2,-4903.092,-2451.546,4
7,234,RandTop,6,2,-4903.088,-2451.544,40
8,250,keptBest,6,2,-4903.088,-2451.544,40
2,57,Random,6,2,-4903.086,-2451.543,4
8,266,Heredity,6,2,-4903.085,-2451.542,2
5,160,Heredity,6,2,-4903.08,-2451.54,1
8,255,keptBest,3,1,-2451.538,-2451.538,1
7,219,Random,3,1,-2451.538,-2451.538,1
2,50,Heredity,6,2,-4903.068,-2451.534,2
3,84,Heredity,6,2,-4903.055,-2451.528,2
6,207,Random,6,2,-4903.041,-2451.521,4
5,147,Heredity,6,2,-4903.026,-2451.513,2
6,208,Heredity,6,2,-4903.019,-2451.509,1
2,48,LatMutate,3,1,-2451.509,-2451.509,1
8,267,Heredity,6,2,-4903.005,-2451.502,4
4,110,LatMutate,3,1,-2451.501,-2451.501,1
4,118,LatMutate,3,1,-2451.499,-2451.499,1
3,80,Heredity,6,2,-4902.997,-2451.498,9
4,136,Heredity,6,2,-4902.988,-2451.494,1
2,66,softmutate,6,2,-4902.979,-2451.489,12
7,242,Random,6,2,-4902.976,-2451.488,4
2,58,Random,6,2,-4902.967,-2451.484,2
7,247,softmutate,6,2,-4902.962,-2451.481,2
2,53,Heredity,6,2,-4902.95,-2451.475,2
1,25,RandTop,6,2,-4902.947,-2451.474,4
2,42,Heredity,3,1,-2451.472,-2451.472,1
1,16,Random,3,1,-2451.471,-2451.471,1
1,19,Random,6,2,-4902.935,-2451.468,1
7,225,Random,3,1,-2451.468,-2451.468,1
4,129,Heredity,6,2,-4902.931,-2451.465,4
5,154,Random,3,1,-2451.463,-2451.463,1
8,275,Permutate,6,2,-4902.924,-2451.462,1
8,276,LatMutate,6,2,-4902.919,-2451.46,2
7,240,RandTop,6,2,-4902.917,-2451.459,4
4,135,softmutate,6,2,-4902.916,-2451.458,1
7,216,Random,3,1,-2451.456,-2451.456,1
6,203,softmutate,6,2,-4902.908,-2451.454,1
8,280,Random,6,2,-4902.905,-2451.453,2
3,91,Heredity,6,2,-4902.903,-2451.452,1
3,92,Heredity,6,2,-4902.9,-2451.45,2
7,236,Heredity,6,2,-4902.895,-2451.447,1
3,96,Heredity,6,2,-4902.881,-2451.441,1
4,115,Heredity,6,2,-4902.857,-2451.428,9
6,202,Permutate,6,2,-4902.848,-2451.424,1
2,49,Heredity,6,2,-4902.832,-2451.416,4
5,173,RandTop,6,2,-4902.824,-2451.412,2
7,232,softmutate,6,2,-4902.814,-2451.407,1
7,222,Heredity,6,2,-4902.811,-2451.405,1
6,201,Heredity,6,2,-4902.795,-2451.398,1
6,198,LatMutate,6,2,-4902.787,-2451.393,2
7,237,RandTop,6,2,-4902.773,-2451.387,2
6,194,Heredity,6,2,-4902.737,-2451.368,1
1,21,RandTop,6,2,-4902.725,-2451.363,12
8,265,Heredity,6,2,-4902.725,-2451.363,1
2,35,keptBest,6,2,-4902.725,-2451.363,12
1,7,Random,3,1,-2451.359,-2451.359,1
4,112,Random,3,1,-2451.356,-2451.356,1
4,123,Heredity,6,2,-4902.708,-2451.354,7
6,187,Heredity,6,2,-4902.668,-2451.334,4
4,125,Heredity,6,2,-4902.665,-2451.332,7
8,259,Heredity,6,2,-4902.662,-2451.331,1
4,114,Heredity,6,2,-4902.649,-2451.325,7
4,128,Heredity,6,2,-4902.601,-2451.3,1
2,62,Heredity,6,2,-4902.581,-2451.29,4
8,270,LatMutate,6,2,-4902.565,-2451.283,2
5,166,Heredity,6,2,-4902.556,-2451.278,1
1,9,RandTop,3,1,-2451.277,-2451.277,1
7,238,RandTop,6,2,-4902.552,-2451.276,11
2,47,Heredity,6,2,-4902.54,-2451.27,2
3,85,Heredity,6,2,-4902.538,-2451.269,7
4,107,keptBest,6,2,-4902.538,-2451.269,7
7,246,RandTop,6,2,-4902.538,-2451.269,12
7,244,RandTop,6,2,-4902.525,-2451.263,2
8,251,keptBest,6,2,-4902.525,-2451.263,2
1,4,Random,3,1,-2451.26,-2451.26,1
5,157,Heredity,6,2,-4902.521,-2451.26,7
2,41,keptBest,3,1,-2451.26,-2451.26,1
6,197,RandTop,6,2,-4902.517,-2451.259,25
7,241,LatMutate,6,2,-4902.515,-2451.258,1
4,119,Heredity,6,2,-4902.497,-2451.249,2
5,155,Heredity,6,2,-4902.489,-2451.244,1
3,83,RandTop,3,1,-2451.243,-2451.243,1
4,121,RandTop,3,1,-2451.239,-2451.239,1
4,131,Heredity,6,2,-4902.476,-2451.238,1
3,100,Random,6,2,-4902.46,-2451.23,1
4,139,softmutate,6,2,-4902.445,-2451.222,1
2,52,Heredity,6,2,-4902.445,-2451.222,2
8,274,Heredity,6,2,-4902.442,-2451.221,1
8,284,RandTop,6,2,-4902.438,-2451.219,1
4,122,Heredity,6,2,-4902.438,-2451.219,1
5,171,softmutate,6,2,-4902.42,-2451.21,1
6,186,Heredity,6,2,-4902.418,-2451.209,1
6,199,Random,3,1,-2451.201,-2451.201,1
7,228,Heredity,6,2,-4902.399,-2451.2,2
2,67,softmutate,6,2,-4902.398,-2451.199,1
7,235,Permutate,6,2,-4902.385,-2451.193,1
7,227,Heredity,6,2,-4902.37,-2451.185,2
4,130,Heredity,6,2,-4902.36,-2451.18,2
3,78,LatMutate,3,1,-2451.179,-2451.179,2
