Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,144,keptBest,6,2,-7260.156,-3630.078,2
4,109,keptBest,6,2,-7260.118,-3630.059,11
1,2,Random,3,1,-3630.033,-3630.033,2
1,29,Random,6,2,-7259.698,-3629.849,1
2,35,keptBest,6,2,-7259.691,-3629.846,63
4,110,keptBest,6,2,-7259.691,-3629.846,63
3,73,keptBest,6,2,-7259.691,-3629.846,63
1,26,Random,6,2,-7259.691,-3629.846,63
5,146,keptBest,6,2,-7259.691,-3629.846,63
4,112,Random,3,1,-3629.819,-3629.819,12
5,152,keptBest,3,1,-3629.819,-3629.819,12
4,138,RandTop,6,2,-7259.63,-3629.815,36
2,54,RandTop,6,2,-7259.614,-3629.807,11
4,127,Permutate,6,2,-7259.594,-3629.797,11
4,132,Permutate,6,2,-7259.567,-3629.783,11
3,74,keptBest,6,2,-7259.552,-3629.776,223
1,17,RandTop,6,2,-7259.552,-3629.776,223
4,111,keptBest,6,2,-7259.552,-3629.776,223
2,36,keptBest,6,2,-7259.552,-3629.776,223
1,1,Random,6,2,-7259.549,-3629.775,223
1,7,Random,6,2,-7259.547,-3629.773,223
3,77,RandTop,6,2,-7259.542,-3629.771,223
4,126,Random,6,2,-7259.542,-3629.771,223
5,165,RandTop,6,2,-7259.54,-3629.77,223
2,60,Random,6,2,-7259.513,-3629.756,2
3,104,Random,6,2,-7259.499,-3629.749,11
5,169,Random,6,2,-7259.48,-3629.74,11
3,101,Permutate,6,2,-7259.449,-3629.725,11
5,167,Random,6,2,-7259.444,-3629.722,2
1,3,RandTop,3,1,-3629.716,-3629.716,12
5,173,Permutate,6,2,-7259.424,-3629.712,11
5,172,Random,6,2,-7259.384,-3629.692,2
5,155,Random,6,2,-7259.346,-3629.673,5
3,78,LatMutate,3,1,-3629.658,-3629.658,2
4,128,Permutate,3,1,-3629.651,-3629.651,8
5,175,RandTop,6,2,-7259.273,-3629.636,2
4,117,Permutate,3,1,-3629.629,-3629.629,160
1,5,Random,3,1,-3629.628,-3629.628,160
4,123,LatMutate,3,1,-3629.623,-3629.623,8
1,32,RandTop,6,2,-7259.233,-3629.616,11
4,114,Heredity,3,1,-3629.616,-3629.616,8
5,158,LatMutate,3,1,-3629.586,-3629.586,8
3,82,LatMutate,3,1,-3629.579,-3629.579,1
2,39,Heredity,3,1,-3629.547,-3629.547,1
2,40,Random,3,1,-3629.544,-3629.544,8
5,178,RandTop,6,2,-7259.076,-3629.538,11
1,11,Random,3,1,-3629.535,-3629.535,8
5,157,LatMutate,3,1,-3629.531,-3629.531,1
2,59,LatMutate,3,1,-3629.525,-3629.525,8
2,46,RandTop,3,1,-3629.515,-3629.515,8
4,122,LatMutate,3,1,-3629.505,-3629.505,8
2,51,Permutate,3,1,-3629.503,-3629.503,1
1,19,Random,3,1,-3629.494,-3629.494,8
5,159,LatMutate,3,1,-3629.481,-3629.481,8
2,47,Heredity,3,1,-3629.478,-3629.478,1
5,161,Random,3,1,-3629.47,-3629.47,8
3,89,Random,3,1,-3629.47,-3629.47,160
4,143,Random,6,2,-7258.89,-3629.445,2
3,87,Permutate,6,2,-7258.838,-3629.419,10
3,83,Random,3,1,-3629.403,-3629.403,8
1,31,RandTop,6,2,-7258.797,-3629.399,11
4,129,Random,3,1,-3629.393,-3629.393,2
2,63,Heredity,6,2,-7258.76,-3629.38,1
4,121,LatMutate,3,1,-3629.363,-3629.363,2
1,30,Random,6,2,-7258.724,-3629.362,1
2,37,Heredity,6,2,-7258.707,-3629.354,223
5,168,Heredity,6,2,-7258.622,-3629.311,1
2,38,Heredity,6,2,-7258.607,-3629.303,11
2,64,softmutate,6,2,-7258.557,-3629.279,1
3,95,Heredity,6,2,-7258.551,-3629.276,2
1,22,RandTop,3,1,-3629.27,-3629.27,8
4,133,Heredity,6,2,-7258.536,-3629.268,1
2,56,Random,3,1,-3629.254,-3629.254,8
4,124,Heredity,3,1,-3629.251,-3629.251,1
2,62,softmutate,6,2,-7258.502,-3629.251,2
5,153,Random,3,1,-3629.243,-3629.243,2
5,149,Heredity,6,2,-7258.48,-3629.24,11
5,164,Heredity,6,2,-7258.418,-3629.209,1
5,160,Heredity,6,2,-7258.415,-3629.208,2
4,118,Heredity,6,2,-7258.406,-3629.203,63
3,85,Heredity,6,2,-7258.394,-3629.197,2
5,166,softmutate,6,2,-7258.382,-3629.191,2
3,86,Heredity,6,2,-7258.375,-3629.188,2
1,25,Random,6,2,-7258.36,-3629.18,55
2,69,RandTop,6,2,-7258.348,-3629.174,55
5,162,Heredity,6,2,-7258.318,-3629.159,63
2,58,Heredity,6,2,-7258.309,-3629.155,2
1,16,RandTop,3,1,-3629.126,-3629.126,2
4,134,Heredity,6,2,-7258.239,-3629.12,1
2,57,Heredity,6,2,-7258.227,-3629.113,2
5,148,Random,3,1,-3629.096,-3629.096,6
3,97,softmutate,6,2,-7258.19,-3629.095,2
1,12,Random,3,1,-3629.092,-3629.092,1
3,92,Heredity,6,2,-7258.17,-3629.085,2
3,105,softmutate,6,2,-7258.161,-3629.081,2
3,91,Heredity,6,2,-7258.141,-3629.071,2
4,131,Heredity,6,2,-7258.13,-3629.065,2
3,100,softmutate,6,2,-7258.109,-3629.054,2
2,48,softmutate,6,2,-7258.093,-3629.047,2
4,115,Random,3,1,-3629.027,-3629.027,2
2,42,Heredity,6,2,-7258.018,-3629.009,2
3,93,Heredity,6,2,-7257.984,-3628.992,2
4,136,softmutate,6,2,-7257.984,-3628.992,2
4,137,Heredity,6,2,-7257.919,-3628.96,2
1,14,RandTop,3,1,-3628.956,-3628.956,2
5,156,LatMutate,6,2,-7257.895,-3628.947,2
1,20,Random,3,1,-3628.94,-3628.94,2
3,106,Heredity,6,2,-7257.86,-3628.93,2
4,135,Heredity,6,2,-7257.826,-3628.913,2
1,6,RandTop,3,1,-3628.913,-3628.913,65
1,21,Random,6,2,-7257.822,-3628.911,65
1,18,Random,3,1,-3628.909,-3628.909,8
3,76,Random,3,1,-3628.901,-3628.901,65
3,80,RandTop,3,1,-3628.896,-3628.896,2
4,130,Random,3,1,-3628.896,-3628.896,12
5,177,softmutate,6,2,-7257.767,-3628.883,2
5,150,Heredity,3,1,-3628.881,-3628.881,35
5,154,Heredity,6,2,-7257.746,-3628.873,6
3,81,RandTop,3,1,-3628.862,-3628.862,65
2,45,Random,3,1,-3628.861,-3628.861,8
1,24,Random,6,2,-7257.691,-3628.845,1
2,52,Heredity,6,2,-7257.686,-3628.843,2
3,90,Heredity,6,2,-7257.68,-3628.84,1
2,55,softmutate,6,2,-7257.629,-3628.814,2
3,102,softmutate,6,2,-7257.617,-3628.808,2
3,75,Heredity,3,1,-3628.806,-3628.806,12
3,94,Heredity,6,2,-7257.544,-3628.772,6
2,49,softmutate,6,2,-7257.472,-3628.736,2
3,99,Heredity,6,2,-7257.437,-3628.718,2
2,44,softmutate,6,2,-7257.4,-3628.7,12
3,107,Heredity,6,2,-7257.395,-3628.698,1
4,140,softmutate,6,2,-7257.396,-3628.698,2
2,67,Heredity,6,2,-7257.336,-3628.668,2
2,53,Heredity,6,2,-7257.302,-3628.651,14
2,68,softmutate,6,2,-7257.263,-3628.631,1
3,88,RandTop,3,1,-3628.577,-3628.577,10
4,119,Heredity,6,2,-7257.152,-3628.576,4
3,98,Heredity,6,2,-7257.096,-3628.548,14
3,103,softmutate,6,2,-7257.037,-3628.519,2
1,13,RandTop,3,1,-3628.452,-3628.452,10
5,171,softmutate,6,2,-7256.829,-3628.414,1
4,139,softmutate,6,2,-7256.761,-3628.381,2
5,174,softmutate,6,2,-7256.748,-3628.374,1
2,43,Heredity,6,2,-7256.586,-3628.293,2
5,176,Heredity,6,2,-7256.574,-3628.287,1
5,163,Heredity,6,2,-7256.527,-3628.263,2
2,61,LatMutate,6,2,-7256.238,-3628.119,2
4,125,RandTop,3,1,-3628.019,-3628.019,2
4,113,RandTop,3,1,-3627.709,-3627.709,123
4,142,softmutate,6,2,-7250.287,-3625.143,2
