Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,211,keptBest,6,2,-6506.305,-3253.153,15
5,146,keptBest,3,1,-3252.98,-3252.98,166
2,55,RandTop,6,2,-6505.957,-3252.978,15
4,107,Heredity,3,1,-3252.942,-3252.942,166
7,226,Permutate,3,1,-3252.93,-3252.93,12
7,219,Heredity,3,1,-3252.915,-3252.915,12
6,193,Random,3,1,-3252.909,-3252.909,12
1,21,Random,6,2,-6505.797,-3252.899,2
2,28,keptBest,6,2,-6505.797,-3252.899,2
7,224,Permutate,3,1,-3252.895,-3252.895,12
7,225,Permutate,3,1,-3252.893,-3252.893,12
1,22,Random,6,2,-6505.784,-3252.892,2
1,12,Random,6,2,-6505.774,-3252.887,12
2,29,keptBest,6,2,-6505.774,-3252.887,12
3,79,Random,3,1,-3252.885,-3252.885,12
2,39,Random,3,1,-3252.884,-3252.884,12
4,106,Heredity,3,1,-3252.883,-3252.883,12
7,215,Heredity,3,1,-3252.88,-3252.88,1
6,179,Heredity,3,1,-3252.876,-3252.876,12
5,168,Random,6,2,-6505.747,-3252.873,13
4,115,LatMutate,3,1,-3252.872,-3252.872,12
6,177,Heredity,3,1,-3252.869,-3252.869,12
6,195,LatMutate,3,1,-3252.864,-3252.864,12
5,140,Heredity,3,1,-3252.862,-3252.862,2
5,150,Random,3,1,-3252.862,-3252.862,12
6,196,Heredity,3,1,-3252.858,-3252.858,12
5,156,Heredity,3,1,-3252.849,-3252.849,2
4,110,Heredity,3,1,-3252.826,-3252.826,12
5,167,Random,6,2,-6505.648,-3252.824,5
7,244,RandTop,6,2,-6505.635,-3252.818,12
2,43,keptBest,3,1,-3252.814,-3252.814,12
4,109,keptBest,3,1,-3252.814,-3252.814,12
3,76,keptBest,3,1,-3252.814,-3252.814,12
5,147,keptBest,3,1,-3252.814,-3252.814,12
1,15,Random,3,1,-3252.814,-3252.814,12
6,204,LatMutate,3,1,-3252.802,-3252.802,2
3,88,Permutate,6,2,-6505.571,-3252.785,12
6,192,keptBest,3,1,-3252.779,-3252.779,12
5,145,Permutate,3,1,-3252.779,-3252.779,12
7,221,keptBest,3,1,-3252.779,-3252.779,12
1,23,RandTop,6,2,-6505.553,-3252.776,14
2,30,keptBest,6,2,-6505.553,-3252.776,14
5,139,Heredity,3,1,-3252.772,-3252.772,12
4,131,Random,6,2,-6505.543,-3252.771,13
5,169,Random,6,2,-6505.524,-3252.762,14
6,180,Heredity,3,1,-3252.762,-3252.762,12
3,81,Random,3,1,-3252.756,-3252.756,12
6,178,Heredity,3,1,-3252.744,-3252.744,12
5,152,keptBest,3,1,-3252.741,-3252.741,12
4,102,Heredity,3,1,-3252.741,-3252.741,12
3,66,Heredity,3,1,-3252.739,-3252.739,12
7,229,Heredity,3,1,-3252.738,-3252.738,12
1,25,Random,6,2,-6505.475,-3252.738,1
7,214,Heredity,3,1,-3252.738,-3252.738,12
3,68,Heredity,3,1,-3252.736,-3252.736,12
4,105,Random,3,1,-3252.732,-3252.732,12
6,187,LatMutate,3,1,-3252.731,-3252.731,12
7,217,Random,3,1,-3252.73,-3252.73,12
4,112,keptBest,3,1,-3252.715,-3252.715,12
3,78,Heredity,3,1,-3252.715,-3252.715,12
7,233,LatMutate,3,1,-3252.691,-3252.691,12
3,77,keptBest,3,1,-3252.69,-3252.69,2
2,44,LatMutate,3,1,-3252.69,-3252.69,2
4,126,Random,6,2,-6505.352,-3252.676,4
5,149,Heredity,3,1,-3252.666,-3252.666,2
6,202,Permutate,6,2,-6505.32,-3252.66,2
7,236,Random,6,2,-6505.317,-3252.658,2
1,18,Random,3,1,-3252.625,-3252.625,12
2,58,Random,6,2,-6505.234,-3252.617,2
4,116,RandTop,3,1,-3252.61,-3252.61,2
1,16,RandTop,3,1,-3252.592,-3252.592,1
4,119,Heredity,6,2,-6505.163,-3252.582,15
3,83,Heredity,3,1,-3252.562,-3252.562,1
2,57,LatMutate,3,1,-3252.559,-3252.559,2
1,19,Random,3,1,-3252.55,-3252.55,12
7,231,Heredity,3,1,-3252.544,-3252.544,12
3,94,Permutate,6,2,-6505.072,-3252.536,2
7,222,keptBest,3,1,-3252.506,-3252.506,12
6,186,LatMutate,3,1,-3252.506,-3252.506,12
4,127,LatMutate,3,1,-3252.483,-3252.483,12
1,10,Random,3,1,-3252.481,-3252.481,1
2,47,Heredity,6,2,-6504.941,-3252.47,166
7,216,Heredity,3,1,-3252.468,-3252.468,12
7,228,LatMutate,3,1,-3252.464,-3252.464,2
6,188,Heredity,3,1,-3252.462,-3252.462,2
3,73,Heredity,3,1,-3252.46,-3252.46,2
2,61,softmutate,6,2,-6504.912,-3252.456,14
3,65,keptBest,6,2,-6504.912,-3252.456,14
3,82,LatMutate,3,1,-3252.44,-3252.44,12
2,38,Random,3,1,-3252.438,-3252.438,5
1,24,Random,6,2,-6504.823,-3252.411,1
4,128,Random,6,2,-6504.784,-3252.392,1
1,26,RandTop,6,2,-6504.773,-3252.387,10
4,122,Permutate,6,2,-6504.754,-3252.377,2
3,86,Heredity,6,2,-6504.732,-3252.366,2
2,63,softmutate,6,2,-6504.657,-3252.329,2
1,27,RandTop,6,2,-6504.653,-3252.327,1
2,53,Heredity,6,2,-6504.65,-3252.325,2
1,11,RandTop,3,1,-3252.298,-3252.298,38
1,8,RandTop,6,2,-6504.588,-3252.294,223
1,13,Random,3,1,-3252.294,-3252.294,5
7,235,Heredity,6,2,-6504.548,-3252.274,2
1,6,RandTop,3,1,-3252.27,-3252.27,123
5,170,Permutate,6,2,-6504.505,-3252.252,2
6,176,keptBest,6,2,-6504.505,-3252.252,2
3,97,softmutate,6,2,-6504.493,-3252.246,2
6,207,Heredity,6,2,-6504.489,-3252.244,2
4,133,Permutate,6,2,-6504.439,-3252.22,10
4,124,Heredity,6,2,-6504.428,-3252.214,2
3,67,Heredity,3,1,-3252.203,-3252.203,12
4,113,RandTop,3,1,-3252.202,-3252.202,10
7,238,RandTop,6,2,-6504.404,-3252.202,63
5,153,Heredity,6,2,-6504.38,-3252.19,2
2,50,softmutate,6,2,-6504.362,-3252.181,2
1,1,Random,6,2,-6504.299,-3252.15,194
5,151,RandTop,3,1,-3252.14,-3252.14,191
6,199,Random,6,2,-6504.278,-3252.139,10
7,223,Random,3,1,-3252.139,-3252.139,12
5,155,LatMutate,3,1,-3252.129,-3252.129,8
1,2,Random,3,1,-3252.127,-3252.127,166
1,5,RandTop,3,1,-3252.116,-3252.116,166
7,234,softmutate,6,2,-6504.232,-3252.116,2
6,198,Random,3,1,-3252.115,-3252.115,160
5,158,Random,3,1,-3252.109,-3252.109,160
3,80,Random,3,1,-3252.106,-3252.106,166
3,72,Heredity,3,1,-3252.096,-3252.096,1
6,183,Random,3,1,-3252.09,-3252.09,166
3,71,RandTop,3,1,-3252.085,-3252.085,166
5,142,RandTop,3,1,-3252.084,-3252.084,166
6,194,RandTop,3,1,-3252.078,-3252.078,12
1,3,Random,3,1,-3252.072,-3252.072,10
2,46,Heredity,6,2,-6504.128,-3252.064,2
4,111,Random,3,1,-3252.056,-3252.056,12
5,157,Random,3,1,-3252.053,-3252.053,2
2,42,Heredity,6,2,-6504.103,-3252.051,2
5,160,Random,3,1,-3252.036,-3252.036,160
4,121,Heredity,6,2,-6504.055,-3252.027,12
1,14,Random,3,1,-3252.02,-3252.02,12
2,36,Heredity,3,1,-3252.016,-3252.016,166
2,32,Heredity,3,1,-3252.015,-3252.015,166
1,20,Random,6,2,-6504.023,-3252.012,2
5,141,Heredity,3,1,-3252.012,-3252.012,12
7,218,RandTop,3,1,-3252.006,-3252.006,166
2,34,Heredity,3,1,-3252.005,-3252.005,12
6,190,Heredity,3,1,-3252.004,-3252.004,166
6,191,Heredity,3,1,-3251.999,-3251.999,166
3,95,softmutate,6,2,-6503.989,-3251.995,2
5,148,Heredity,3,1,-3251.992,-3251.992,12
6,209,softmutate,6,2,-6503.969,-3251.984,2
7,230,Heredity,3,1,-3251.982,-3251.982,10
1,7,RandTop,3,1,-3251.978,-3251.978,10
2,41,Heredity,6,2,-6503.954,-3251.977,2
6,200,softmutate,6,2,-6503.953,-3251.977,2
4,132,Random,6,2,-6503.951,-3251.975,160
2,59,softmutate,6,2,-6503.949,-3251.974,2
6,181,Random,3,1,-3251.974,-3251.974,191
2,48,RandTop,3,1,-3251.962,-3251.962,2
2,60,Heredity,6,2,-6503.861,-3251.931,2
7,243,softmutate,6,2,-6503.858,-3251.929,2
5,159,Heredity,6,2,-6503.839,-3251.919,12
2,52,softmutate,6,2,-6503.824,-3251.912,2
7,245,softmutate,6,2,-6503.822,-3251.911,2
3,89,softmutate,6,2,-6503.816,-3251.908,2
3,85,Heredity,6,2,-6503.799,-3251.899,2
6,206,softmutate,6,2,-6503.791,-3251.895,2
7,227,LatMutate,3,1,-3251.882,-3251.882,1
6,203,softmutate,6,2,-6503.754,-3251.877,2
2,37,Random,3,1,-3251.877,-3251.877,69
2,49,Heredity,6,2,-6503.726,-3251.863,1
6,205,softmutate,6,2,-6503.705,-3251.853,2
6,197,Heredity,6,2,-6503.666,-3251.833,2
6,201,Heredity,6,2,-6503.65,-3251.825,2
3,93,softmutate,6,2,-6503.628,-3251.814,2
4,136,softmutate,6,2,-6503.626,-3251.813,2
5,154,Heredity,6,2,-6503.623,-3251.811,2
5,165,softmutate,6,2,-6503.613,-3251.807,2
4,130,softmutate,6,2,-6503.608,-3251.804,2
5,162,Heredity,6,2,-6503.596,-3251.798,2
3,84,RandTop,3,1,-3251.786,-3251.786,6
3,74,Heredity,3,1,-3251.772,-3251.772,1
3,90,softmutate,6,2,-6503.521,-3251.761,2
2,51,softmutate,6,2,-6503.52,-3251.76,2
3,98,LatMutate,3,1,-3251.748,-3251.748,1
7,237,Heredity,6,2,-6503.478,-3251.739,2
7,232,Random,3,1,-3251.734,-3251.734,2
5,161,Heredity,6,2,-6503.467,-3251.733,12
4,134,softmutate,6,2,-6503.464,-3251.732,2
2,62,RandTop,6,2,-6503.458,-3251.729,2
2,54,RandTop,6,2,-6503.347,-3251.674,11
7,242,softmutate,6,2,-6503.334,-3251.667,2
5,163,LatMutate,3,1,-3251.663,-3251.663,2
7,239,softmutate,6,2,-6503.3,-3251.65,2
7,241,softmutate,6,2,-6503.262,-3251.631,2
4,120,Heredity,6,2,-6503.143,-3251.572,2
3,91,softmutate,6,2,-6503.119,-3251.56,2
2,45,Heredity,6,2,-6503.111,-3251.556,2
3,92,softmutate,6,2,-6503.084,-3251.542,2
7,240,softmutate,6,2,-6503.022,-3251.511,1
3,87,softmutate,6,2,-6502.831,-3251.416,2
6,208,softmutate,6,2,-6502.762,-3251.381,2
5,166,softmutate,6,2,-6502.674,-3251.337,2
2,40,RandTop,3,1,-3251.312,-3251.312,47
4,118,RandTop,3,1,-3251.307,-3251.307,47
4,117,RandTop,3,1,-3251.297,-3251.297,47
4,114,LatMutate,3,1,-3251.214,-3251.214,8
1,17,RandTop,3,1,-3251.197,-3251.197,2
3,99,softmutate,6,2,-6502.225,-3251.113,2
2,56,softmutate,6,2,-6501.981,-3250.991,2
5,173,softmutate,6,2,-6501.931,-3250.965,2
4,129,softmutate,6,2,-6501.516,-3250.758,2
5,171,softmutate,6,2,-6501.457,-3250.728,2
5,172,softmutate,6,2,-6501.431,-3250.715,2
7,246,softmutate,6,2,-6501.408,-3250.704,2
6,210,softmutate,6,2,-6501.324,-3250.662,2
5,143,RandTop,3,1,-3250.589,-3250.589,47
3,70,RandTop,3,1,-3250.581,-3250.581,47
6,184,RandTop,3,1,-3250.561,-3250.561,47
4,135,softmutate,6,2,-6500.08,-3250.04,2
7,247,softmutate,6,2,-6498.031,-3249.016,2
5,164,softmutate,6,2,-6492.766,-3246.383,2
