Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,218,keptBest,6,2,-4902.873,-2451.437,1
3,93,Permutate,6,2,-4902.378,-2451.189,5
5,153,Permutate,6,2,-4902.358,-2451.179,2
6,183,keptBest,6,2,-4902.358,-2451.179,2
7,220,keptBest,6,2,-4902.358,-2451.179,2
2,34,keptBest,6,2,-4902.248,-2451.124,2
3,71,keptBest,6,2,-4902.248,-2451.124,2
1,15,RandTop,6,2,-4902.248,-2451.124,2
6,213,Random,6,2,-4902.181,-2451.09,1
6,215,Random,6,2,-4902.104,-2451.052,2
7,235,Heredity,6,2,-4902.105,-2451.052,1
6,201,Random,6,2,-4902.065,-2451.033,1
6,199,Heredity,6,2,-4901.981,-2450.991,1
2,46,Heredity,6,2,-4901.973,-2450.987,1
5,145,keptBest,6,2,-4901.974,-2450.987,2
4,125,RandTop,6,2,-4901.974,-2450.987,2
4,130,Random,6,2,-4901.973,-2450.986,5
5,146,keptBest,6,2,-4901.973,-2450.986,5
6,184,keptBest,6,2,-4901.968,-2450.984,6
3,72,keptBest,6,2,-4901.968,-2450.984,6
2,35,keptBest,6,2,-4901.968,-2450.984,6
1,20,RandTop,6,2,-4901.968,-2450.984,6
4,110,keptBest,6,2,-4901.968,-2450.984,6
5,147,keptBest,6,2,-4901.968,-2450.984,6
7,221,keptBest,6,2,-4901.968,-2450.984,6
4,141,RandTop,6,2,-4901.957,-2450.978,1
6,212,RandTop,6,2,-4901.945,-2450.972,2
5,180,RandTop,6,2,-4901.934,-2450.967,2
3,73,keptBest,6,2,-4901.934,-2450.967,2
1,28,RandTop,6,2,-4901.934,-2450.967,2
4,111,keptBest,6,2,-4901.934,-2450.967,2
2,36,keptBest,6,2,-4901.934,-2450.967,2
5,174,Random,6,2,-4901.924,-2450.962,1
6,211,Permutate,6,2,-4901.914,-2450.957,2
1,24,RandTop,6,2,-4901.91,-2450.955,1
6,214,Permutate,6,2,-4901.899,-2450.949,2
1,19,Random,6,2,-4901.896,-2450.948,2
2,37,keptBest,6,2,-4901.896,-2450.948,2
1,23,Random,6,2,-4901.882,-2450.941,1
4,129,Random,6,2,-4901.87,-2450.935,1
6,195,Heredity,6,2,-4901.867,-2450.933,1
4,112,keptBest,6,2,-4901.839,-2450.919,1
3,74,keptBest,6,2,-4901.839,-2450.919,1
2,61,Random,6,2,-4901.839,-2450.919,1
4,132,softmutate,6,2,-4901.829,-2450.915,1
4,124,Heredity,6,2,-4901.83,-2450.915,1
1,26,Random,6,2,-4901.825,-2450.913,2
7,249,RandTop,6,2,-4901.826,-2450.913,1
