Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,61,softmutate,6,2,-252.446,-126.223,2
2,39,Heredity,6,2,-252.433,-126.217,12
6,179,keptBest,6,2,-252.035,-126.017,9
5,170,softmutate,6,2,-252.035,-126.017,9
4,116,softmutate,6,2,-252.026,-126.013,4
5,142,keptBest,6,2,-252.026,-126.013,4
5,159,Permutate,6,2,-252.024,-126.012,4
2,35,keptBest,6,2,-252.022,-126.011,36
4,111,RandTop,6,2,-252.021,-126.011,36
1,4,Random,6,2,-252.022,-126.011,36
1,25,Random,6,2,-252.022,-126.011,4
4,105,keptBest,6,2,-252.022,-126.011,36
3,69,keptBest,6,2,-252.022,-126.011,36
4,130,LatMutate,6,2,-252.015,-126.008,4
6,195,softmutate,6,2,-252.015,-126.007,4
3,77,Heredity,6,2,-252.012,-126.006,36
3,82,RandTop,6,2,-251.994,-125.997,9
4,122,Heredity,6,2,-251.981,-125.991,9
3,93,softmutate,6,2,-251.945,-125.973,40
4,133,Heredity,6,2,-251.833,-125.916,5
4,107,Heredity,6,2,-251.821,-125.91,5
6,198,Heredity,6,2,-251.77,-125.885,1
5,162,LatMutate,6,2,-251.755,-125.877,2
5,146,Heredity,6,2,-251.734,-125.867,2
2,48,softmutate,6,2,-251.687,-125.844,1
3,70,keptBest,6,2,-251.687,-125.844,1
4,126,Random,6,2,-251.649,-125.825,2
2,41,Heredity,6,2,-251.63,-125.815,1
6,189,Permutate,6,2,-251.631,-125.815,1
3,85,Permutate,6,2,-251.63,-125.815,1
5,148,Heredity,6,2,-251.624,-125.812,1
3,75,Heredity,6,2,-251.623,-125.812,1
3,80,Random,6,2,-251.6,-125.8,1
5,150,Heredity,6,2,-251.596,-125.798,1
5,147,Heredity,6,2,-251.56,-125.78,1
2,36,Heredity,6,2,-251.556,-125.778,1
6,200,Heredity,6,2,-251.537,-125.769,1
2,52,Heredity,6,2,-251.534,-125.767,1
5,166,Heredity,6,2,-251.533,-125.767,1
2,51,Heredity,6,2,-251.53,-125.765,1
4,113,Permutate,6,2,-251.516,-125.758,5
3,90,Heredity,6,2,-251.509,-125.755,1
4,114,LatMutate,6,2,-251.47,-125.735,1
6,197,Random,3,1,-125.734,-125.734,1
5,143,Heredity,6,2,-251.448,-125.724,5
5,163,LatMutate,6,2,-251.446,-125.723,5
4,128,Permutate,6,2,-251.445,-125.723,5
5,164,softmutate,6,2,-251.444,-125.722,1
5,160,Permutate,6,2,-251.442,-125.721,1
3,83,RandTop,6,2,-251.439,-125.72,36
6,205,Random,3,1,-125.706,-125.706,44
1,11,RandTop,6,2,-251.395,-125.698,12
6,188,RandTop,6,2,-251.397,-125.698,12
3,76,Heredity,6,2,-251.396,-125.698,44
3,99,RandTop,3,1,-125.697,-125.697,44
2,63,Random,3,1,-125.693,-125.693,44
4,129,LatMutate,6,2,-251.379,-125.689,36
3,98,RandTop,3,1,-125.683,-125.683,44
4,120,Heredity,6,2,-251.359,-125.679,8
3,84,Permutate,6,2,-251.338,-125.669,1
6,209,RandTop,3,1,-125.667,-125.667,5
4,134,Random,6,2,-251.33,-125.665,1
1,12,Random,3,1,-125.662,-125.662,1
2,55,Random,6,2,-251.322,-125.661,8
