Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,139,keptBest,6,2,-984.935,-492.467,74
6,176,keptBest,6,2,-984.917,-492.458,15
2,33,keptBest,6,2,-984.862,-492.431,6
5,171,LatMutate,6,2,-984.665,-492.332,1
2,45,Random,3,1,-492.331,-492.331,1
5,165,RandTop,3,1,-492.265,-492.265,8
2,35,Random,6,2,-984.508,-492.254,5
5,174,softmutate,6,2,-984.508,-492.254,46
3,103,softmutate,6,2,-984.505,-492.253,46
3,100,LatMutate,6,2,-984.492,-492.246,1
3,72,Heredity,6,2,-984.491,-492.246,4
1,29,Random,6,2,-984.485,-492.243,1
2,34,keptBest,6,2,-984.485,-492.243,1
2,61,Heredity,6,2,-984.467,-492.234,8
4,124,softmutate,6,2,-984.456,-492.228,11
3,83,RandTop,3,1,-492.222,-492.222,1
1,23,Random,6,2,-984.435,-492.218,1
5,169,Random,6,2,-984.366,-492.183,1
6,177,keptBest,6,2,-984.366,-492.183,1
5,142,Heredity,6,2,-984.351,-492.175,12
6,178,keptBest,6,2,-984.351,-492.175,12
2,39,Heredity,3,1,-492.174,-492.174,8
1,27,RandTop,6,2,-984.349,-492.174,2
6,206,softmutate,6,2,-984.339,-492.17,1
1,24,RandTop,6,2,-984.282,-492.141,12
2,66,softmutate,6,2,-984.271,-492.135,12
3,101,LatMutate,3,1,-492.132,-492.132,1
6,202,Heredity,6,2,-984.207,-492.104,1
4,131,Heredity,6,2,-984.164,-492.082,1
5,170,Random,6,2,-984.139,-492.069,1
1,17,RandTop,3,1,-492.061,-492.061,1
6,194,Random,6,2,-984.096,-492.048,8
6,192,keptBest,3,1,-492.032,-492.032,8
1,3,Random,3,1,-492.032,-492.032,8
5,156,keptBest,3,1,-492.032,-492.032,8
2,51,keptBest,3,1,-492.032,-492.032,8
3,75,keptBest,3,1,-492.032,-492.032,8
4,109,keptBest,3,1,-492.032,-492.032,8
1,14,Random,3,1,-492.025,-492.025,8
5,163,Permutate,3,1,-492.022,-492.022,8
3,76,keptBest,3,1,-491.991,-491.991,42
1,5,Random,3,1,-491.991,-491.991,42
2,56,keptBest,3,1,-491.991,-491.991,42
4,116,keptBest,3,1,-491.991,-491.991,42
5,158,keptBest,3,1,-491.991,-491.991,42
6,209,LatMutate,3,1,-491.987,-491.987,42
1,21,Random,3,1,-491.986,-491.986,42
3,84,Permutate,3,1,-491.985,-491.985,42
4,126,Permutate,3,1,-491.984,-491.984,42
6,187,Random,3,1,-491.984,-491.984,42
3,94,Permutate,3,1,-491.983,-491.983,42
6,196,RandTop,6,2,-983.965,-491.983,42
1,4,Random,3,1,-491.982,-491.982,42
4,127,LatMutate,3,1,-491.982,-491.982,42
4,130,Heredity,6,2,-983.93,-491.965,63
1,31,Random,6,2,-983.918,-491.959,9
5,147,softmutate,6,2,-983.914,-491.957,63
4,129,RandTop,3,1,-491.851,-491.851,1
3,86,Heredity,6,2,-983.073,-491.537,1
1,26,RandTop,6,2,-982.894,-491.447,1
5,172,softmutate,6,2,-982.889,-491.445,1
4,137,softmutate,6,2,-982.717,-491.358,1
2,42,Heredity,3,1,-491.311,-491.311,47
2,40,Heredity,3,1,-491.31,-491.31,10
6,201,LatMutate,3,1,-491.31,-491.31,10
6,186,Heredity,3,1,-491.31,-491.31,10
1,15,RandTop,3,1,-491.307,-491.307,10
6,204,Permutate,6,2,-982.538,-491.269,1
4,115,RandTop,3,1,-491.218,-491.218,10
2,37,Heredity,3,1,-491.209,-491.209,1
5,168,Random,6,2,-982.402,-491.201,2
1,32,RandTop,6,2,-982.341,-491.171,1
3,99,RandTop,6,2,-982.233,-491.117,2
4,128,Random,3,1,-491.104,-491.104,1
6,198,softmutate,6,2,-982.192,-491.096,2
3,73,Heredity,6,2,-982.098,-491.049,12
2,38,Heredity,3,1,-490.972,-490.972,2
1,28,Random,6,2,-981.923,-490.962,1
3,98,Heredity,6,2,-981.889,-490.944,2
2,67,softmutate,6,2,-981.885,-490.942,2
4,111,Random,3,1,-490.939,-490.939,2
6,205,softmutate,6,2,-981.871,-490.935,2
1,20,RandTop,6,2,-981.803,-490.901,2
5,161,LatMutate,6,2,-981.751,-490.876,12
1,10,Random,3,1,-490.832,-490.832,8
2,55,softmutate,6,2,-981.641,-490.821,2
4,110,Heredity,3,1,-490.794,-490.794,1
2,59,RandTop,3,1,-490.482,-490.482,1
1,2,Random,6,2,-978.09,-489.045,229
1,1,Random,6,2,-978.091,-489.045,1
2,64,RandTop,6,2,-977.563,-488.781,1
1,11,Random,3,1,-488.451,-488.451,1
