Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,179,keptBest,6,2,-485.496,-242.748,39.0
5,159,Permutate,6,2,-485.208,-242.604,63.0
6,181,keptBest,6,2,-485.068,-242.534,2.0
5,164,softmutate,6,2,-485.068,-242.534,2.0
5,154,Random,6,2,-485.039,-242.52,31.0
6,182,keptBest,6,2,-485.039,-242.52,31.0
1,18,RandTop,3,1,-242.519,-242.519,8.0
5,144,keptBest,6,2,-485.036,-242.518,31.0
4,106,keptBest,6,2,-485.036,-242.518,31.0
2,43,RandTop,6,2,-485.036,-242.518,31.0
3,69,keptBest,6,2,-485.036,-242.518,31.0
5,153,Random,6,2,-485.035,-242.517,31.0
3,75,RandTop,6,2,-485.032,-242.516,31.0
4,123,softmutate,6,2,-485.028,-242.514,31.0
2,60,softmutate,6,2,-485.014,-242.507,2.0
2,38,Heredity,6,2,-484.973,-242.487,31.0
3,77,RandTop,6,2,-484.975,-242.487,8.0
4,127,softmutate,6,2,-484.973,-242.487,2.0
5,145,keptBest,6,2,-484.973,-242.487,2.0
5,152,Heredity,6,2,-484.962,-242.481,129.0
6,183,keptBest,6,2,-484.962,-242.481,129.0
3,81,LatMutate,6,2,-484.96,-242.48,1.0
4,137,keptBest,3,1,-242.474,-242.474,1.0
3,89,Heredity,3,1,-242.474,-242.474,1.0
4,141,LatMutate,3,1,-242.472,-242.472,8.0
5,177,Random,6,2,-484.93,-242.465,1.0
3,96,keptBest,3,1,-242.457,-242.457,38.0
2,51,Heredity,3,1,-242.457,-242.457,38.0
4,138,keptBest,3,1,-242.457,-242.457,38.0
1,29,RandTop,6,2,-484.911,-242.456,63.0
2,33,keptBest,6,2,-484.911,-242.456,63.0
2,37,Heredity,6,2,-484.912,-242.456,11.0
4,125,softmutate,6,2,-484.911,-242.456,63.0
4,114,Random,6,2,-484.909,-242.455,11.0
3,71,Heredity,6,2,-484.906,-242.453,129.0
2,42,Random,6,2,-484.895,-242.448,11.0
