Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,112,keptBest,6,2,-1331.255,-665.628,12
1,13,RandTop,6,2,-1331.146,-665.573,63
4,86,Permutate,6,2,-1331.136,-665.568,12
4,80,Heredity,6,2,-1330.856,-665.428,11
1,9,Random,6,2,-1330.846,-665.423,2
5,114,keptBest,6,2,-1330.788,-665.394,12
4,77,Heredity,6,2,-1330.788,-665.394,12
4,93,keptBest,6,2,-1330.782,-665.391,12
3,67,softmutate,6,2,-1330.782,-665.391,12
4,78,Heredity,6,2,-1330.723,-665.362,166
6,131,Permutate,6,2,-1330.71,-665.355,69
3,63,Permutate,6,2,-1330.708,-665.354,69
4,94,keptBest,6,2,-1330.708,-665.354,69
1,14,RandTop,6,2,-1330.689,-665.345,51
5,99,Heredity,6,2,-1330.687,-665.344,69
2,42,Permutate,6,2,-1330.688,-665.344,51
6,130,RandTop,6,2,-1330.683,-665.342,51
6,123,Heredity,6,2,-1330.678,-665.339,139
2,40,Random,6,2,-1330.67,-665.335,10
4,91,softmutate,6,2,-1330.605,-665.302,2
6,127,Random,6,2,-1330.558,-665.279,10
2,38,Heredity,6,2,-1330.528,-665.264,2
3,62,RandTop,6,2,-1330.492,-665.246,11
6,135,softmutate,6,2,-1330.381,-665.191,11
2,35,Heredity,6,2,-1330.367,-665.183,11
3,70,keptBest,6,2,-1330.367,-665.183,11
2,37,Heredity,6,2,-1330.365,-665.182,63
3,56,Heredity,6,2,-1330.342,-665.171,63
4,87,Permutate,6,2,-1330.319,-665.16,12
4,89,softmutate,6,2,-1330.315,-665.158,2
2,45,LatMutate,6,2,-1330.196,-665.098,2
6,134,softmutate,6,2,-1329.954,-664.977,12
1,11,RandTop,6,2,-1329.95,-664.975,12
3,65,LatMutate,6,2,-1329.854,-664.927,2
2,43,Permutate,6,2,-1329.766,-664.883,47
3,72,Random,3,1,-664.881,-664.881,47
5,102,Heredity,6,2,-1329.756,-664.878,51
1,6,Random,6,2,-1329.722,-664.861,139
2,50,keptBest,6,2,-1329.722,-664.861,139
4,83,Random,6,2,-1329.686,-664.843,139
6,136,softmutate,6,2,-1329.67,-664.835,2
1,3,Random,6,2,-1329.64,-664.82,1
2,36,Heredity,6,2,-1329.611,-664.805,139
2,44,LatMutate,6,2,-1329.598,-664.799,51
2,51,Random,3,1,-664.796,-664.796,139
1,16,Random,3,1,-664.789,-664.789,47
1,18,Random,3,1,-664.787,-664.787,139
1,25,RandTop,3,1,-664.786,-664.786,47
1,21,Random,3,1,-664.786,-664.786,139
1,30,RandTop,3,1,-664.785,-664.785,47
5,116,Random,3,1,-664.782,-664.782,47
3,57,Heredity,6,2,-1329.52,-664.76,47
5,115,Random,3,1,-664.74,-664.74,71
3,71,Random,3,1,-664.735,-664.735,71
4,95,Random,3,1,-664.719,-664.719,71
3,75,Random,3,1,-664.675,-664.675,47
6,142,RandTop,3,1,-664.672,-664.672,47
1,5,Random,6,2,-1329.299,-664.65,10
4,82,Random,6,2,-1329.274,-664.637,123
5,107,Permutate,6,2,-1329.272,-664.636,166
2,31,Heredity,6,2,-1329.188,-664.594,65
5,105,Random,6,2,-1329.087,-664.543,167
5,118,RandTop,3,1,-664.438,-664.438,1
4,98,Random,3,1,-664.384,-664.384,123
3,74,RandTop,3,1,-664.374,-664.374,123
1,20,Random,3,1,-664.345,-664.345,1
1,1,Random,6,2,-1328.657,-664.328,191
1,24,RandTop,3,1,-664.3,-664.3,191
5,119,Random,3,1,-664.3,-664.3,191
1,23,RandTop,3,1,-664.299,-664.299,191
1,15,Random,3,1,-664.298,-664.298,191
1,22,RandTop,3,1,-664.296,-664.296,191
2,52,RandTop,3,1,-664.262,-664.262,221
6,141,RandTop,3,1,-664.261,-664.261,221
2,53,RandTop,3,1,-664.26,-664.26,221
1,26,RandTop,3,1,-664.259,-664.259,221
4,97,RandTop,3,1,-664.259,-664.259,221
1,17,Random,3,1,-664.259,-664.259,221
4,96,RandTop,3,1,-664.259,-664.259,221
1,28,RandTop,3,1,-664.259,-664.259,221
5,117,RandTop,3,1,-664.258,-664.258,221
1,29,RandTop,3,1,-664.258,-664.258,221
2,39,Random,6,2,-1328.51,-664.255,221
3,73,Random,3,1,-664.254,-664.254,221
1,19,Random,3,1,-664.243,-664.243,123
1,27,RandTop,3,1,-664.237,-664.237,123
