Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,1,Random,6,2,-2078.945,-1039.472,164
1,3,Random,6,2,-2078.772,-1039.386,71
5,108,RandTop,6,2,-2078.525,-1039.263,11
1,9,RandTop,6,2,-2078.491,-1039.246,1
1,10,RandTop,6,2,-2078.492,-1039.246,2
3,62,Random,6,2,-2078.463,-1039.231,2
3,64,Permutate,6,2,-2078.397,-1039.198,156
2,36,Heredity,6,2,-2078.231,-1039.116,2
4,79,Heredity,6,2,-2078.172,-1039.086,12
2,40,RandTop,6,2,-2078.166,-1039.083,2
5,116,keptBest,6,2,-2078.083,-1039.042,2
4,92,keptBest,6,2,-2078.083,-1039.042,2
3,65,Permutate,6,2,-2078.083,-1039.042,2
3,63,RandTop,6,2,-2078.045,-1039.023,176
1,12,RandTop,6,2,-2078.04,-1039.02,176
3,70,keptBest,6,2,-2078.04,-1039.02,176
2,45,keptBest,6,2,-2078.04,-1039.02,176
2,38,Random,6,2,-2078.032,-1039.016,1
1,7,Random,6,2,-2078.026,-1039.013,1
5,105,Random,6,2,-2078.01,-1039.005,176
5,117,keptBest,6,2,-2078.006,-1039.003,189
3,71,keptBest,6,2,-2078.006,-1039.003,189
2,41,Permutate,6,2,-2078.006,-1039.003,189
4,93,keptBest,6,2,-2078.006,-1039.003,189
5,109,RandTop,6,2,-2077.992,-1038.996,176
1,2,Random,6,2,-2077.978,-1038.989,1
5,112,softmutate,6,2,-2077.972,-1038.986,2
2,39,Random,6,2,-2077.962,-1038.981,176
4,82,Heredity,6,2,-2077.955,-1038.978,1
5,113,softmutate,6,2,-2077.95,-1038.975,1
5,114,softmutate,6,2,-2077.92,-1038.96,189
3,55,Heredity,6,2,-2077.904,-1038.952,1
2,35,Heredity,6,2,-2077.869,-1038.935,176
2,33,Heredity,6,2,-2077.824,-1038.912,12
5,101,Heredity,6,2,-2077.813,-1038.906,11
2,42,softmutate,6,2,-2077.811,-1038.906,1
2,31,Heredity,6,2,-2077.808,-1038.904,1
5,100,Heredity,6,2,-2077.757,-1038.879,1
1,8,RandTop,6,2,-2077.734,-1038.867,8
2,46,keptBest,6,2,-2077.734,-1038.867,8
5,104,Heredity,6,2,-2077.726,-1038.863,176
4,90,softmutate,6,2,-2077.708,-1038.854,1
3,57,Heredity,6,2,-2077.702,-1038.851,5
4,78,Heredity,6,2,-2077.664,-1038.832,1
4,86,Random,6,2,-2077.532,-1038.766,164
1,23,RandTop,3,1,-1038.762,-1038.762,164
2,51,Permutate,3,1,-1038.761,-1038.761,164
1,17,Random,3,1,-1038.761,-1038.761,164
1,20,Random,3,1,-1038.76,-1038.76,164
5,119,Random,3,1,-1038.759,-1038.759,164
1,30,RandTop,3,1,-1038.756,-1038.756,164
2,47,Heredity,3,1,-1038.756,-1038.756,164
1,21,Random,3,1,-1038.755,-1038.755,164
1,14,Random,3,1,-1038.748,-1038.748,164
2,52,LatMutate,3,1,-1038.743,-1038.743,164
4,97,RandTop,3,1,-1038.738,-1038.738,164
5,120,Random,3,1,-1038.738,-1038.738,164
3,61,Random,6,2,-2077.473,-1038.736,2
1,19,Random,3,1,-1038.735,-1038.735,164
1,24,RandTop,3,1,-1038.734,-1038.734,164
5,110,Permutate,6,2,-2077.456,-1038.728,2
5,107,Random,6,2,-2077.412,-1038.706,164
3,73,Heredity,3,1,-1038.691,-1038.691,12
5,118,Heredity,3,1,-1038.685,-1038.685,12
4,95,Random,3,1,-1038.685,-1038.685,12
4,94,Random,3,1,-1038.681,-1038.681,12
5,121,LatMutate,3,1,-1038.647,-1038.647,12
2,43,softmutate,6,2,-2077.283,-1038.641,2
5,102,Heredity,6,2,-2077.27,-1038.635,2
3,72,Heredity,3,1,-1038.628,-1038.628,12
3,67,softmutate,6,2,-2077.218,-1038.609,2
1,16,Random,3,1,-1038.606,-1038.606,12
3,75,LatMutate,3,1,-1038.601,-1038.601,12
1,18,Random,3,1,-1038.598,-1038.598,12
2,53,LatMutate,3,1,-1038.586,-1038.586,12
1,6,Random,6,2,-2077.141,-1038.57,1
3,66,softmutate,6,2,-2077.124,-1038.562,2
4,87,Permutate,6,2,-2077.117,-1038.559,2
1,28,RandTop,3,1,-1038.556,-1038.556,12
