Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,215,keptBest,3,1,-5224.678,-5224.678,123
4,83,RandTop,6,2,-10449.109,-5224.555,11
3,60,Permutate,6,2,-10449.052,-5224.526,59
4,84,Permutate,6,2,-10448.964,-5224.482,8
9,198,Permutate,6,2,-10448.865,-5224.432,51
7,152,Permutate,6,2,-10448.856,-5224.428,51
8,178,keptBest,6,2,-10448.856,-5224.428,51
3,67,keptBest,6,2,-10448.844,-5224.422,51
2,38,Random,6,2,-10448.844,-5224.422,51
7,156,keptBest,6,2,-10448.844,-5224.422,51
4,90,keptBest,6,2,-10448.844,-5224.422,51
6,135,keptBest,6,2,-10448.844,-5224.422,51
5,112,keptBest,6,2,-10448.844,-5224.422,51
1,15,RandTop,6,2,-10448.816,-5224.408,51
2,47,keptBest,6,2,-10448.816,-5224.408,51
1,16,RandTop,6,2,-10448.816,-5224.408,51
1,17,RandTop,6,2,-10448.801,-5224.401,51
1,14,RandTop,6,2,-10448.797,-5224.398,47
2,48,keptBest,6,2,-10448.797,-5224.398,47
3,68,keptBest,6,2,-10448.797,-5224.398,47
5,119,Permutate,3,1,-5224.382,-5224.382,2
6,129,Random,6,2,-10448.745,-5224.373,51
1,12,RandTop,6,2,-10448.744,-5224.372,51
7,164,Permutate,3,1,-5224.371,-5224.371,25
9,205,Heredity,3,1,-5224.363,-5224.363,25
6,137,Random,3,1,-5224.357,-5224.357,25
5,120,Permutate,3,1,-5224.353,-5224.353,1
8,180,Heredity,3,1,-5224.353,-5224.353,25
8,179,Heredity,3,1,-5224.347,-5224.347,25
1,2,Random,6,2,-10448.691,-5224.345,2
1,1,Random,6,2,-10448.675,-5224.337,176
2,53,keptBest,3,1,-5224.328,-5224.328,164
1,30,RandTop,3,1,-5224.328,-5224.328,164
4,91,Heredity,3,1,-5224.322,-5224.322,2
2,41,RandTop,6,2,-10448.624,-5224.312,71
2,49,Heredity,3,1,-5224.302,-5224.302,47
9,196,RandTop,6,2,-10448.596,-5224.298,47
4,82,RandTop,6,2,-10448.593,-5224.297,51
1,3,Random,6,2,-10448.59,-5224.295,2
7,157,Heredity,3,1,-5224.295,-5224.295,25
9,206,Heredity,3,1,-5224.294,-5224.294,123
2,40,Random,6,2,-10448.586,-5224.293,8
5,123,LatMutate,3,1,-5224.289,-5224.289,2
2,42,RandTop,6,2,-10448.573,-5224.287,11
8,187,Permutate,3,1,-5224.287,-5224.287,47
3,76,LatMutate,3,1,-5224.277,-5224.277,2
7,159,Heredity,3,1,-5224.267,-5224.267,47
9,209,Heredity,3,1,-5224.263,-5224.263,12
9,195,Random,6,2,-10448.524,-5224.262,51
6,130,RandTop,6,2,-10448.513,-5224.257,12
4,97,Permutate,3,1,-5224.254,-5224.254,12
9,213,LatMutate,3,1,-5224.241,-5224.241,47
1,8,Random,6,2,-10448.471,-5224.236,11
1,4,Random,6,2,-10448.467,-5224.234,13
1,13,RandTop,6,2,-10448.442,-5224.221,12
3,70,Random,3,1,-5224.203,-5224.203,12
1,24,Random,3,1,-5224.194,-5224.194,71
7,163,RandTop,3,1,-5224.191,-5224.191,12
9,193,Random,6,2,-10448.367,-5224.184,69
8,174,Permutate,6,2,-10448.366,-5224.183,26
7,165,LatMutate,3,1,-5224.175,-5224.175,12
1,7,Random,6,2,-10448.351,-5224.175,63
9,194,Random,6,2,-10448.345,-5224.172,12
2,50,RandTop,3,1,-5224.171,-5224.171,47
2,52,LatMutate,3,1,-5224.169,-5224.169,10
1,6,Random,6,2,-10448.294,-5224.147,63
9,208,Heredity,3,1,-5224.143,-5224.143,47
6,143,LatMutate,3,1,-5224.142,-5224.142,71
6,139,RandTop,3,1,-5224.139,-5224.139,123
7,150,Random,6,2,-10448.271,-5224.136,63
3,74,RandTop,3,1,-5224.127,-5224.127,47
8,185,RandTop,3,1,-5224.123,-5224.123,47
6,141,Permutate,3,1,-5224.122,-5224.122,47
7,151,Random,6,2,-10448.241,-5224.121,25
1,18,Random,3,1,-5224.119,-5224.119,47
1,9,Random,6,2,-10448.239,-5224.119,71
1,26,RandTop,3,1,-5224.117,-5224.117,123
7,161,RandTop,3,1,-5224.113,-5224.113,123
1,27,RandTop,3,1,-5224.113,-5224.113,123
1,20,Random,3,1,-5224.111,-5224.111,139
1,29,RandTop,3,1,-5224.109,-5224.109,123
5,116,RandTop,3,1,-5224.108,-5224.108,123
3,75,RandTop,3,1,-5224.104,-5224.104,123
6,136,Heredity,3,1,-5224.103,-5224.103,47
9,210,Random,3,1,-5224.103,-5224.103,123
9,212,RandTop,3,1,-5224.097,-5224.097,123
8,184,Random,3,1,-5224.094,-5224.094,139
3,72,RandTop,3,1,-5224.094,-5224.094,123
