Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,218,keptBest,6,2,-11037.585,-5518.792,8
7,250,Permutate,6,2,-11037.123,-5518.561,1
5,150,Permutate,6,2,-11036.973,-5518.487,15
6,182,keptBest,6,2,-11036.973,-5518.487,15
7,219,keptBest,6,2,-11036.973,-5518.487,15
2,53,Permutate,6,2,-11036.925,-5518.462,15
3,70,keptBest,6,2,-11036.925,-5518.462,15
4,108,keptBest,6,2,-11036.925,-5518.462,15
5,145,keptBest,6,2,-11036.925,-5518.462,15
4,109,keptBest,6,2,-11036.885,-5518.442,2
1,23,Random,6,2,-11036.885,-5518.442,2
3,71,keptBest,6,2,-11036.885,-5518.442,2
2,33,keptBest,6,2,-11036.885,-5518.442,2
5,165,Permutate,6,2,-11036.867,-5518.434,39
6,202,Permutate,6,2,-11036.778,-5518.389,1
5,157,Permutate,6,2,-11036.779,-5518.389,1
5,149,Permutate,6,2,-11036.774,-5518.387,1
2,34,keptBest,6,2,-11036.761,-5518.381,12
1,18,Random,6,2,-11036.761,-5518.381,12
4,126,Permutate,6,2,-11036.753,-5518.376,12
4,138,Random,6,2,-11036.746,-5518.373,1
7,249,Random,6,2,-11036.743,-5518.372,1
5,169,Permutate,6,2,-11036.707,-5518.353,2
3,105,Permutate,6,2,-11036.673,-5518.337,1
4,110,keptBest,6,2,-11036.673,-5518.337,1
3,101,Random,6,2,-11036.66,-5518.33,8
4,111,keptBest,6,2,-11036.66,-5518.33,8
4,128,Permutate,6,2,-11036.654,-5518.327,2
1,29,RandTop,6,2,-11036.649,-5518.325,2
2,35,keptBest,6,2,-11036.649,-5518.325,2
2,62,Permutate,6,2,-11036.647,-5518.324,1
5,167,Random,6,2,-11036.648,-5518.324,15
2,42,RandTop,3,1,-5518.301,-5518.301,1
3,76,keptBest,3,1,-5518.301,-5518.301,1
1,19,Random,6,2,-11036.577,-5518.289,2
2,36,keptBest,6,2,-11036.577,-5518.289,2
7,227,LatMutate,3,1,-5518.283,-5518.283,1
1,32,RandTop,6,2,-11036.546,-5518.273,2
7,240,RandTop,6,2,-11036.463,-5518.232,1
1,24,Random,6,2,-11036.461,-5518.23,2
2,37,keptBest,6,2,-11036.461,-5518.23,2
