Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,236,keptBest,3,1,-5041.585,-5041.585,10
10,219,Permutate,6,2,-10083.101,-5041.551,63
10,238,keptBest,3,1,-5041.383,-5041.383,123
7,163,Permutate,3,1,-5041.383,-5041.383,123
9,215,keptBest,3,1,-5041.383,-5041.383,123
8,190,keptBest,3,1,-5041.383,-5041.383,123
7,167,keptBest,3,1,-5041.382,-5041.382,123
6,142,Permutate,3,1,-5041.382,-5041.382,123
9,199,Heredity,3,1,-5041.354,-5041.354,123
8,180,Heredity,3,1,-5041.32,-5041.32,123
4,88,keptBest,6,2,-10082.566,-5041.283,47
3,70,keptBest,6,2,-10082.566,-5041.283,47
6,135,keptBest,6,2,-10082.566,-5041.283,47
1,10,RandTop,6,2,-10082.566,-5041.283,47
2,45,keptBest,6,2,-10082.566,-5041.283,47
5,114,keptBest,6,2,-10082.566,-5041.283,47
9,198,Heredity,3,1,-5041.281,-5041.281,10
10,223,Heredity,3,1,-5041.28,-5041.28,10
7,162,RandTop,3,1,-5041.264,-5041.264,10
8,191,keptBest,3,1,-5041.264,-5041.264,10
8,170,Random,6,2,-10082.51,-5041.255,123
6,145,keptBest,3,1,-5041.253,-5041.253,123
4,100,keptBest,3,1,-5041.253,-5041.253,123
5,122,keptBest,3,1,-5041.253,-5041.253,123
1,29,RandTop,3,1,-5041.253,-5041.253,123
3,78,keptBest,3,1,-5041.253,-5041.253,123
2,54,keptBest,3,1,-5041.253,-5041.253,123
5,109,Permutate,6,2,-10082.484,-5041.242,11
1,28,RandTop,3,1,-5041.239,-5041.239,10
8,188,LatMutate,3,1,-5041.235,-5041.235,10
10,233,LatMutate,3,1,-5041.229,-5041.229,10
7,157,Heredity,3,1,-5041.207,-5041.207,10
3,62,Random,6,2,-10082.393,-5041.196,71
4,83,Random,6,2,-10082.379,-5041.189,11
8,173,Random,6,2,-10082.358,-5041.179,71
3,75,Permutate,3,1,-5041.178,-5041.178,123
6,141,Permutate,3,1,-5041.177,-5041.177,123
7,168,keptBest,3,1,-5041.177,-5041.177,123
5,120,Permutate,3,1,-5041.175,-5041.175,12
5,118,RandTop,3,1,-5041.174,-5041.174,221
8,183,RandTop,3,1,-5041.173,-5041.173,221
5,105,Random,6,2,-10082.344,-5041.172,123
4,92,Random,3,1,-5041.169,-5041.169,123
2,48,Random,3,1,-5041.169,-5041.169,221
3,72,Heredity,3,1,-5041.169,-5041.169,123
9,208,RandTop,3,1,-5041.168,-5041.168,123
5,119,RandTop,3,1,-5041.168,-5041.168,221
7,156,Heredity,3,1,-5041.166,-5041.166,123
2,50,RandTop,3,1,-5041.166,-5041.166,123
4,99,LatMutate,3,1,-5041.166,-5041.166,12
6,140,Random,3,1,-5041.165,-5041.165,123
8,179,Heredity,3,1,-5041.162,-5041.162,123
3,59,Random,6,2,-10082.32,-5041.16,2
9,200,Heredity,3,1,-5041.157,-5041.157,123
7,161,Random,3,1,-5041.155,-5041.155,221
5,108,Random,6,2,-10082.309,-5041.155,51
7,159,Heredity,3,1,-5041.155,-5041.155,123
6,131,RandTop,6,2,-10082.31,-5041.155,51
7,153,Permutate,6,2,-10082.308,-5041.154,51
6,136,Heredity,3,1,-5041.152,-5041.152,10
1,22,Random,3,1,-5041.15,-5041.15,123
9,202,Heredity,3,1,-5041.15,-5041.15,10
9,204,Random,3,1,-5041.148,-5041.148,12
10,234,LatMutate,3,1,-5041.147,-5041.147,139
1,27,RandTop,3,1,-5041.144,-5041.144,123
2,52,Permutate,3,1,-5041.144,-5041.144,139
4,93,Random,3,1,-5041.14,-5041.14,139
10,231,RandTop,3,1,-5041.139,-5041.139,123
1,16,Random,3,1,-5041.138,-5041.138,225
6,144,LatMutate,3,1,-5041.13,-5041.13,71
1,19,Random,3,1,-5041.129,-5041.129,225
5,107,Random,6,2,-10082.257,-5041.129,71
10,230,Random,3,1,-5041.123,-5041.123,10
1,1,Random,6,2,-10082.247,-5041.123,2
6,130,RandTop,6,2,-10082.242,-5041.121,12
10,225,Heredity,3,1,-5041.118,-5041.118,123
9,203,Random,3,1,-5041.114,-5041.114,65
5,116,Random,3,1,-5041.109,-5041.109,12
1,20,Random,3,1,-5041.107,-5041.107,139
1,25,Random,3,1,-5041.104,-5041.104,225
4,82,Random,6,2,-10082.207,-5041.103,11
3,60,Random,6,2,-10082.2,-5041.1,139
6,138,Random,3,1,-5041.1,-5041.1,71
8,174,RandTop,6,2,-10082.195,-5041.097,47
1,24,Random,3,1,-5041.096,-5041.096,139
9,212,LatMutate,3,1,-5041.094,-5041.094,139
9,207,Random,3,1,-5041.094,-5041.094,10
10,228,Random,3,1,-5041.089,-5041.089,12
2,53,LatMutate,3,1,-5041.086,-5041.086,10
1,2,Random,6,2,-10082.171,-5041.086,139
5,106,Random,6,2,-10082.17,-5041.085,71
8,181,Heredity,3,1,-5041.083,-5041.083,10
8,187,LatMutate,3,1,-5041.083,-5041.083,71
1,6,Random,6,2,-10082.159,-5041.079,10
2,46,Heredity,3,1,-5041.073,-5041.073,71
10,226,Heredity,3,1,-5041.073,-5041.073,47
3,73,Random,3,1,-5041.061,-5041.061,47
1,21,Random,3,1,-5041.059,-5041.059,139
6,128,Random,6,2,-10082.115,-5041.058,6
8,171,Random,6,2,-10082.113,-5041.057,10
2,37,Random,6,2,-10082.114,-5041.057,123
7,149,Random,6,2,-10082.106,-5041.053,63
3,71,Heredity,3,1,-5041.044,-5041.044,12
5,117,Random,3,1,-5041.042,-5041.042,123
3,76,LatMutate,3,1,-5041.038,-5041.038,12
3,77,LatMutate,3,1,-5041.038,-5041.038,71
3,63,RandTop,6,2,-10082.075,-5041.038,71
1,14,RandTop,6,2,-10082.072,-5041.036,51
8,182,Random,3,1,-5041.034,-5041.034,47
8,186,LatMutate,3,1,-5041.028,-5041.028,2
5,121,LatMutate,3,1,-5041.025,-5041.025,71
1,7,RandTop,6,2,-10082.044,-5041.022,51
2,51,RandTop,3,1,-5041.022,-5041.022,8
6,129,Random,6,2,-10082.04,-5041.02,11
10,229,Random,3,1,-5041.017,-5041.017,139
6,137,Heredity,3,1,-5041.015,-5041.015,139
2,38,RandTop,6,2,-10082.029,-5041.014,51
1,8,RandTop,6,2,-10082.028,-5041.014,8
7,158,Heredity,3,1,-5041.012,-5041.012,65
9,192,Random,6,2,-10082.016,-5041.008,2
10,217,Random,6,2,-10082.014,-5041.007,123
4,91,Random,3,1,-5041.001,-5041.001,10
4,85,Permutate,6,2,-10082.0,-5041.0,13
4,89,Heredity,3,1,-5040.999,-5040.999,123
10,235,LatMutate,3,1,-5040.998,-5040.998,10
7,152,RandTop,6,2,-10081.991,-5040.995,10
9,211,LatMutate,3,1,-5040.994,-5040.994,71
1,4,Random,6,2,-10081.984,-5040.992,123
3,74,RandTop,3,1,-5040.99,-5040.99,12
1,9,RandTop,6,2,-10081.977,-5040.989,8
1,5,Random,6,2,-10081.977,-5040.988,194
1,3,Random,6,2,-10081.971,-5040.985,13
4,94,Random,3,1,-5040.983,-5040.983,69
4,96,RandTop,3,1,-5040.971,-5040.971,8
7,160,Random,3,1,-5040.971,-5040.971,47
