Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,145,keptBest,6,2,-10069.872,-5034.936,11
2,33,keptBest,6,2,-10069.711,-5034.856,221
6,191,LatMutate,3,1,-5034.685,-5034.685,221
1,17,Random,6,2,-10069.351,-5034.675,221
2,49,LatMutate,3,1,-5034.67,-5034.67,47
6,196,keptBest,3,1,-5034.67,-5034.67,47
5,159,keptBest,3,1,-5034.67,-5034.67,47
4,119,keptBest,3,1,-5034.67,-5034.67,47
3,79,keptBest,3,1,-5034.67,-5034.67,47
2,34,keptBest,6,2,-10069.322,-5034.661,26
1,32,RandTop,6,2,-10069.322,-5034.661,26
3,73,keptBest,6,2,-10069.322,-5034.661,26
2,45,keptBest,3,1,-5034.627,-5034.627,47
5,176,RandTop,6,2,-10069.253,-5034.627,123
1,11,Random,3,1,-5034.627,-5034.627,47
1,31,Random,6,2,-10069.245,-5034.623,1
6,217,Permutate,6,2,-10069.236,-5034.618,10
1,24,RandTop,6,2,-10069.23,-5034.615,11
2,35,keptBest,6,2,-10069.222,-5034.611,47
1,22,Random,6,2,-10069.222,-5034.611,47
2,69,RandTop,6,2,-10069.207,-5034.603,1
2,60,RandTop,6,2,-10069.166,-5034.583,51
2,36,keptBest,6,2,-10069.107,-5034.554,11
1,25,RandTop,6,2,-10069.107,-5034.554,11
1,26,Random,6,2,-10069.095,-5034.548,2
5,163,Permutate,6,2,-10069.094,-5034.547,194
4,141,RandTop,6,2,-10069.088,-5034.544,194
1,23,Random,6,2,-10069.082,-5034.541,139
3,101,Random,6,2,-10069.072,-5034.536,194
3,104,RandTop,6,2,-10069.063,-5034.532,63
5,147,keptBest,6,2,-10069.063,-5034.532,63
4,110,keptBest,6,2,-10069.063,-5034.532,63
6,184,keptBest,6,2,-10069.063,-5034.532,63
1,18,Random,6,2,-10069.055,-5034.528,139
5,157,LatMutate,3,1,-5034.495,-5034.495,2
6,186,Heredity,3,1,-5034.494,-5034.494,10
6,200,RandTop,3,1,-5034.491,-5034.491,5
3,95,LatMutate,3,1,-5034.473,-5034.473,12
6,185,Heredity,3,1,-5034.465,-5034.465,12
1,5,RandTop,3,1,-5034.46,-5034.46,65
5,156,LatMutate,3,1,-5034.453,-5034.453,65
1,7,RandTop,3,1,-5034.452,-5034.452,65
1,6,RandTop,3,1,-5034.447,-5034.447,65
1,8,RandTop,3,1,-5034.446,-5034.446,164
6,190,Permutate,3,1,-5034.43,-5034.43,6
1,1,Random,3,1,-5034.425,-5034.425,65
2,47,RandTop,3,1,-5034.415,-5034.415,65
5,148,Heredity,3,1,-5034.415,-5034.415,6
5,162,Random,3,1,-5034.414,-5034.414,12
6,197,keptBest,3,1,-5034.414,-5034.414,12
1,13,Random,3,1,-5034.411,-5034.411,47
1,28,Random,6,2,-10068.808,-5034.404,65
2,40,Heredity,3,1,-5034.402,-5034.402,6
1,10,Random,3,1,-5034.395,-5034.395,6
6,199,Random,3,1,-5034.392,-5034.392,47
4,124,RandTop,3,1,-5034.388,-5034.388,6
2,58,Permutate,6,2,-10068.774,-5034.387,59
5,149,Heredity,3,1,-5034.387,-5034.387,10
1,3,Random,3,1,-5034.387,-5034.387,6
3,82,Permutate,6,2,-10068.774,-5034.387,59
4,129,Random,3,1,-5034.38,-5034.38,2
5,181,RandTop,6,2,-10068.761,-5034.38,11
4,134,RandTop,6,2,-10068.747,-5034.374,59
2,44,Random,3,1,-5034.372,-5034.372,6
4,111,Heredity,3,1,-5034.366,-5034.366,10
1,30,RandTop,6,2,-10068.731,-5034.366,11
1,15,RandTop,6,2,-10068.724,-5034.362,47
2,62,Random,6,2,-10068.717,-5034.358,47
2,39,Heredity,3,1,-5034.336,-5034.336,47
6,210,RandTop,6,2,-10068.651,-5034.325,47
4,128,LatMutate,3,1,-5034.321,-5034.321,2
5,158,Heredity,3,1,-5034.3,-5034.3,2
5,152,Random,3,1,-5034.273,-5034.273,12
4,125,RandTop,3,1,-5034.26,-5034.26,47
6,198,Random,3,1,-5034.244,-5034.244,2
5,161,Random,3,1,-5034.224,-5034.224,10
6,189,RandTop,3,1,-5034.222,-5034.222,47
4,123,Random,3,1,-5034.174,-5034.174,12
6,205,LatMutate,3,1,-5034.174,-5034.174,8
5,180,RandTop,6,2,-10068.339,-5034.17,6
6,202,LatMutate,3,1,-5034.117,-5034.117,10
1,27,Random,6,2,-10068.2,-5034.1,2
4,122,Random,3,1,-5034.097,-5034.097,10
1,21,RandTop,6,2,-10068.112,-5034.056,51
3,89,RandTop,6,2,-10068.106,-5034.053,51
