Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,272,keptBest,3,1,-909.649,-909.649,10
6,188,Heredity,3,1,-909.435,-909.435,10
7,220,keptBest,6,2,-1818.709,-909.354,2
8,257,keptBest,6,2,-1818.709,-909.354,2
6,183,keptBest,6,2,-1818.709,-909.354,2
5,167,softmutate,6,2,-1818.709,-909.354,2
3,106,RandTop,6,2,-1818.677,-909.339,2
5,145,keptBest,6,2,-1818.677,-909.339,2
4,108,keptBest,6,2,-1818.677,-909.339,2
5,171,RandTop,6,2,-1818.517,-909.259,2
1,27,RandTop,6,2,-1818.499,-909.25,1
3,70,keptBest,6,2,-1818.499,-909.25,1
2,33,keptBest,6,2,-1818.499,-909.25,1
8,279,Random,6,2,-1818.442,-909.221,2
4,128,Heredity,6,2,-1818.42,-909.21,2
5,170,Heredity,6,2,-1818.347,-909.173,1
4,134,softmutate,6,2,-1818.249,-909.125,8
2,64,Random,6,2,-1818.212,-909.106,1
3,71,keptBest,6,2,-1818.212,-909.106,1
7,251,Random,6,2,-1817.98,-908.99,2
8,290,Random,6,2,-1817.976,-908.988,2
2,52,Heredity,6,2,-1817.973,-908.987,2
2,42,Heredity,6,2,-1817.958,-908.979,2
4,138,Heredity,6,2,-1817.945,-908.973,2
2,34,keptBest,6,2,-1817.944,-908.972,2
1,30,Random,6,2,-1817.944,-908.972,2
7,245,Heredity,6,2,-1817.941,-908.97,2
5,172,softmutate,6,2,-1817.867,-908.934,2
7,221,keptBest,6,2,-1817.867,-908.934,2
6,184,keptBest,6,2,-1817.867,-908.934,2
1,31,RandTop,6,2,-1817.849,-908.925,1
5,181,softmutate,6,2,-1817.824,-908.912,2
3,100,Heredity,6,2,-1817.747,-908.874,2
2,69,softmutate,6,2,-1817.717,-908.859,2
3,91,Heredity,6,2,-1817.71,-908.855,2
6,198,Heredity,6,2,-1817.704,-908.852,1
7,222,keptBest,6,2,-1817.704,-908.852,1
2,63,Heredity,6,2,-1817.641,-908.821,4
4,141,Random,6,2,-1817.636,-908.818,1
3,102,Random,6,2,-1817.63,-908.815,2
4,144,RandTop,6,2,-1817.565,-908.783,1
1,23,Random,6,2,-1817.501,-908.751,31
1,17,RandTop,6,2,-1817.474,-908.737,2
7,249,Random,6,2,-1817.462,-908.731,31
4,135,softmutate,6,2,-1817.441,-908.721,2
2,60,softmutate,6,2,-1817.416,-908.708,2
1,26,RandTop,6,2,-1817.383,-908.692,1
4,140,softmutate,6,2,-1817.358,-908.679,1
8,275,Random,3,1,-908.651,-908.651,44
7,225,Heredity,3,1,-908.65,-908.65,44
8,273,keptBest,3,1,-908.65,-908.65,44
2,44,keptBest,3,1,-908.649,-908.649,44
4,122,keptBest,3,1,-908.649,-908.649,44
3,84,keptBest,3,1,-908.649,-908.649,44
1,18,Random,3,1,-908.649,-908.649,44
6,204,keptBest,3,1,-908.649,-908.649,44
5,159,keptBest,3,1,-908.649,-908.649,44
