Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
12,277,Permutate,3,1,-926.702,-926.702,187
11,254,Permutate,3,1,-926.638,-926.638,160
5,108,Heredity,3,1,-926.491,-926.491,1
1,18,Random,3,1,-926.416,-926.416,8
12,274,Random,3,1,-926.366,-926.366,8
1,11,Random,3,1,-926.334,-926.334,187
4,95,softmutate,3,1,-926.277,-926.277,8
11,244,keptBest,6,2,-1850.78,-925.39,10
9,198,keptBest,6,2,-1850.78,-925.39,10
8,171,softmutate,6,2,-1850.78,-925.39,10
10,218,keptBest,6,2,-1850.78,-925.39,10
12,265,keptBest,6,2,-1850.78,-925.39,10
13,288,keptBest,6,2,-1850.78,-925.39,10
7,148,Random,6,2,-1850.601,-925.301,1
8,173,keptBest,6,2,-1850.601,-925.301,1
11,237,Random,6,2,-1850.594,-925.297,1
13,286,softmutate,6,2,-1850.546,-925.273,10
6,132,keptBest,6,2,-1850.448,-925.224,2
5,107,keptBest,6,2,-1850.448,-925.224,2
4,79,Permutate,6,2,-1850.448,-925.224,2
7,156,keptBest,6,2,-1850.448,-925.224,2
10,215,RandTop,6,2,-1850.345,-925.173,1
9,193,Permutate,6,2,-1850.308,-925.154,1
11,242,softmutate,6,2,-1850.111,-925.055,2
6,124,Random,6,2,-1849.954,-924.977,1
10,212,Heredity,6,2,-1849.921,-924.96,5
9,188,Heredity,6,2,-1849.892,-924.946,1
8,167,Random,6,2,-1849.868,-924.934,2
9,191,Random,6,2,-1849.801,-924.9,1
11,241,softmutate,6,2,-1849.78,-924.89,8
9,194,softmutate,6,2,-1849.723,-924.861,1
7,150,Permutate,6,2,-1849.592,-924.796,1
2,34,keptBest,6,2,-1849.502,-924.751,5
4,84,keptBest,6,2,-1849.502,-924.751,5
1,5,Random,6,2,-1849.502,-924.751,5
3,56,keptBest,6,2,-1849.502,-924.751,5
9,197,softmutate,6,2,-1849.471,-924.735,2
9,192,RandTop,6,2,-1849.466,-924.733,1
5,99,Heredity,6,2,-1849.459,-924.729,2
12,263,softmutate,6,2,-1849.449,-924.724,10
7,145,Heredity,6,2,-1849.442,-924.721,2
6,122,Heredity,6,2,-1849.439,-924.719,1
8,172,softmutate,6,2,-1849.411,-924.706,2
4,80,softmutate,6,2,-1849.405,-924.703,2
10,216,Permutate,6,2,-1849.403,-924.702,1
7,154,softmutate,6,2,-1849.335,-924.667,2
12,269,Heredity,3,1,-924.653,-924.653,1
8,176,Heredity,3,1,-924.65,-924.65,1
9,202,Heredity,3,1,-924.642,-924.642,1
8,164,Heredity,6,2,-1849.273,-924.637,1
7,152,LatMutate,6,2,-1849.268,-924.634,2
12,266,keptBest,6,2,-1849.239,-924.62,12
7,157,keptBest,6,2,-1849.239,-924.62,12
6,127,LatMutate,6,2,-1849.239,-924.62,12
11,245,keptBest,6,2,-1849.239,-924.62,12
10,219,keptBest,6,2,-1849.239,-924.62,12
8,174,keptBest,6,2,-1849.239,-924.62,12
9,199,keptBest,6,2,-1849.239,-924.62,12
5,105,Permutate,6,2,-1849.239,-924.619,1
12,264,softmutate,6,2,-1849.2,-924.6,1
4,92,Permutate,3,1,-924.597,-924.597,1
3,74,keptBest,3,1,-924.596,-924.596,8
2,43,RandTop,3,1,-924.596,-924.596,8
3,64,Heredity,3,1,-924.596,-924.596,1
4,98,keptBest,3,1,-924.596,-924.596,8
4,77,Random,6,2,-1849.189,-924.595,8
3,58,Heredity,3,1,-924.595,-924.595,1
3,54,softmutate,6,2,-1849.168,-924.584,22
2,31,Heredity,6,2,-1849.083,-924.542,2
7,162,RandTop,3,1,-924.542,-924.542,5
1,15,Random,3,1,-924.542,-924.542,5
1,25,RandTop,3,1,-924.542,-924.542,5
1,24,RandTop,3,1,-924.54,-924.54,5
1,10,RandTop,6,2,-1849.053,-924.526,1
10,217,softmutate,6,2,-1849.021,-924.511,1
8,185,LatMutate,3,1,-924.511,-924.511,1
8,166,Heredity,6,2,-1849.02,-924.51,1
5,101,Heredity,6,2,-1848.999,-924.499,1
5,106,softmutate,6,2,-1848.973,-924.486,1
6,121,Heredity,6,2,-1848.966,-924.483,2
3,55,softmutate,6,2,-1848.956,-924.478,6
13,295,RandTop,3,1,-924.472,-924.472,5
13,302,keptBest,3,1,-924.472,-924.472,5
9,203,Heredity,3,1,-924.472,-924.472,5
12,267,Heredity,3,1,-924.472,-924.472,5
4,93,LatMutate,3,1,-924.471,-924.471,5
2,41,Random,3,1,-924.471,-924.471,5
10,224,Heredity,3,1,-924.471,-924.471,5
2,49,softmutate,3,1,-924.471,-924.471,5
12,276,RandTop,3,1,-924.47,-924.47,5
4,90,Random,3,1,-924.47,-924.47,5
4,88,Heredity,3,1,-924.47,-924.47,5
10,228,RandTop,3,1,-924.47,-924.47,5
11,253,RandTop,3,1,-924.47,-924.47,5
4,86,Heredity,3,1,-924.469,-924.469,5
11,256,LatMutate,3,1,-924.469,-924.469,5
3,57,Heredity,3,1,-924.464,-924.464,5
11,243,softmutate,6,2,-1848.928,-924.464,1
7,161,Random,3,1,-924.438,-924.438,5
2,46,LatMutate,3,1,-924.416,-924.416,8
4,89,Heredity,3,1,-924.416,-924.416,8
3,72,LatMutate,3,1,-924.414,-924.414,8
1,4,Random,6,2,-1848.825,-924.412,1
6,136,Heredity,3,1,-924.404,-924.404,8
10,226,Heredity,3,1,-924.402,-924.402,8
4,83,softmutate,6,2,-1848.796,-924.398,1
6,129,softmutate,6,2,-1848.767,-924.383,2
8,179,Random,3,1,-924.38,-924.38,160
11,257,LatMutate,3,1,-924.377,-924.377,8
11,248,Heredity,3,1,-924.375,-924.375,8
7,151,Permutate,6,2,-1848.751,-924.375,1
7,147,Random,6,2,-1848.751,-924.375,7
3,67,Random,3,1,-924.371,-924.371,8
4,87,Heredity,3,1,-924.369,-924.369,8
13,293,Heredity,3,1,-924.369,-924.369,8
2,32,Random,6,2,-1848.738,-924.369,1
5,120,keptBest,3,1,-924.369,-924.369,8
6,141,keptBest,3,1,-924.369,-924.369,8
10,231,LatMutate,3,1,-924.364,-924.364,8
11,251,Random,3,1,-924.355,-924.355,1
3,66,Random,3,1,-924.355,-924.355,1
3,61,Heredity,3,1,-924.35,-924.35,1
8,180,Random,3,1,-924.349,-924.349,1
1,27,RandTop,3,1,-924.346,-924.346,1
1,26,RandTop,3,1,-924.346,-924.346,1
2,44,Permutate,3,1,-924.346,-924.346,1
13,287,softmutate,6,2,-1848.687,-924.344,2
2,40,Random,3,1,-924.344,-924.344,1
3,62,Heredity,3,1,-924.344,-924.344,1
7,160,Random,3,1,-924.343,-924.343,1
12,275,Random,3,1,-924.343,-924.343,1
1,12,Random,3,1,-924.33,-924.33,1
12,270,Heredity,3,1,-924.314,-924.314,25
3,63,Heredity,3,1,-924.308,-924.308,1
11,246,Heredity,3,1,-924.307,-924.307,25
3,71,LatMutate,3,1,-924.298,-924.298,8
5,109,Heredity,3,1,-924.297,-924.297,8
8,175,Heredity,3,1,-924.294,-924.294,1
7,142,Heredity,6,2,-1848.587,-924.294,1
2,51,keptBest,3,1,-924.288,-924.288,8
1,19,Random,3,1,-924.288,-924.288,8
2,45,Permutate,3,1,-924.288,-924.288,8
3,60,Heredity,3,1,-924.288,-924.288,8
1,13,Random,3,1,-924.287,-924.287,8
3,70,Permutate,3,1,-924.287,-924.287,8
5,115,softmutate,3,1,-924.284,-924.284,8
6,130,softmutate,6,2,-1848.557,-924.278,1
6,134,Heredity,3,1,-924.278,-924.278,8
8,177,Heredity,3,1,-924.27,-924.27,8
9,204,Heredity,3,1,-924.266,-924.266,1
5,116,softmutate,3,1,-924.262,-924.262,1
8,186,LatMutate,3,1,-924.262,-924.262,1
2,48,softmutate,3,1,-924.262,-924.262,1
