Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,87,keptBest,6,2,-4157.619,-2078.81,65
4,96,keptBest,3,1,-2078.672,-2078.672,12
3,70,RandTop,3,1,-2078.597,-2078.597,12
2,44,Heredity,3,1,-2078.592,-2078.592,12
1,9,RandTop,6,2,-4157.181,-2078.591,2
4,93,LatMutate,3,1,-2078.586,-2078.586,12
1,14,RandTop,6,2,-4157.158,-2078.579,12
4,89,Heredity,3,1,-2078.558,-2078.558,12
2,36,RandTop,6,2,-4157.093,-2078.547,4
2,45,Heredity,3,1,-2078.499,-2078.499,12
5,98,Heredity,6,2,-4156.987,-2078.494,2
3,68,Random,3,1,-2078.485,-2078.485,12
1,5,Random,6,2,-4156.945,-2078.473,11
2,35,RandTop,6,2,-4156.943,-2078.472,2
1,21,Random,3,1,-2078.413,-2078.413,12
5,101,RandTop,6,2,-4156.814,-2078.407,12
4,97,keptBest,3,1,-2078.384,-2078.384,12
2,52,keptBest,3,1,-2078.384,-2078.384,12
5,121,keptBest,3,1,-2078.384,-2078.384,12
1,19,Random,3,1,-2078.384,-2078.384,12
3,75,keptBest,3,1,-2078.384,-2078.384,12
5,117,Permutate,3,1,-2078.377,-2078.377,12
2,48,Permutate,3,1,-2078.377,-2078.377,12
1,20,Random,3,1,-2078.376,-2078.376,12
1,17,Random,3,1,-2078.375,-2078.375,12
1,24,Random,3,1,-2078.374,-2078.374,2
4,90,Random,3,1,-2078.37,-2078.37,12
5,109,Random,3,1,-2078.367,-2078.367,12
1,1,Random,6,2,-4156.687,-2078.343,12
5,99,Heredity,6,2,-4156.656,-2078.328,1
1,18,Random,3,1,-2078.323,-2078.323,2
4,83,RandTop,6,2,-4156.617,-2078.309,2
1,26,RandTop,3,1,-2078.305,-2078.305,12
1,25,Random,3,1,-2078.273,-2078.273,2
4,91,Random,3,1,-2078.269,-2078.269,12
4,85,Permutate,6,2,-4156.478,-2078.239,2
5,112,Random,3,1,-2078.236,-2078.236,2
1,3,Random,6,2,-4156.451,-2078.225,11
1,30,RandTop,3,1,-2078.224,-2078.224,2
4,77,Heredity,6,2,-4156.442,-2078.221,1
1,22,Random,3,1,-2078.21,-2078.21,2
5,100,Random,6,2,-4156.406,-2078.203,2
4,82,RandTop,6,2,-4156.289,-2078.144,4
1,12,RandTop,6,2,-4156.149,-2078.074,1
4,81,Random,6,2,-4156.135,-2078.068,1
5,119,LatMutate,3,1,-2078.048,-2078.048,2
2,34,RandTop,6,2,-4155.92,-2077.96,2
3,58,RandTop,6,2,-4155.884,-2077.942,2
2,33,Random,6,2,-4155.761,-2077.88,1
3,56,Random,6,2,-4155.627,-2077.813,1
2,37,Permutate,6,2,-4155.582,-2077.791,65
5,103,softmutate,6,2,-4155.578,-2077.789,1
3,55,Random,6,2,-4155.562,-2077.781,166
3,57,RandTop,6,2,-4155.546,-2077.773,2
3,59,Permutate,6,2,-4155.539,-2077.77,12
4,84,Permutate,6,2,-4155.522,-2077.761,6
4,86,softmutate,6,2,-4155.46,-2077.73,1
1,8,RandTop,6,2,-4155.214,-2077.607,1
2,38,softmutate,6,2,-4155.109,-2077.554,1
3,60,softmutate,6,2,-4155.091,-2077.545,2
3,53,Heredity,6,2,-4155.062,-2077.531,2
4,78,Heredity,6,2,-4155.058,-2077.529,2
1,6,Random,6,2,-4154.987,-2077.493,1
5,115,RandTop,3,1,-2077.477,-2077.477,8
2,49,LatMutate,3,1,-2077.475,-2077.475,8
5,107,Heredity,3,1,-2077.474,-2077.474,8
4,92,LatMutate,3,1,-2077.444,-2077.444,1
1,13,RandTop,6,2,-4154.88,-2077.44,200
3,73,LatMutate,3,1,-2077.412,-2077.412,8
3,72,LatMutate,3,1,-2077.37,-2077.37,1
5,111,Random,3,1,-2077.368,-2077.368,1
2,40,Heredity,3,1,-2077.36,-2077.36,8
2,43,Heredity,3,1,-2077.348,-2077.348,8
2,47,Random,3,1,-2077.342,-2077.342,1
5,108,Heredity,3,1,-2077.34,-2077.34,8
1,10,RandTop,6,2,-4154.678,-2077.339,10
5,110,Random,3,1,-2077.317,-2077.317,1
1,27,RandTop,3,1,-2077.303,-2077.303,8
4,95,LatMutate,3,1,-2077.286,-2077.286,2
4,76,Heredity,6,2,-4154.432,-2077.216,1
1,7,RandTop,6,2,-4154.331,-2077.165,10
2,32,Random,6,2,-4154.281,-2077.14,1
4,79,Heredity,6,2,-4154.237,-2077.118,2
2,31,Heredity,6,2,-4154.232,-2077.116,1
5,113,RandTop,3,1,-2077.077,-2077.077,38
3,54,Heredity,6,2,-4154.114,-2077.057,1
1,16,Random,3,1,-2077.037,-2077.037,1
3,69,Random,3,1,-2077.011,-2077.011,1
5,118,LatMutate,3,1,-2076.398,-2076.398,1
2,46,Heredity,3,1,-2076.394,-2076.394,1
4,94,LatMutate,3,1,-2076.391,-2076.391,1
4,80,Random,6,2,-4152.731,-2076.366,20
1,23,Random,3,1,-2076.35,-2076.35,1
5,114,RandTop,3,1,-2076.198,-2076.198,38
1,4,Random,6,2,-4151.699,-2075.85,9
3,62,softmutate,6,2,-4151.671,-2075.836,8
1,29,RandTop,3,1,-2075.776,-2075.776,187
5,102,softmutate,6,2,-4151.455,-2075.727,1
3,61,softmutate,6,2,-4149.52,-2074.76,1
