Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,25,Random,6,2,-8352.099,-4176.05,123
1,30,RandTop,6,2,-8351.572,-4175.786,47
5,156,LatMutate,3,1,-4175.776,-4175.776,65
5,178,RandTop,6,2,-8351.485,-4175.742,10
3,86,LatMutate,3,1,-4175.741,-4175.741,2
2,40,Heredity,3,1,-4175.74,-4175.74,47
2,36,keptBest,3,1,-4175.685,-4175.685,221
4,122,keptBest,3,1,-4175.685,-4175.685,221
1,3,Random,3,1,-4175.685,-4175.685,221
5,159,keptBest,3,1,-4175.685,-4175.685,221
3,82,keptBest,3,1,-4175.685,-4175.685,221
5,157,LatMutate,3,1,-4175.684,-4175.684,2
1,10,RandTop,3,1,-4175.684,-4175.684,221
2,46,Permutate,3,1,-4175.681,-4175.681,221
4,117,RandTop,3,1,-4175.681,-4175.681,221
2,37,Heredity,3,1,-4175.678,-4175.678,221
5,148,Heredity,3,1,-4175.674,-4175.674,221
4,110,Heredity,3,1,-4175.674,-4175.674,221
5,172,Random,6,2,-8351.343,-4175.672,1
5,150,Heredity,3,1,-4175.671,-4175.671,221
5,149,Heredity,3,1,-4175.671,-4175.671,221
5,155,RandTop,3,1,-4175.661,-4175.661,221
5,144,keptBest,6,2,-8351.321,-4175.661,164
3,78,RandTop,3,1,-4175.661,-4175.661,47
3,105,Random,6,2,-8351.321,-4175.661,164
4,107,keptBest,6,2,-8351.321,-4175.661,164
4,115,Heredity,3,1,-4175.652,-4175.652,221
5,151,Heredity,3,1,-4175.641,-4175.641,123
3,73,Heredity,3,1,-4175.638,-4175.638,221
3,77,Random,3,1,-4175.636,-4175.636,221
5,152,Heredity,3,1,-4175.634,-4175.634,221
1,5,Random,3,1,-4175.633,-4175.633,221
3,74,Heredity,3,1,-4175.629,-4175.629,221
3,94,RandTop,6,2,-8351.249,-4175.625,59
4,108,keptBest,6,2,-8351.249,-4175.625,59
5,145,keptBest,6,2,-8351.249,-4175.625,59
3,104,RandTop,6,2,-8351.216,-4175.608,11
1,15,Random,6,2,-8351.213,-4175.607,221
2,47,RandTop,3,1,-4175.605,-4175.605,10
4,118,RandTop,3,1,-4175.6,-4175.6,123
2,38,Heredity,3,1,-4175.598,-4175.598,123
1,24,RandTop,6,2,-8351.183,-4175.591,123
3,102,RandTop,6,2,-8351.172,-4175.586,2
4,109,keptBest,6,2,-8351.172,-4175.586,2
