Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,10,Random,6,2,-8334.755,-4167.377,176
5,110,Permutate,6,2,-8334.195,-4167.098,166
3,61,Random,6,2,-8334.191,-4167.096,12
5,117,keptBest,6,2,-8334.191,-4167.096,12
4,95,keptBest,6,2,-8334.191,-4167.096,12
4,87,Random,6,2,-8333.944,-4166.972,12
5,105,Heredity,6,2,-8333.467,-4166.733,2
2,34,Heredity,6,2,-8333.442,-4166.721,11
5,111,Permutate,6,2,-8333.357,-4166.679,1
2,35,Heredity,6,2,-8333.334,-4166.667,2
3,56,Heredity,6,2,-8333.298,-4166.649,11
2,40,Permutate,6,2,-8333.265,-4166.633,2
3,66,Permutate,6,2,-8333.261,-4166.631,2
4,77,Heredity,6,2,-8333.226,-4166.613,11
3,60,Heredity,6,2,-8333.099,-4166.55,11
2,33,Heredity,6,2,-8333.019,-4166.51,2
5,103,Heredity,6,2,-8332.997,-4166.499,2
2,37,Heredity,6,2,-8332.927,-4166.463,2
3,73,keptBest,6,2,-8332.916,-4166.458,51
2,45,keptBest,6,2,-8332.916,-4166.458,51
5,118,keptBest,6,2,-8332.916,-4166.458,51
4,96,keptBest,6,2,-8332.916,-4166.458,51
1,18,RandTop,6,2,-8332.916,-4166.458,51
1,13,RandTop,6,2,-8332.807,-4166.404,11
3,74,keptBest,6,2,-8332.807,-4166.404,11
2,46,keptBest,6,2,-8332.807,-4166.404,11
3,65,RandTop,6,2,-8332.806,-4166.403,2
2,31,Heredity,6,2,-8332.793,-4166.397,2
4,79,Heredity,6,2,-8332.747,-4166.374,2
1,1,Random,6,2,-8332.706,-4166.353,2
4,81,Heredity,6,2,-8332.64,-4166.32,2
1,15,RandTop,6,2,-8332.391,-4166.196,2
5,109,RandTop,6,2,-8332.305,-4166.153,1
3,62,Random,6,2,-8332.275,-4166.137,51
5,107,Heredity,6,2,-8332.24,-4166.12,2
4,80,Heredity,6,2,-8332.222,-4166.111,2
4,99,RandTop,3,1,-4166.067,-4166.067,164
2,32,Heredity,6,2,-8332.131,-4166.066,10
5,113,LatMutate,6,2,-8332.116,-4166.058,2
5,106,Heredity,6,2,-8332.117,-4166.058,2
1,21,Random,3,1,-4166.056,-4166.056,123
1,25,RandTop,3,1,-4166.053,-4166.053,123
2,52,Permutate,3,1,-4166.053,-4166.053,123
1,19,Random,3,1,-4166.051,-4166.051,123
3,57,Heredity,6,2,-8332.096,-4166.048,2
1,6,Random,6,2,-8332.082,-4166.041,113
1,12,RandTop,6,2,-8332.08,-4166.04,1
2,48,Random,3,1,-4166.036,-4166.036,123
1,2,Random,6,2,-8332.02,-4166.01,2
1,9,Random,6,2,-8332.0,-4166.0,167
3,76,Random,3,1,-4165.994,-4165.994,164
1,4,Random,6,2,-8331.976,-4165.988,15
4,84,Random,6,2,-8331.973,-4165.986,167
5,100,Heredity,6,2,-8331.939,-4165.97,2
4,82,Heredity,6,2,-8331.921,-4165.96,11
1,30,RandTop,3,1,-4165.952,-4165.952,123
3,64,RandTop,6,2,-8331.875,-4165.938,51
5,120,Random,3,1,-4165.931,-4165.931,2
3,55,Heredity,6,2,-8331.84,-4165.92,1
4,88,RandTop,6,2,-8331.839,-4165.919,51
1,28,RandTop,3,1,-4165.887,-4165.887,47
5,114,softmutate,6,2,-8331.763,-4165.882,2
2,53,LatMutate,3,1,-4165.874,-4165.874,1
2,39,Random,6,2,-8331.74,-4165.87,46
1,20,Random,3,1,-4165.867,-4165.867,1
1,24,Random,3,1,-4165.825,-4165.825,221
4,98,Random,3,1,-4165.823,-4165.823,221
1,22,Random,3,1,-4165.808,-4165.808,221
1,26,RandTop,3,1,-4165.808,-4165.808,221
5,102,Heredity,6,2,-8331.615,-4165.808,2
2,42,softmutate,6,2,-8331.617,-4165.808,2
1,23,Random,3,1,-4165.807,-4165.807,221
4,97,Random,3,1,-4165.806,-4165.806,221
5,121,Random,3,1,-4165.805,-4165.805,221
5,104,Heredity,6,2,-8331.603,-4165.801,2
1,27,RandTop,3,1,-4165.799,-4165.799,1
2,47,Heredity,3,1,-4165.783,-4165.783,221
2,43,softmutate,6,2,-8331.554,-4165.777,2
3,75,Heredity,3,1,-4165.773,-4165.773,65
2,36,Heredity,6,2,-8331.528,-4165.764,2
2,50,RandTop,3,1,-4165.752,-4165.752,123
3,58,Heredity,6,2,-8331.46,-4165.73,2
5,119,Random,3,1,-4165.724,-4165.724,10
3,59,Heredity,6,2,-8331.438,-4165.719,2
5,115,softmutate,6,2,-8331.425,-4165.713,2
1,16,RandTop,6,2,-8331.419,-4165.71,12
3,68,LatMutate,6,2,-8331.367,-4165.683,2
5,101,Heredity,6,2,-8331.329,-4165.664,10
3,70,softmutate,6,2,-8331.283,-4165.642,2
2,41,LatMutate,6,2,-8331.274,-4165.637,2
3,54,Heredity,6,2,-8331.181,-4165.591,2
2,49,RandTop,3,1,-4165.542,-4165.542,1
2,51,RandTop,3,1,-4165.527,-4165.527,25
4,85,Random,6,2,-8331.047,-4165.523,137
5,122,RandTop,3,1,-4165.443,-4165.443,65
1,29,RandTop,3,1,-4165.428,-4165.428,65
3,71,softmutate,6,2,-8330.797,-4165.399,2
4,93,softmutate,6,2,-8330.616,-4165.308,12
4,78,Heredity,6,2,-8330.551,-4165.275,47
4,83,Heredity,6,2,-8330.503,-4165.251,12
3,69,LatMutate,6,2,-8329.599,-4164.799,2
5,112,LatMutate,6,2,-8329.085,-4164.542,1
4,92,LatMutate,6,2,-8328.761,-4164.38,2
4,91,LatMutate,6,2,-8328.375,-4164.187,1
