Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,232,keptBest,6,2,-2853.961,-1426.981,1
7,163,keptBest,6,2,-2853.532,-1426.766,51
10,233,keptBest,6,2,-2853.532,-1426.766,51
5,117,keptBest,6,2,-2853.532,-1426.766,51
4,90,keptBest,6,2,-2853.532,-1426.766,51
6,141,keptBest,6,2,-2853.532,-1426.766,51
8,186,keptBest,6,2,-2853.532,-1426.766,51
3,70,keptBest,6,2,-2853.532,-1426.766,51
2,44,keptBest,6,2,-2853.532,-1426.766,51
1,15,RandTop,6,2,-2853.532,-1426.766,51
9,207,keptBest,6,2,-2853.532,-1426.766,51
9,201,Permutate,6,2,-2853.382,-1426.691,1
3,65,Permutate,6,2,-2853.305,-1426.653,1
6,133,Permutate,6,2,-2853.288,-1426.644,6
5,106,Permutate,6,2,-2853.283,-1426.641,6
4,91,keptBest,6,2,-2853.123,-1426.562,25
3,71,keptBest,6,2,-2853.123,-1426.562,25
10,229,Permutate,6,2,-2853.124,-1426.562,25
2,40,Permutate,6,2,-2853.123,-1426.562,25
5,107,Permutate,6,2,-2853.116,-1426.558,25
2,45,keptBest,6,2,-2853.065,-1426.532,1
3,72,keptBest,6,2,-2853.065,-1426.532,1
1,5,Random,6,2,-2853.065,-1426.532,1
5,100,Heredity,6,2,-2853.063,-1426.531,2
7,153,Heredity,6,2,-2853.046,-1426.523,8
5,112,softmutate,6,2,-2853.0,-1426.5,1
5,99,Heredity,6,2,-2852.983,-1426.492,1
9,193,Heredity,6,2,-2852.947,-1426.473,1
10,221,Heredity,6,2,-2852.886,-1426.443,8
1,17,RandTop,6,2,-2852.881,-1426.44,6
10,225,Random,6,2,-2852.834,-1426.417,1
7,158,LatMutate,6,2,-2852.832,-1426.416,1
10,236,keptBest,3,1,-1426.394,-1426.394,25
9,214,keptBest,3,1,-1426.394,-1426.394,25
9,209,Random,3,1,-1426.394,-1426.394,25
8,189,Random,3,1,-1426.394,-1426.394,25
6,122,Heredity,6,2,-2852.77,-1426.385,1
6,134,LatMutate,6,2,-2852.694,-1426.347,2
6,142,keptBest,6,2,-2852.668,-1426.334,38
5,105,Random,6,2,-2852.668,-1426.334,38
7,164,keptBest,6,2,-2852.668,-1426.334,38
8,187,keptBest,6,2,-2852.668,-1426.334,38
2,39,RandTop,6,2,-2852.661,-1426.331,1
6,125,Heredity,6,2,-2852.659,-1426.33,1
5,108,Permutate,6,2,-2852.654,-1426.327,8
1,10,Random,6,2,-2852.646,-1426.323,5
7,151,Heredity,6,2,-2852.64,-1426.32,1
10,224,Random,6,2,-2852.637,-1426.319,4
