Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,166,Random,6,2,-3017.011,-1508.506,2
9,192,Permutate,6,2,-3016.597,-1508.298,1
10,209,Random,6,2,-3016.527,-1508.263,1
10,218,keptBest,6,2,-3016.43,-1508.215,12
9,197,keptBest,6,2,-3016.43,-1508.215,12
12,266,keptBest,6,2,-3016.43,-1508.215,12
11,245,keptBest,6,2,-3016.43,-1508.215,12
8,176,keptBest,6,2,-3016.43,-1508.215,12
7,149,Permutate,6,2,-3016.43,-1508.215,12
8,168,RandTop,6,2,-3016.393,-1508.197,12
9,188,Random,6,2,-3016.329,-1508.164,1
7,154,keptBest,6,2,-3016.327,-1508.163,1
6,125,Permutate,6,2,-3016.327,-1508.163,1
11,236,Permutate,6,2,-3016.301,-1508.151,8
8,163,Heredity,6,2,-3016.241,-1508.12,8
5,108,Permutate,6,2,-3016.18,-1508.09,8
6,131,keptBest,6,2,-3016.18,-1508.09,8
6,132,keptBest,6,2,-3016.162,-1508.081,1
2,46,keptBest,6,2,-3016.162,-1508.081,1
3,64,keptBest,6,2,-3016.162,-1508.081,1
4,91,keptBest,6,2,-3016.162,-1508.081,1
1,9,RandTop,6,2,-3016.162,-1508.081,1
5,112,keptBest,6,2,-3016.162,-1508.081,1
5,113,keptBest,6,2,-3016.14,-1508.07,6
4,76,Heredity,6,2,-3016.14,-1508.07,6
6,126,Permutate,6,2,-3016.127,-1508.064,12
2,43,Permutate,6,2,-3016.123,-1508.062,2
4,86,Permutate,6,2,-3016.103,-1508.052,1
8,174,softmutate,6,2,-3016.093,-1508.047,1
11,231,Random,6,2,-3016.086,-1508.043,12
6,127,LatMutate,6,2,-3016.07,-1508.035,1
11,226,Heredity,6,2,-3016.024,-1508.012,2
7,147,RandTop,6,2,-3016.018,-1508.009,1
3,57,Heredity,6,2,-3015.978,-1507.989,1
4,92,keptBest,6,2,-3015.978,-1507.989,1
12,260,LatMutate,6,2,-3015.953,-1507.976,2
10,203,Heredity,6,2,-3015.945,-1507.972,8
12,248,Heredity,6,2,-3015.941,-1507.971,1
8,161,Heredity,6,2,-3015.904,-1507.952,8
6,123,Heredity,6,2,-3015.895,-1507.947,12
8,167,Random,6,2,-3015.79,-1507.895,1
7,140,Heredity,6,2,-3015.769,-1507.884,1
1,10,RandTop,6,2,-3015.718,-1507.859,1
5,98,Heredity,6,2,-3015.717,-1507.858,2
9,189,Random,6,2,-3015.691,-1507.845,8
9,185,Heredity,6,2,-3015.657,-1507.828,8
7,150,LatMutate,6,2,-3015.631,-1507.815,2
7,139,Heredity,6,2,-3015.608,-1507.804,1
8,162,Heredity,6,2,-3015.532,-1507.766,8
5,101,Heredity,6,2,-3015.481,-1507.74,1
12,267,keptBest,6,2,-3015.464,-1507.732,63
11,246,keptBest,6,2,-3015.464,-1507.732,63
10,219,keptBest,6,2,-3015.464,-1507.732,63
9,186,Random,6,2,-3015.464,-1507.732,63
11,238,Permutate,6,2,-3015.433,-1507.717,1
10,210,Random,6,2,-3015.407,-1507.704,12
4,93,keptBest,6,2,-3015.391,-1507.695,12
1,7,Random,6,2,-3015.391,-1507.695,12
2,47,keptBest,6,2,-3015.391,-1507.695,12
5,114,keptBest,6,2,-3015.391,-1507.695,12
3,65,keptBest,6,2,-3015.391,-1507.695,12
2,38,Random,6,2,-3015.388,-1507.694,12
5,105,Random,6,2,-3015.349,-1507.674,2
5,104,Heredity,6,2,-3015.321,-1507.66,1
10,216,softmutate,6,2,-3015.304,-1507.652,1
10,208,Heredity,6,2,-3015.304,-1507.652,2
5,102,Heredity,6,2,-3015.289,-1507.644,2
10,212,Permutate,6,2,-3015.279,-1507.639,1
11,233,Random,6,2,-3015.265,-1507.632,4
8,165,Random,6,2,-3015.256,-1507.628,12
2,40,Random,6,2,-3015.251,-1507.625,1
