Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,20,Random,3,1,-2962.685,-2962.685,8
1,9,RandTop,6,2,-5925.355,-2962.677,41
1,7,Random,6,2,-5925.034,-2962.517,2
4,88,Heredity,3,1,-2962.476,-2962.476,1
2,33,Random,6,2,-5924.9,-2962.45,2
2,34,Random,6,2,-5924.884,-2962.442,2
3,64,Heredity,3,1,-2962.435,-2962.435,1
2,36,Permutate,6,2,-5924.855,-2962.428,1
2,42,keptBest,6,2,-5924.812,-2962.406,12
1,1,Random,6,2,-5924.812,-2962.406,12
5,120,LatMutate,3,1,-2962.369,-2962.369,5
1,8,Random,6,2,-5924.737,-2962.368,13
1,4,Random,6,2,-5924.73,-2962.365,13
1,23,Random,3,1,-2962.334,-2962.334,1
4,98,keptBest,3,1,-2962.33,-2962.33,5
5,122,keptBest,3,1,-2962.33,-2962.33,5
3,65,Random,3,1,-2962.33,-2962.33,5
2,43,Heredity,3,1,-2962.316,-2962.316,1
1,5,Random,6,2,-5924.626,-2962.313,1
2,44,Heredity,3,1,-2962.304,-2962.304,1
5,100,Heredity,6,2,-5924.562,-2962.281,9
1,17,Random,3,1,-2962.276,-2962.276,1
5,114,Heredity,3,1,-2962.264,-2962.264,1
3,71,LatMutate,3,1,-2962.253,-2962.253,5
3,68,RandTop,3,1,-2962.234,-2962.234,5
3,72,LatMutate,3,1,-2962.215,-2962.215,1
1,21,Random,3,1,-2962.208,-2962.208,2
1,3,Random,6,2,-5924.392,-2962.196,9
1,6,Random,6,2,-5924.387,-2962.193,2
1,27,RandTop,3,1,-2962.187,-2962.187,2
5,106,RandTop,6,2,-5924.37,-2962.185,12
3,56,Heredity,6,2,-5924.301,-2962.151,1
2,49,Random,3,1,-2962.131,-2962.131,2
3,74,keptBest,3,1,-2962.131,-2962.131,2
3,62,Heredity,3,1,-2962.118,-2962.118,2
1,15,Random,3,1,-2962.116,-2962.116,44
4,79,RandTop,6,2,-5924.231,-2962.116,2
1,29,RandTop,3,1,-2962.112,-2962.112,44
4,95,LatMutate,3,1,-2962.104,-2962.104,1
1,10,RandTop,6,2,-5924.182,-2962.091,1
2,50,RandTop,3,1,-2962.089,-2962.089,38
1,2,Random,6,2,-5924.175,-2962.087,6
1,18,Random,3,1,-2962.087,-2962.087,5
5,104,Random,6,2,-5924.169,-2962.085,1
1,22,Random,3,1,-2962.077,-2962.077,44
4,90,Random,3,1,-2962.071,-2962.071,6
1,26,RandTop,3,1,-2962.069,-2962.069,5
2,40,softmutate,6,2,-5924.123,-2962.061,1
4,93,Permutate,3,1,-2962.057,-2962.057,44
3,69,RandTop,3,1,-2962.051,-2962.051,5
5,118,Permutate,3,1,-2962.047,-2962.047,44
3,66,Random,3,1,-2962.042,-2962.042,5
5,103,Random,6,2,-5924.068,-2962.034,2
1,25,RandTop,3,1,-2962.027,-2962.027,1
5,102,Random,6,2,-5924.038,-2962.019,2
5,119,LatMutate,3,1,-2962.016,-2962.016,8
5,116,RandTop,3,1,-2962.012,-2962.012,1
1,19,Random,3,1,-2962.011,-2962.011,44
3,63,Heredity,3,1,-2962.007,-2962.007,1
4,86,Heredity,3,1,-2962.006,-2962.006,1
5,112,Heredity,3,1,-2962.001,-2962.001,1
5,113,Heredity,3,1,-2961.981,-2961.981,5
1,11,RandTop,6,2,-5923.959,-2961.98,4
2,47,Heredity,3,1,-2961.977,-2961.977,1
2,46,Heredity,3,1,-2961.968,-2961.968,1
4,87,Heredity,3,1,-2961.95,-2961.95,1
3,55,Heredity,6,2,-5923.851,-2961.926,1
3,54,Heredity,6,2,-5923.827,-2961.913,1
3,53,Heredity,6,2,-5923.812,-2961.906,2
2,31,Heredity,6,2,-5923.798,-2961.899,1
3,67,RandTop,3,1,-2961.84,-2961.84,5
4,78,RandTop,6,2,-5923.65,-2961.825,2
4,89,Heredity,3,1,-2961.768,-2961.768,1
3,57,Permutate,6,2,-5923.527,-2961.763,1
3,60,softmutate,6,2,-5923.519,-2961.759,1
4,82,softmutate,6,2,-5923.514,-2961.757,1
5,101,Heredity,6,2,-5923.488,-2961.744,1
2,38,LatMutate,6,2,-5923.467,-2961.733,1
4,83,softmutate,6,2,-5923.448,-2961.724,2
2,35,RandTop,6,2,-5923.396,-2961.698,1
2,37,LatMutate,6,2,-5923.222,-2961.611,1
1,14,RandTop,6,2,-5923.211,-2961.605,1
4,81,softmutate,6,2,-5923.207,-2961.603,2
5,107,softmutate,6,2,-5923.154,-2961.577,1
2,39,softmutate,6,2,-5923.153,-2961.576,2
4,80,Permutate,6,2,-5923.143,-2961.571,1
5,108,softmutate,6,2,-5923.13,-2961.565,2
2,51,RandTop,3,1,-2961.443,-2961.443,5
3,59,softmutate,6,2,-5922.651,-2961.326,1
3,58,softmutate,6,2,-5922.597,-2961.298,1
4,76,Heredity,6,2,-5922.552,-2961.276,6
4,84,softmutate,6,2,-5922.368,-2961.184,1
2,32,Heredity,6,2,-5922.246,-2961.123,1
5,109,softmutate,6,2,-5922.196,-2961.098,1
5,110,softmutate,6,2,-5922.107,-2961.053,1
4,75,Heredity,6,2,-5921.906,-2960.953,2
1,30,RandTop,3,1,-2960.901,-2960.901,1
5,99,Heredity,6,2,-5920.994,-2960.497,2
1,28,RandTop,3,1,-2960.164,-2960.164,12
1,24,RandTop,3,1,-2959.216,-2959.216,2
