Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,31,keptBest,6,2,-2929.228,-1464.614,12
4,117,Heredity,6,2,-2928.669,-1464.335,8
5,142,keptBest,6,2,-2928.669,-1464.335,8
4,106,keptBest,6,2,-2928.565,-1464.283,12
3,93,softmutate,6,2,-2928.565,-1464.283,12
1,26,RandTop,6,2,-2928.444,-1464.222,12
3,88,RandTop,6,2,-2928.425,-1464.213,12
5,143,keptBest,6,2,-2928.262,-1464.131,44
3,69,keptBest,6,2,-2928.262,-1464.131,44
2,32,keptBest,6,2,-2928.262,-1464.131,44
4,107,keptBest,6,2,-2928.262,-1464.131,44
1,29,RandTop,6,2,-2928.262,-1464.131,44
5,170,RandTop,6,2,-2928.213,-1464.107,12
1,19,Random,6,2,-2928.198,-1464.099,74
4,121,RandTop,6,2,-2928.122,-1464.061,2
4,124,Permutate,6,2,-2928.077,-1464.039,5
3,75,Permutate,6,2,-2928.07,-1464.035,1
5,169,Random,6,2,-2928.06,-1464.03,12
3,70,keptBest,6,2,-2928.006,-1464.003,1
2,59,Permutate,6,2,-2928.006,-1464.003,1
1,28,Random,6,2,-2927.99,-1463.995,1
4,125,softmutate,6,2,-2927.96,-1463.98,1
1,22,Random,6,2,-2927.828,-1463.914,15
2,67,softmutate,6,2,-2927.776,-1463.888,1
3,89,Permutate,6,2,-2927.697,-1463.849,2
5,176,Permutate,6,2,-2927.672,-1463.836,2
2,65,Permutate,6,2,-2927.661,-1463.83,2
3,71,keptBest,6,2,-2927.661,-1463.83,2
4,122,RandTop,6,2,-2927.582,-1463.791,2
5,144,keptBest,6,2,-2927.454,-1463.727,5
3,90,Heredity,6,2,-2927.454,-1463.727,5
4,108,keptBest,6,2,-2927.454,-1463.727,5
1,11,RandTop,6,2,-2927.3,-1463.65,4
1,15,Random,6,2,-2927.298,-1463.649,4
4,133,Permutate,6,2,-2927.298,-1463.649,2
4,110,Random,6,2,-2927.297,-1463.648,4
4,139,RandTop,6,2,-2927.294,-1463.647,2
4,128,Random,6,2,-2927.27,-1463.635,15
5,145,keptBest,6,2,-2927.27,-1463.635,15
4,119,Heredity,6,2,-2927.241,-1463.621,8
2,47,LatMutate,6,2,-2927.24,-1463.62,2
5,174,softmutate,6,2,-2927.223,-1463.611,2
3,72,keptBest,6,2,-2927.196,-1463.598,4
2,51,Heredity,6,2,-2927.196,-1463.598,4
3,102,Random,6,2,-2927.183,-1463.592,1
3,85,softmutate,6,2,-2927.178,-1463.589,31
2,63,softmutate,6,2,-2927.172,-1463.586,8
