Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,102,RandTop,6,2,-1254.361,-627.18,15
3,84,Heredity,6,2,-1254.25,-627.125,1
4,116,Heredity,3,1,-626.91,-626.91,6
4,115,Heredity,3,1,-626.909,-626.909,6
1,13,RandTop,3,1,-626.907,-626.907,6
1,15,RandTop,3,1,-626.907,-626.907,6
2,67,Random,6,2,-1253.772,-626.886,63
5,155,Heredity,6,2,-1253.731,-626.866,11
1,22,Random,6,2,-1253.727,-626.863,63
4,121,Random,3,1,-626.842,-626.842,25
3,103,RandTop,6,2,-1253.683,-626.841,25
2,39,Permutate,3,1,-626.796,-626.796,65
2,36,Heredity,3,1,-626.795,-626.795,65
1,2,Random,3,1,-626.738,-626.738,229
1,32,Random,6,2,-1253.42,-626.71,1
3,89,Heredity,6,2,-1253.328,-626.664,12
1,10,Random,3,1,-626.635,-626.635,38
3,87,Random,3,1,-626.609,-626.609,115
5,145,keptBest,3,1,-626.609,-626.609,115
4,110,keptBest,3,1,-626.609,-626.609,115
2,48,softmutate,3,1,-626.607,-626.607,115
3,73,keptBest,3,1,-626.607,-626.607,115
1,3,Random,3,1,-626.606,-626.606,6
2,41,keptBest,3,1,-626.606,-626.606,6
2,49,RandTop,3,1,-626.602,-626.602,6
3,82,Heredity,3,1,-626.481,-626.481,12
5,163,Permutate,3,1,-626.458,-626.458,47
5,149,Random,3,1,-626.448,-626.448,164
2,63,Heredity,6,2,-1252.864,-626.432,11
5,165,Heredity,6,2,-1252.865,-626.432,11
5,143,keptBest,6,2,-1252.864,-626.432,11
4,106,keptBest,6,2,-1252.864,-626.432,11
3,71,keptBest,6,2,-1252.864,-626.432,11
1,5,RandTop,3,1,-626.396,-626.396,65
2,66,Random,6,2,-1252.784,-626.392,13
4,107,keptBest,6,2,-1252.784,-626.392,13
5,144,keptBest,6,2,-1252.784,-626.392,13
3,72,keptBest,6,2,-1252.784,-626.392,13
2,69,softmutate,6,2,-1252.782,-626.391,11
5,164,Permutate,6,2,-1252.775,-626.387,13
2,51,Heredity,6,2,-1252.773,-626.387,51
3,83,Heredity,6,2,-1252.77,-626.385,13
