Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,108,keptBest,6,2,-1287.653,-643.827,11
2,34,keptBest,6,2,-1286.767,-643.383,160
4,109,keptBest,6,2,-1286.767,-643.383,160
3,72,keptBest,6,2,-1286.767,-643.383,160
5,146,keptBest,6,2,-1286.767,-643.383,160
1,31,Random,6,2,-1286.767,-643.383,160
3,86,Heredity,6,2,-1286.675,-643.338,8
3,100,RandTop,6,2,-1286.558,-643.279,1
5,169,Heredity,6,2,-1286.477,-643.238,2
5,147,keptBest,6,2,-1286.395,-643.197,2
2,61,softmutate,6,2,-1286.395,-643.197,2
3,73,keptBest,6,2,-1286.395,-643.197,2
4,110,keptBest,6,2,-1286.395,-643.197,2
1,18,Random,6,2,-1286.357,-643.179,8
2,35,keptBest,6,2,-1285.999,-642.999,74
1,29,RandTop,6,2,-1285.999,-642.999,74
3,74,keptBest,6,2,-1285.999,-642.999,74
4,111,keptBest,6,2,-1285.999,-642.999,74
5,148,keptBest,6,2,-1285.999,-642.999,74
4,112,keptBest,6,2,-1285.98,-642.99,6
3,88,Heredity,6,2,-1285.98,-642.99,6
4,119,Permutate,6,2,-1285.979,-642.99,6
5,149,keptBest,6,2,-1285.98,-642.99,6
5,175,Heredity,6,2,-1285.963,-642.981,2
1,30,RandTop,6,2,-1285.914,-642.957,2
2,69,RandTop,6,2,-1285.891,-642.945,1
4,142,softmutate,6,2,-1285.884,-642.942,2
1,2,Random,6,2,-1285.821,-642.911,129
2,36,keptBest,6,2,-1285.821,-642.911,129
3,75,keptBest,6,2,-1285.821,-642.911,129
4,131,Heredity,6,2,-1285.82,-642.91,129
2,40,Random,6,2,-1285.792,-642.896,2
4,144,RandTop,6,2,-1285.786,-642.893,1
5,160,Heredity,6,2,-1285.707,-642.854,2
1,13,RandTop,6,2,-1285.629,-642.814,2
3,94,Heredity,6,2,-1285.627,-642.814,2
4,126,Heredity,6,2,-1285.604,-642.802,2
5,178,softmutate,6,2,-1285.599,-642.799,2
5,176,Heredity,6,2,-1285.579,-642.789,8
5,153,Permutate,6,2,-1285.558,-642.779,1
2,45,Permutate,6,2,-1285.557,-642.779,1
5,154,Permutate,6,2,-1285.559,-642.779,1
3,99,Heredity,6,2,-1285.531,-642.765,1
2,68,Heredity,6,2,-1285.498,-642.749,1
2,37,keptBest,6,2,-1285.493,-642.746,2
4,129,Permutate,6,2,-1285.491,-642.746,2
1,23,RandTop,6,2,-1285.493,-642.746,2
3,83,Heredity,6,2,-1285.473,-642.737,38
1,27,RandTop,6,2,-1285.461,-642.731,2
3,84,LatMutate,6,2,-1285.46,-642.73,2
5,158,Random,6,2,-1285.446,-642.723,1
4,124,RandTop,3,1,-642.644,-642.644,38
1,21,Random,6,2,-1285.239,-642.619,2
2,62,softmutate,6,2,-1285.224,-642.612,2
2,65,Heredity,6,2,-1285.176,-642.588,11
4,130,Heredity,6,2,-1285.106,-642.553,2
5,172,Heredity,6,2,-1285.093,-642.547,12
3,79,Random,3,1,-642.52,-642.52,1
4,135,Heredity,6,2,-1285.037,-642.519,1
4,128,RandTop,6,2,-1284.99,-642.495,1
5,171,softmutate,6,2,-1284.977,-642.488,2
4,136,Heredity,6,2,-1284.973,-642.486,1
4,137,softmutate,6,2,-1284.95,-642.475,1
2,52,softmutate,6,2,-1284.917,-642.459,12
2,58,Random,6,2,-1284.885,-642.442,8
2,64,Heredity,6,2,-1284.857,-642.429,1
1,19,Random,6,2,-1284.846,-642.423,99
5,182,Random,6,2,-1284.838,-642.419,1
2,66,Random,6,2,-1284.821,-642.41,1
3,96,Random,6,2,-1284.785,-642.393,1
3,91,softmutate,6,2,-1284.784,-642.392,1
3,93,Heredity,6,2,-1284.758,-642.379,2
4,123,Heredity,6,2,-1284.751,-642.375,1
5,166,Permutate,6,2,-1284.738,-642.369,1
2,50,Heredity,6,2,-1284.665,-642.333,1
1,32,RandTop,6,2,-1284.641,-642.32,1
5,179,RandTop,6,2,-1284.631,-642.316,47
1,1,Random,3,1,-642.314,-642.314,8
4,117,Random,3,1,-642.312,-642.312,8
5,168,LatMutate,3,1,-642.309,-642.309,8
2,54,LatMutate,3,1,-642.306,-642.306,8
1,4,Random,3,1,-642.306,-642.306,8
2,57,softmutate,6,2,-1284.595,-642.298,2
5,170,LatMutate,6,2,-1284.588,-642.294,1
5,174,RandTop,6,2,-1284.581,-642.29,47
5,163,Random,3,1,-642.283,-642.283,8
4,143,LatMutate,6,2,-1284.534,-642.267,2
3,85,Heredity,6,2,-1284.508,-642.254,2
3,105,Random,6,2,-1284.499,-642.249,2
4,120,LatMutate,6,2,-1284.488,-642.244,12
5,165,Heredity,6,2,-1284.471,-642.235,5
5,180,softmutate,6,2,-1284.469,-642.234,2
2,46,RandTop,3,1,-642.224,-642.224,1
3,90,softmutate,6,2,-1284.442,-642.221,11
3,89,Permutate,6,2,-1284.424,-642.212,1
3,87,Heredity,6,2,-1284.398,-642.199,1
4,118,Heredity,6,2,-1284.39,-642.195,10
2,38,Heredity,6,2,-1284.383,-642.192,2
3,104,LatMutate,6,2,-1284.369,-642.184,8
2,55,Heredity,6,2,-1284.367,-642.184,1
3,95,LatMutate,6,2,-1284.366,-642.183,1
3,107,Heredity,6,2,-1284.366,-642.183,2
4,127,Heredity,6,2,-1284.363,-642.181,2
4,140,LatMutate,6,2,-1284.361,-642.18,6
4,134,softmutate,6,2,-1284.357,-642.178,2
4,121,Random,3,1,-642.173,-642.173,2
2,59,Permutate,6,2,-1284.337,-642.168,1
4,114,Random,3,1,-642.164,-642.164,42
5,150,Random,3,1,-642.158,-642.158,65
2,60,Heredity,6,2,-1284.311,-642.156,1
5,177,Random,6,2,-1284.307,-642.153,11
3,103,Heredity,6,2,-1284.304,-642.152,1
3,81,Random,3,1,-642.148,-642.148,1
1,5,Random,3,1,-642.147,-642.147,107
3,80,softmutate,6,2,-1284.289,-642.144,2
2,67,RandTop,6,2,-1284.248,-642.124,6
5,157,Heredity,6,2,-1284.239,-642.12,2
2,70,softmutate,6,2,-1284.204,-642.102,1
4,139,Heredity,6,2,-1284.199,-642.1,2
1,9,RandTop,3,1,-642.098,-642.098,8
4,138,Heredity,6,2,-1284.189,-642.094,2
4,133,Permutate,6,2,-1284.178,-642.089,10
2,49,RandTop,3,1,-642.082,-642.082,2
2,53,Heredity,6,2,-1284.153,-642.077,1
5,162,softmutate,6,2,-1284.15,-642.075,1
1,10,RandTop,3,1,-642.072,-642.072,2
1,3,Random,3,1,-642.07,-642.07,2
2,47,RandTop,3,1,-642.07,-642.07,2
4,141,softmutate,6,2,-1284.129,-642.064,10
1,6,Random,3,1,-642.059,-642.059,2
4,115,Random,3,1,-642.049,-642.049,1
5,161,softmutate,6,2,-1284.095,-642.048,2
1,12,RandTop,3,1,-642.041,-642.041,2
2,56,softmutate,6,2,-1284.07,-642.035,2
1,14,RandTop,3,1,-642.035,-642.035,1
5,151,Heredity,6,2,-1284.062,-642.031,2
4,113,Heredity,6,2,-1284.054,-642.027,2
2,42,LatMutate,3,1,-642.024,-642.024,2
5,152,Heredity,6,2,-1284.042,-642.021,2
2,39,Heredity,6,2,-1284.041,-642.02,2
2,48,Heredity,6,2,-1284.008,-642.004,2
4,116,Random,3,1,-641.993,-641.993,42
4,122,Heredity,6,2,-1283.964,-641.982,1
1,15,Random,3,1,-641.982,-641.982,1
4,125,Heredity,6,2,-1283.792,-641.896,2
5,155,RandTop,3,1,-641.87,-641.87,12
2,63,Heredity,6,2,-1283.7,-641.85,1
3,106,RandTop,6,2,-1283.682,-641.841,1
3,101,Permutate,6,2,-1283.652,-641.826,11
4,132,Heredity,6,2,-1283.631,-641.815,2
3,98,softmutate,6,2,-1283.599,-641.8,11
5,167,LatMutate,6,2,-1283.574,-641.787,8
2,51,softmutate,6,2,-1283.554,-641.777,2
2,44,Heredity,6,2,-1283.54,-641.77,2
3,102,softmutate,6,2,-1283.525,-641.762,2
3,76,RandTop,3,1,-641.75,-641.75,8
1,25,Random,6,2,-1283.497,-641.748,11
1,28,RandTop,6,2,-1283.495,-641.748,10
1,17,Random,6,2,-1283.454,-641.727,2
5,173,Random,6,2,-1283.452,-641.726,2
3,97,Permutate,6,2,-1283.442,-641.721,1
5,181,RandTop,6,2,-1283.406,-641.703,8
1,22,Random,6,2,-1283.231,-641.616,1
3,92,Random,3,1,-641.571,-641.571,1
3,82,RandTop,3,1,-641.544,-641.544,115
1,7,Random,3,1,-641.524,-641.524,8
1,24,RandTop,6,2,-1283.045,-641.523,6
1,11,RandTop,3,1,-641.515,-641.515,6
1,8,RandTop,3,1,-641.491,-641.491,6
1,20,Random,6,2,-1282.914,-641.457,38
3,78,RandTop,3,1,-641.347,-641.347,6
1,16,Random,6,2,-1282.691,-641.345,25
5,156,RandTop,3,1,-641.31,-641.31,2
2,43,Random,3,1,-641.303,-641.303,8
5,164,RandTop,3,1,-641.281,-641.281,8
5,159,softmutate,6,2,-1282.458,-641.229,2
3,77,RandTop,3,1,-640.072,-640.072,10
2,41,Random,3,1,-639.915,-639.915,71
