Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,146,keptBest,6,2,-1157.771,-578.886,10
7,251,Random,6,2,-1157.691,-578.845,11
2,57,Heredity,6,2,-1157.357,-578.678,2
7,245,LatMutate,3,1,-578.677,-578.677,10
6,201,Heredity,6,2,-1157.351,-578.676,2
4,134,RandTop,3,1,-578.675,-578.675,10
3,77,Random,3,1,-578.674,-578.674,10
3,92,softmutate,6,2,-1157.311,-578.655,2
3,81,RandTop,3,1,-578.645,-578.645,3
3,83,LatMutate,3,1,-578.638,-578.638,2
7,231,keptBest,3,1,-578.628,-578.628,42
6,211,LatMutate,3,1,-578.628,-578.628,42
5,166,Random,3,1,-578.625,-578.625,107
6,195,keptBest,3,1,-578.625,-578.625,107
2,47,Heredity,6,2,-1157.25,-578.625,2
5,164,Heredity,6,2,-1157.232,-578.616,11
6,209,softmutate,6,2,-1157.232,-578.616,12
7,250,Permutate,6,2,-1157.227,-578.613,2
6,208,Permutate,6,2,-1157.224,-578.612,11
6,217,Heredity,6,2,-1157.225,-578.612,11
6,202,Permutate,6,2,-1157.221,-578.611,11
7,243,Permutate,6,2,-1157.219,-578.61,11
7,233,Heredity,3,1,-578.608,-578.608,10
7,249,Permutate,6,2,-1157.211,-578.605,11
5,147,keptBest,6,2,-1157.201,-578.6,67
3,72,keptBest,6,2,-1157.201,-578.6,67
2,58,Random,6,2,-1157.201,-578.6,67
4,110,keptBest,6,2,-1157.201,-578.6,67
4,130,LatMutate,3,1,-578.59,-578.59,2
7,236,Heredity,6,2,-1157.179,-578.589,2
1,11,RandTop,3,1,-578.589,-578.589,2
5,154,Heredity,3,1,-578.589,-578.589,2
5,165,RandTop,3,1,-578.587,-578.587,2
6,189,Heredity,3,1,-578.587,-578.587,2
1,13,Random,3,1,-578.587,-578.587,2
3,107,Permutate,6,2,-1157.174,-578.587,2
2,39,Heredity,3,1,-578.587,-578.587,2
7,229,Heredity,3,1,-578.587,-578.587,2
5,152,Permutate,3,1,-578.586,-578.586,2
5,160,Permutate,3,1,-578.586,-578.586,2
4,136,Heredity,6,2,-1157.171,-578.586,12
6,199,Heredity,3,1,-578.545,-578.545,12
7,241,Random,6,2,-1157.091,-578.545,12
6,196,Random,3,1,-578.543,-578.543,12
2,44,Random,3,1,-578.524,-578.524,12
5,179,Random,6,2,-1157.03,-578.515,1
6,185,keptBest,6,2,-1157.03,-578.515,1
7,222,keptBest,6,2,-1157.03,-578.515,1
6,213,Random,6,2,-1157.018,-578.509,12
7,253,Heredity,6,2,-1157.013,-578.506,2
3,96,LatMutate,3,1,-578.501,-578.501,2
7,223,keptBest,6,2,-1156.994,-578.497,2
5,171,Heredity,6,2,-1156.994,-578.497,2
6,186,keptBest,6,2,-1156.994,-578.497,2
3,91,LatMutate,6,2,-1156.994,-578.497,2
1,31,Random,6,2,-1156.992,-578.496,1
5,174,softmutate,6,2,-1156.976,-578.488,2
3,106,softmutate,6,2,-1156.972,-578.486,11
1,32,RandTop,6,2,-1156.938,-578.469,3
4,111,keptBest,6,2,-1156.933,-578.467,10
6,200,Random,3,1,-578.467,-578.467,1
6,187,keptBest,6,2,-1156.933,-578.467,10
5,148,keptBest,6,2,-1156.933,-578.467,10
3,73,keptBest,6,2,-1156.933,-578.467,10
1,24,RandTop,6,2,-1156.933,-578.467,10
7,224,keptBest,6,2,-1156.933,-578.467,10
2,34,keptBest,6,2,-1156.933,-578.467,10
