Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,181,Permutate,6,2,-1519.687,-759.844,2
7,237,Random,6,2,-1519.489,-759.744,123
7,250,Permutate,6,2,-1519.254,-759.627,2
4,131,softmutate,6,2,-1519.248,-759.624,2
4,137,Permutate,6,2,-1519.24,-759.62,10
6,220,softmutate,6,2,-1519.237,-759.618,2
3,80,keptBest,3,1,-759.614,-759.614,2
1,3,Random,3,1,-759.614,-759.614,2
2,41,keptBest,3,1,-759.614,-759.614,2
4,118,keptBest,3,1,-759.614,-759.614,2
5,155,Heredity,3,1,-759.614,-759.614,1
5,172,softmutate,6,2,-1519.227,-759.613,6
7,246,Heredity,6,2,-1519.223,-759.612,2
2,49,LatMutate,3,1,-759.611,-759.611,2
1,14,RandTop,3,1,-759.61,-759.61,2
7,242,Heredity,6,2,-1519.218,-759.609,10
6,205,Heredity,6,2,-1519.216,-759.608,10
5,176,softmutate,6,2,-1519.21,-759.605,10
3,88,softmutate,6,2,-1519.206,-759.603,11
4,133,softmutate,6,2,-1519.204,-759.602,11
4,144,Heredity,6,2,-1519.198,-759.599,10
6,219,Heredity,6,2,-1519.196,-759.598,10
7,253,Heredity,6,2,-1519.192,-759.596,26
6,215,Heredity,6,2,-1519.143,-759.572,2
7,230,Permutate,3,1,-759.56,-759.56,8
6,213,Heredity,6,2,-1519.09,-759.545,11
2,54,Random,6,2,-1519.085,-759.543,11
6,191,Random,3,1,-759.527,-759.527,65
7,224,keptBest,3,1,-759.527,-759.527,65
7,235,Heredity,6,2,-1519.021,-759.51,47
5,151,Random,3,1,-759.507,-759.507,5
6,206,Permutate,6,2,-1519.015,-759.507,47
5,169,Heredity,6,2,-1519.007,-759.504,1
3,83,LatMutate,3,1,-759.502,-759.502,5
7,255,Permutate,6,2,-1519.003,-759.502,2
7,239,LatMutate,3,1,-759.499,-759.499,5
2,53,Heredity,6,2,-1518.991,-759.495,2
3,97,LatMutate,3,1,-759.492,-759.492,5
4,141,Heredity,6,2,-1518.97,-759.485,1
5,174,LatMutate,6,2,-1518.953,-759.477,11
5,147,keptBest,6,2,-1518.954,-759.477,12
4,127,softmutate,6,2,-1518.954,-759.477,12
7,223,keptBest,6,2,-1518.954,-759.477,12
6,185,keptBest,6,2,-1518.954,-759.477,12
2,68,RandTop,6,2,-1518.951,-759.476,11
2,47,Heredity,3,1,-759.475,-759.475,8
6,192,keptBest,3,1,-759.473,-759.473,65
4,120,Random,3,1,-759.473,-759.473,5
4,121,Permutate,3,1,-759.473,-759.473,65
7,225,keptBest,3,1,-759.473,-759.473,65
5,156,keptBest,3,1,-759.473,-759.473,65
4,119,keptBest,3,1,-759.472,-759.472,65
3,81,keptBest,3,1,-759.472,-759.472,65
2,43,RandTop,3,1,-759.472,-759.472,65
4,128,Heredity,6,2,-1518.942,-759.471,6
5,158,Random,3,1,-759.47,-759.47,1
7,227,Heredity,3,1,-759.47,-759.47,65
5,154,Permutate,3,1,-759.47,-759.47,65
1,8,RandTop,3,1,-759.47,-759.47,65
4,113,Random,3,1,-759.47,-759.47,65
2,42,keptBest,3,1,-759.47,-759.47,65
7,240,Permutate,6,2,-1518.934,-759.467,65
3,82,Permutate,3,1,-759.467,-759.467,1
7,228,Random,3,1,-759.463,-759.463,1
3,78,Permutate,6,2,-1518.927,-759.463,2
7,231,LatMutate,3,1,-759.461,-759.461,12
7,232,LatMutate,3,1,-759.459,-759.459,1
1,23,Random,6,2,-1518.905,-759.452,12
2,38,LatMutate,3,1,-759.447,-759.447,12
1,17,Random,3,1,-759.447,-759.447,12
6,187,Heredity,3,1,-759.446,-759.446,47
4,111,Heredity,3,1,-759.445,-759.445,47
1,9,RandTop,3,1,-759.445,-759.445,47
2,44,keptBest,3,1,-759.445,-759.445,47
3,106,RandTop,6,2,-1518.888,-759.444,51
7,251,softmutate,6,2,-1518.884,-759.442,10
1,29,RandTop,6,2,-1518.881,-759.44,51
6,186,Heredity,3,1,-759.44,-759.44,8
6,211,softmutate,6,2,-1518.868,-759.434,10
2,61,softmutate,6,2,-1518.861,-759.431,2
5,149,Heredity,3,1,-759.428,-759.428,47
6,193,Heredity,3,1,-759.425,-759.425,2
5,170,RandTop,6,2,-1518.83,-759.415,11
5,175,LatMutate,3,1,-759.413,-759.413,12
1,20,RandTop,6,2,-1518.823,-759.411,10
