Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,180,keptBest,6,2,-2121.177,-1060.589,2
6,216,RandTop,6,2,-2120.967,-1060.483,12
4,130,Heredity,6,2,-2120.925,-1060.462,10
5,166,Heredity,6,2,-2120.715,-1060.357,10
7,219,keptBest,6,2,-2120.633,-1060.316,2
7,231,Heredity,6,2,-2120.632,-1060.316,2
6,191,Heredity,6,2,-2120.633,-1060.316,2
7,239,Heredity,6,2,-2120.582,-1060.291,2
5,167,softmutate,6,2,-2120.582,-1060.291,2
6,182,keptBest,6,2,-2120.582,-1060.291,2
6,209,Heredity,6,2,-2120.554,-1060.277,10
4,123,Heredity,6,2,-2120.541,-1060.271,2
5,145,keptBest,6,2,-2120.541,-1060.271,2
7,229,Heredity,6,2,-2120.456,-1060.228,1
6,197,Permutate,6,2,-2120.394,-1060.197,10
7,232,Permutate,6,2,-2120.387,-1060.194,10
7,244,Random,6,2,-2120.309,-1060.155,1
3,70,keptBest,6,2,-2120.303,-1060.152,10
4,106,keptBest,6,2,-2120.303,-1060.152,10
2,67,softmutate,6,2,-2120.303,-1060.152,10
4,110,Permutate,6,2,-2120.208,-1060.104,6
4,142,softmutate,6,2,-2120.154,-1060.077,2
5,170,Heredity,6,2,-2120.146,-1060.073,12
2,60,Heredity,6,2,-2120.139,-1060.07,1
3,71,keptBest,6,2,-2120.139,-1060.07,1
2,42,Heredity,6,2,-2120.093,-1060.047,9
1,21,Random,6,2,-2120.083,-1060.042,9
2,33,keptBest,6,2,-2120.083,-1060.042,9
4,124,Heredity,6,2,-2120.082,-1060.041,1
1,24,Random,6,2,-2120.059,-1060.029,9
4,107,keptBest,6,2,-2120.053,-1060.027,1
3,95,Heredity,6,2,-2120.053,-1060.027,1
6,187,Random,3,1,-1059.985,-1059.985,5
3,90,Heredity,6,2,-2119.964,-1059.982,2
5,171,Heredity,6,2,-2119.962,-1059.981,2
2,34,keptBest,6,2,-2119.957,-1059.979,2
1,25,RandTop,6,2,-2119.957,-1059.979,2
3,72,keptBest,6,2,-2119.957,-1059.979,2
1,14,Random,3,1,-1059.965,-1059.965,5
7,245,softmutate,6,2,-2119.912,-1059.956,1
5,177,Random,6,2,-2119.907,-1059.954,1
5,178,Random,6,2,-2119.905,-1059.952,2
6,215,Permutate,6,2,-2119.9,-1059.95,8
3,88,softmutate,6,2,-2119.874,-1059.937,5
7,236,softmutate,6,2,-2119.866,-1059.933,8
2,65,softmutate,6,2,-2119.864,-1059.932,2
7,234,LatMutate,3,1,-1059.931,-1059.931,5
3,73,keptBest,6,2,-2119.853,-1059.926,2
2,47,LatMutate,6,2,-2119.853,-1059.926,2
7,233,RandTop,3,1,-1059.925,-1059.925,5
3,81,Random,3,1,-1059.924,-1059.924,5
5,151,Random,3,1,-1059.915,-1059.915,44
3,91,Heredity,6,2,-2119.826,-1059.913,1
7,228,Heredity,6,2,-2119.803,-1059.901,2
7,235,LatMutate,6,2,-2119.794,-1059.897,1
4,120,Random,3,1,-1059.893,-1059.893,1
7,243,Heredity,6,2,-2119.779,-1059.889,1
5,148,Heredity,6,2,-2119.738,-1059.869,2
3,74,keptBest,6,2,-2119.736,-1059.868,2
1,27,RandTop,6,2,-2119.736,-1059.868,2
2,35,keptBest,6,2,-2119.736,-1059.868,2
6,199,softmutate,6,2,-2119.725,-1059.863,2
4,115,Heredity,6,2,-2119.726,-1059.863,2
6,186,softmutate,6,2,-2119.727,-1059.863,2
2,55,Heredity,6,2,-2119.707,-1059.854,5
5,174,RandTop,6,2,-2119.708,-1059.854,2
5,158,Heredity,6,2,-2119.673,-1059.837,1
2,68,RandTop,6,2,-2119.67,-1059.835,1
1,19,RandTop,6,2,-2119.658,-1059.829,2
3,96,Heredity,6,2,-2119.62,-1059.81,2
4,135,LatMutate,6,2,-2119.617,-1059.808,2
3,89,Heredity,6,2,-2119.604,-1059.802,1
2,59,Heredity,6,2,-2119.601,-1059.8,2
3,97,Heredity,6,2,-2119.59,-1059.795,2
7,220,keptBest,6,2,-2119.58,-1059.79,2
6,205,Random,6,2,-2119.58,-1059.79,2
2,48,softmutate,6,2,-2119.58,-1059.79,2
3,85,Heredity,6,2,-2119.577,-1059.788,5
2,45,Heredity,6,2,-2119.57,-1059.785,5
6,183,keptBest,6,2,-2119.551,-1059.776,8
4,108,keptBest,6,2,-2119.551,-1059.776,8
