Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,156,Permutate,6,2,-3135.154,-1567.577,2
7,235,RandTop,6,2,-3135.05,-1567.525,8
9,318,Permutate,6,2,-3134.883,-1567.441,2
9,324,LatMutate,6,2,-3134.755,-1567.377,12
4,109,keptBest,6,2,-3134.746,-1567.373,1
3,103,Random,6,2,-3134.746,-1567.373,1
6,211,Heredity,6,2,-3134.704,-1567.352,2
8,287,LatMutate,6,2,-3134.704,-1567.352,2
8,270,Heredity,6,2,-3134.7,-1567.35,2
9,296,keptBest,6,2,-3134.689,-1567.345,1
7,222,keptBest,6,2,-3134.689,-1567.345,1
6,216,LatMutate,6,2,-3134.689,-1567.345,1
8,259,keptBest,6,2,-3134.689,-1567.345,1
4,110,keptBest,6,2,-3134.68,-1567.34,3
6,185,keptBest,6,2,-3134.68,-1567.34,3
3,70,keptBest,6,2,-3134.68,-1567.34,3
5,147,keptBest,6,2,-3134.68,-1567.34,3
1,28,RandTop,6,2,-3134.68,-1567.34,3
2,33,keptBest,6,2,-3134.68,-1567.34,3
9,297,keptBest,6,2,-3134.67,-1567.335,11
7,223,keptBest,6,2,-3134.67,-1567.335,11
6,186,keptBest,6,2,-3134.67,-1567.335,11
8,260,keptBest,6,2,-3134.67,-1567.335,11
5,165,Random,6,2,-3134.67,-1567.335,11
9,327,Heredity,6,2,-3134.646,-1567.323,1
5,180,softmutate,6,2,-3134.632,-1567.316,1
5,148,keptBest,6,2,-3134.623,-1567.311,11
2,34,keptBest,6,2,-3134.623,-1567.311,11
6,187,keptBest,6,2,-3134.623,-1567.311,11
3,71,keptBest,6,2,-3134.623,-1567.311,11
4,111,keptBest,6,2,-3134.623,-1567.311,11
1,16,Random,6,2,-3134.623,-1567.311,11
3,107,softmutate,6,2,-3134.593,-1567.296,2
3,100,softmutate,6,2,-3134.57,-1567.285,2
8,271,Permutate,6,2,-3134.56,-1567.28,1
7,242,LatMutate,6,2,-3134.524,-1567.262,2
2,35,keptBest,6,2,-3134.512,-1567.256,2
1,19,RandTop,6,2,-3134.512,-1567.256,2
3,72,keptBest,6,2,-3134.512,-1567.256,2
2,47,Permutate,6,2,-3134.502,-1567.251,2
4,132,Permutate,6,2,-3134.502,-1567.251,2
2,56,Heredity,6,2,-3134.499,-1567.249,2
7,255,softmutate,6,2,-3134.482,-1567.241,2
6,196,Heredity,6,2,-3134.458,-1567.229,2
1,25,Random,6,2,-3134.436,-1567.218,4
3,96,RandTop,6,2,-3134.429,-1567.215,1
4,112,keptBest,6,2,-3134.429,-1567.215,1
5,149,keptBest,6,2,-3134.429,-1567.215,1
6,206,Heredity,6,2,-3134.427,-1567.214,2
2,53,Heredity,6,2,-3134.422,-1567.211,2
3,97,Heredity,6,2,-3134.413,-1567.207,2
2,65,RandTop,6,2,-3134.396,-1567.198,2
3,104,Permutate,6,2,-3134.388,-1567.194,2
3,106,Heredity,6,2,-3134.355,-1567.178,1
8,272,LatMutate,6,2,-3134.337,-1567.169,2
3,80,keptBest,3,1,-1567.167,-1567.167,1
2,37,keptBest,3,1,-1567.167,-1567.167,1
1,3,Random,3,1,-1567.167,-1567.167,1
2,66,RandTop,6,2,-3134.332,-1567.166,3
3,73,keptBest,6,2,-3134.332,-1567.166,3
8,288,softmutate,6,2,-3134.327,-1567.164,2
4,124,softmutate,6,2,-3134.316,-1567.158,51
7,234,RandTop,6,2,-3134.301,-1567.151,10
2,67,RandTop,6,2,-3134.278,-1567.139,2
3,92,Heredity,6,2,-3134.269,-1567.135,2
6,200,Heredity,6,2,-3134.267,-1567.134,1
2,59,Random,6,2,-3134.252,-1567.126,6
1,24,Random,6,2,-3134.244,-1567.122,2
9,310,Heredity,6,2,-3134.233,-1567.116,2
9,312,softmutate,6,2,-3134.229,-1567.114,2
3,87,Random,6,2,-3134.229,-1567.114,2
4,140,Heredity,6,2,-3134.223,-1567.111,2
5,164,softmutate,6,2,-3134.2,-1567.1,2
5,176,Random,6,2,-3134.187,-1567.093,11
7,239,Random,6,2,-3134.18,-1567.09,6
4,116,LatMutate,3,1,-1567.09,-1567.09,8
5,173,Heredity,6,2,-3134.176,-1567.088,1
6,198,softmutate,6,2,-3134.17,-1567.085,2
1,14,Random,3,1,-1567.084,-1567.084,8
2,39,keptBest,3,1,-1567.084,-1567.084,8
8,282,RandTop,6,2,-3134.163,-1567.081,1
8,266,Random,3,1,-1567.08,-1567.08,1
3,102,Random,6,2,-3134.158,-1567.079,1
8,289,RandTop,6,2,-3134.134,-1567.067,1
7,247,Permutate,6,2,-3134.129,-1567.064,1
6,189,Random,3,1,-1567.064,-1567.064,1
8,277,LatMutate,6,2,-3134.121,-1567.061,2
9,307,Heredity,6,2,-3134.119,-1567.06,1
5,179,LatMutate,6,2,-3134.118,-1567.059,2
4,143,Random,6,2,-3134.116,-1567.058,1
2,55,Heredity,6,2,-3134.115,-1567.058,2
2,63,softmutate,6,2,-3134.108,-1567.054,2
8,291,Random,6,2,-3134.103,-1567.051,2
9,322,softmutate,6,2,-3134.096,-1567.048,12
2,64,RandTop,6,2,-3134.094,-1567.047,10
5,174,Permutate,6,2,-3134.092,-1567.046,1
6,205,RandTop,6,2,-3134.091,-1567.045,10
1,27,RandTop,6,2,-3134.088,-1567.044,2
1,20,Random,6,2,-3134.076,-1567.038,1
9,316,Heredity,6,2,-3134.076,-1567.038,2
3,74,RandTop,3,1,-1567.037,-1567.037,8
7,224,Random,3,1,-1567.037,-1567.037,8
2,57,Permutate,6,2,-3134.062,-1567.031,1
8,286,Random,6,2,-3134.061,-1567.03,1
4,130,RandTop,6,2,-3134.051,-1567.026,2
4,117,Heredity,3,1,-1567.025,-1567.025,8
8,292,Random,6,2,-3134.043,-1567.021,1
2,61,Heredity,6,2,-3134.04,-1567.02,2
7,245,Heredity,6,2,-3134.027,-1567.013,12
3,77,RandTop,3,1,-1567.013,-1567.013,1
1,8,Random,3,1,-1567.012,-1567.012,1
2,60,softmutate,6,2,-3134.02,-1567.01,8
8,264,Permutate,6,2,-3133.999,-1567.0,2
4,139,Heredity,6,2,-3134.0,-1567.0,8
4,129,Heredity,6,2,-3133.994,-1566.997,1
5,172,RandTop,6,2,-3133.988,-1566.994,1
9,311,softmutate,6,2,-3133.986,-1566.993,2
7,241,Heredity,6,2,-3133.966,-1566.983,2
8,280,Heredity,6,2,-3133.953,-1566.976,10
7,251,RandTop,6,2,-3133.951,-1566.975,2
1,23,Random,6,2,-3133.943,-1566.972,11
6,201,Heredity,6,2,-3133.943,-1566.972,1
1,18,RandTop,6,2,-3133.941,-1566.971,11
6,214,Heredity,6,2,-3133.942,-1566.971,1
3,85,Permutate,6,2,-3133.935,-1566.968,11
6,210,softmutate,6,2,-3133.934,-1566.967,2
2,49,Heredity,6,2,-3133.926,-1566.963,11
8,285,Heredity,6,2,-3133.921,-1566.96,8
2,48,Heredity,6,2,-3133.914,-1566.957,11
6,208,Heredity,6,2,-3133.91,-1566.955,1
3,86,Heredity,6,2,-3133.91,-1566.955,11
5,163,Heredity,6,2,-3133.907,-1566.954,11
2,51,softmutate,6,2,-3133.907,-1566.953,11
8,265,RandTop,3,1,-1566.95,-1566.95,47
3,91,Heredity,6,2,-3133.894,-1566.947,11
8,268,Heredity,6,2,-3133.892,-1566.946,2
7,248,Heredity,6,2,-3133.89,-1566.945,1
4,137,Random,6,2,-3133.887,-1566.944,2
3,95,Heredity,6,2,-3133.884,-1566.942,1
3,94,Heredity,6,2,-3133.88,-1566.94,10
7,237,Random,6,2,-3133.876,-1566.938,1
1,26,RandTop,6,2,-3133.872,-1566.936,11
4,125,Heredity,6,2,-3133.871,-1566.935,11
9,303,Random,3,1,-1566.932,-1566.932,8
1,17,Random,6,2,-3133.858,-1566.929,1
7,250,LatMutate,6,2,-3133.857,-1566.929,1
5,175,Heredity,6,2,-3133.852,-1566.926,2
3,105,softmutate,6,2,-3133.848,-1566.924,2
7,246,RandTop,6,2,-3133.842,-1566.921,11
7,253,softmutate,6,2,-3133.84,-1566.92,11
3,82,Heredity,6,2,-3133.821,-1566.911,2
3,101,Random,6,2,-3133.819,-1566.91,1
2,42,Random,3,1,-1566.905,-1566.905,1
5,159,Heredity,6,2,-3133.803,-1566.901,11
6,218,softmutate,6,2,-3133.8,-1566.9,2
7,226,RandTop,3,1,-1566.896,-1566.896,8
9,325,Permutate,6,2,-3133.789,-1566.894,2
8,273,Heredity,6,2,-3133.783,-1566.892,2
7,230,LatMutate,3,1,-1566.887,-1566.887,8
7,232,Heredity,6,2,-3133.769,-1566.885,2
2,50,Random,6,2,-3133.758,-1566.879,1
1,30,RandTop,6,2,-3133.757,-1566.879,2
8,274,LatMutate,6,2,-3133.759,-1566.879,2
9,315,Heredity,6,2,-3133.745,-1566.872,1
1,6,Random,3,1,-1566.862,-1566.862,12
1,22,Random,6,2,-3133.721,-1566.86,1
6,190,Random,3,1,-1566.854,-1566.854,8
8,279,Heredity,6,2,-3133.706,-1566.853,2
