Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,153,keptBest,3,1,-1095.806,-1095.806,229
2,45,Heredity,3,1,-1095.613,-1095.613,123
3,81,Heredity,3,1,-1095.606,-1095.606,123
4,119,Heredity,3,1,-1095.605,-1095.605,123
2,64,RandTop,6,2,-2191.21,-1095.605,47
4,121,Heredity,3,1,-1095.603,-1095.603,123
3,86,Permutate,3,1,-1095.603,-1095.603,123
1,22,RandTop,6,2,-2191.203,-1095.602,123
1,11,Random,3,1,-1095.602,-1095.602,123
3,82,Heredity,3,1,-1095.602,-1095.602,123
5,164,softmutate,3,1,-1095.501,-1095.501,25
5,145,keptBest,6,2,-2190.773,-1095.386,2
3,70,keptBest,6,2,-2190.773,-1095.386,2
4,107,keptBest,6,2,-2190.773,-1095.386,2
2,32,keptBest,6,2,-2190.773,-1095.386,2
1,29,Random,6,2,-2190.773,-1095.386,2
3,101,softmutate,6,2,-2190.651,-1095.326,2
4,130,Heredity,6,2,-2190.617,-1095.309,1
5,170,Heredity,6,2,-2190.583,-1095.291,10
2,38,keptBest,3,1,-1095.28,-1095.28,1
1,3,Random,3,1,-1095.28,-1095.28,1
3,80,keptBest,3,1,-1095.28,-1095.28,1
4,124,keptBest,3,1,-1095.28,-1095.28,10
4,122,keptBest,3,1,-1095.28,-1095.28,1
5,157,keptBest,3,1,-1095.28,-1095.28,10
5,156,keptBest,3,1,-1095.28,-1095.28,1
3,90,RandTop,3,1,-1095.28,-1095.28,10
4,110,Heredity,3,1,-1095.276,-1095.276,2
5,174,softmutate,6,2,-2190.55,-1095.275,2
4,113,RandTop,3,1,-1095.271,-1095.271,2
4,112,Random,3,1,-1095.269,-1095.269,2
3,75,Random,3,1,-1095.268,-1095.268,2
5,178,Permutate,6,2,-2190.526,-1095.263,1
5,175,Permutate,6,2,-2190.489,-1095.245,1
2,44,Heredity,3,1,-1095.233,-1095.233,12
3,83,keptBest,3,1,-1095.233,-1095.233,12
3,89,Heredity,3,1,-1095.231,-1095.231,12
2,69,softmutate,6,2,-2190.405,-1095.202,2
4,143,Random,6,2,-2190.394,-1095.197,1
3,102,Heredity,6,2,-2190.39,-1095.195,2
2,65,softmutate,6,2,-2190.375,-1095.187,12
4,128,Random,6,2,-2190.372,-1095.186,139
2,46,keptBest,3,1,-1095.159,-1095.159,10
2,68,softmutate,6,2,-2190.318,-1095.159,1
3,103,Heredity,6,2,-2190.318,-1095.159,1
1,12,RandTop,3,1,-1095.159,-1095.159,10
2,58,Heredity,6,2,-2190.295,-1095.147,10
5,173,Random,6,2,-2190.287,-1095.144,10
4,144,softmutate,6,2,-2190.275,-1095.138,1
2,56,Heredity,6,2,-2190.254,-1095.127,1
2,51,Heredity,6,2,-2190.252,-1095.126,1
3,104,Permutate,6,2,-2190.243,-1095.121,1
3,91,softmutate,6,2,-2190.24,-1095.12,2
5,167,Permutate,6,2,-2190.235,-1095.118,2
3,84,Random,3,1,-1095.113,-1095.113,2
3,93,Heredity,6,2,-2190.219,-1095.109,10
3,100,RandTop,6,2,-2190.205,-1095.102,2
3,72,Heredity,3,1,-1095.098,-1095.098,2
3,105,softmutate,6,2,-2190.194,-1095.097,2
1,23,Random,6,2,-2190.163,-1095.082,8
2,33,keptBest,6,2,-2190.163,-1095.082,8
5,177,RandTop,6,2,-2190.148,-1095.074,5
4,129,LatMutate,3,1,-1095.066,-1095.066,1
3,87,LatMutate,3,1,-1095.059,-1095.059,2
5,151,Permutate,3,1,-1095.053,-1095.053,47
4,114,Permutate,3,1,-1095.053,-1095.053,47
5,146,Heredity,3,1,-1095.047,-1095.047,8
2,36,Random,3,1,-1095.046,-1095.046,8
5,149,Heredity,3,1,-1095.046,-1095.046,8
3,99,Heredity,6,2,-2190.092,-1095.046,2
4,108,Heredity,3,1,-1095.045,-1095.045,8
5,152,LatMutate,3,1,-1095.043,-1095.043,8
3,73,Heredity,3,1,-1095.033,-1095.033,12
5,169,Heredity,6,2,-2190.058,-1095.029,1
4,123,Random,3,1,-1095.027,-1095.027,2
2,47,Random,3,1,-1095.025,-1095.025,2
1,8,Random,3,1,-1095.024,-1095.024,2
4,117,Heredity,3,1,-1095.024,-1095.024,2
3,71,Heredity,3,1,-1095.02,-1095.02,2
4,132,RandTop,3,1,-1095.019,-1095.019,2
4,111,Heredity,3,1,-1095.019,-1095.019,2
1,21,RandTop,6,2,-2190.032,-1095.016,2
2,67,Heredity,9,3,-3285.002,-1095.001,1
4,133,Heredity,6,2,-2189.994,-1094.997,2
3,92,LatMutate,3,1,-1094.995,-1094.995,1
1,13,Random,6,2,-2189.982,-1094.991,12
4,138,softmutate,6,2,-2189.976,-1094.988,2
5,158,Random,3,1,-1094.985,-1094.985,5
3,95,Heredity,6,2,-2189.969,-1094.984,2
2,49,softmutate,6,2,-2189.961,-1094.981,2
3,96,Heredity,6,2,-2189.963,-1094.981,2
4,131,softmutate,6,2,-2189.923,-1094.961,12
4,142,softmutate,6,2,-2189.916,-1094.958,12
4,137,Permutate,6,2,-2189.909,-1094.955,9
5,166,Random,3,1,-1094.939,-1094.939,1
4,141,RandTop,6,2,-2189.846,-1094.923,11
3,98,softmutate,6,2,-2189.839,-1094.92,2
5,160,Permutate,3,1,-1094.908,-1094.908,6
4,136,softmutate,6,2,-2189.814,-1094.907,2
2,40,RandTop,3,1,-1094.9,-1094.9,6
1,27,RandTop,6,2,-2189.791,-1094.896,2
1,15,Random,3,1,-1094.893,-1094.893,1
2,53,Heredity,6,2,-2189.78,-1094.89,2
5,159,RandTop,3,1,-1094.88,-1094.88,12
4,135,Heredity,6,2,-2189.745,-1094.873,2
4,139,softmutate,6,2,-2189.709,-1094.855,2
2,50,softmutate,6,2,-2189.704,-1094.852,2
1,31,RandTop,6,2,-2189.685,-1094.843,2
5,172,softmutate,6,2,-2189.68,-1094.84,2
2,57,Random,6,2,-2189.67,-1094.835,1
5,181,Random,6,2,-2189.668,-1094.834,2
2,62,RandTop,6,2,-2189.657,-1094.829,1
1,28,RandTop,6,2,-2189.638,-1094.819,2
1,10,Random,3,1,-1094.803,-1094.803,47
4,125,LatMutate,3,1,-1094.799,-1094.799,8
1,30,RandTop,6,2,-2189.596,-1094.798,1
2,54,Permutate,6,2,-2189.575,-1094.787,11
1,26,RandTop,6,2,-2189.574,-1094.787,11
4,134,LatMutate,3,1,-1094.778,-1094.778,12
3,76,Random,3,1,-1094.771,-1094.771,8
2,59,Random,6,2,-2189.534,-1094.767,2
3,94,Heredity,6,2,-2189.532,-1094.766,10
3,97,softmutate,6,2,-2189.524,-1094.762,2
3,106,RandTop,6,2,-2189.481,-1094.741,1
5,168,softmutate,6,2,-2189.479,-1094.74,1
2,52,Heredity,6,2,-2189.477,-1094.739,2
5,162,LatMutate,3,1,-1094.732,-1094.732,2
4,140,Heredity,6,2,-2189.451,-1094.726,2
2,63,Heredity,6,2,-2189.45,-1094.725,2
1,20,Random,6,2,-2189.447,-1094.723,2
1,25,RandTop,6,2,-2189.334,-1094.667,4
5,176,Heredity,6,2,-2189.3,-1094.65,1
1,18,RandTop,6,2,-2189.266,-1094.633,1
1,1,Random,3,1,-1094.621,-1094.621,2
2,35,Heredity,3,1,-1094.62,-1094.62,2
1,17,Random,6,2,-2189.229,-1094.614,2
1,19,RandTop,6,2,-2189.208,-1094.604,11
3,88,LatMutate,3,1,-1094.599,-1094.599,1
2,61,softmutate,6,2,-2189.198,-1094.599,2
2,43,LatMutate,3,1,-1094.596,-1094.596,2
5,163,LatMutate,3,1,-1094.589,-1094.589,1
4,127,Heredity,6,2,-2189.14,-1094.57,51
5,180,Random,6,2,-2189.05,-1094.525,1
1,14,Random,3,1,-1094.475,-1094.475,2
2,66,RandTop,6,2,-2188.935,-1094.468,1
4,126,Random,3,1,-1094.468,-1094.468,10
2,48,RandTop,3,1,-1094.454,-1094.454,1
5,171,RandTop,6,2,-2188.895,-1094.447,69
3,85,RandTop,3,1,-1094.436,-1094.436,10
1,24,RandTop,6,2,-2188.859,-1094.429,2
2,60,softmutate,6,2,-2188.806,-1094.403,2
2,41,Heredity,6,2,-2188.548,-1094.274,12
1,9,RandTop,3,1,-1094.038,-1094.038,123
1,7,Random,3,1,-1093.773,-1093.773,123
