Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,33,keptBest,6,2,-2357.369,-1178.685,1
5,147,keptBest,6,2,-2356.264,-1178.132,2
3,104,softmutate,6,2,-2356.264,-1178.132,2
4,109,keptBest,6,2,-2356.264,-1178.132,2
4,131,softmutate,6,2,-2356.234,-1178.117,1
5,148,keptBest,6,2,-2356.234,-1178.117,1
3,100,softmutate,6,2,-2356.201,-1178.1,1
3,107,softmutate,6,2,-2356.197,-1178.099,2
4,117,keptBest,3,1,-1178.093,-1178.093,42
5,156,keptBest,3,1,-1178.093,-1178.093,42
1,9,Random,3,1,-1178.093,-1178.093,42
2,37,keptBest,3,1,-1178.093,-1178.093,42
3,76,keptBest,3,1,-1178.093,-1178.093,42
5,149,keptBest,6,2,-2356.167,-1178.083,15
4,121,Heredity,6,2,-2356.167,-1178.083,15
2,67,RandTop,6,2,-2356.105,-1178.052,2
3,71,keptBest,6,2,-2356.105,-1178.052,2
4,119,LatMutate,3,1,-1178.014,-1178.014,6
5,179,Random,6,2,-2355.978,-1177.989,1
5,181,Heredity,6,2,-2355.903,-1177.951,1
5,177,Heredity,6,2,-2355.853,-1177.926,1
5,161,Heredity,6,2,-2355.849,-1177.925,1
2,64,softmutate,6,2,-2355.847,-1177.924,2
3,72,keptBest,6,2,-2355.847,-1177.924,2
4,110,keptBest,6,2,-2355.847,-1177.924,2
4,142,RandTop,6,2,-2355.828,-1177.914,1
4,143,softmutate,6,2,-2355.827,-1177.913,2
2,65,Random,6,2,-2355.781,-1177.89,1
2,45,softmutate,6,2,-2355.764,-1177.882,2
2,41,keptBest,3,1,-1177.88,-1177.88,1
1,1,Random,3,1,-1177.88,-1177.88,1
2,54,RandTop,6,2,-2355.709,-1177.855,2
2,60,Heredity,6,2,-2355.664,-1177.832,1
5,164,RandTop,6,2,-2355.662,-1177.831,1
5,171,softmutate,6,2,-2355.661,-1177.83,1
4,130,LatMutate,6,2,-2355.652,-1177.826,1
5,178,Permutate,6,2,-2355.64,-1177.82,1
3,99,softmutate,6,2,-2355.627,-1177.813,1
2,47,Heredity,3,1,-1177.812,-1177.812,5
4,118,keptBest,3,1,-1177.812,-1177.812,5
3,78,keptBest,3,1,-1177.812,-1177.812,5
3,73,Heredity,3,1,-1177.81,-1177.81,1
4,127,Heredity,6,2,-2355.615,-1177.808,1
2,34,keptBest,6,2,-2355.564,-1177.782,9
1,22,Random,6,2,-2355.564,-1177.782,9
5,166,softmutate,6,2,-2355.556,-1177.778,1
4,123,Heredity,6,2,-2355.556,-1177.778,2
3,90,Heredity,6,2,-2355.543,-1177.772,1
5,176,Heredity,6,2,-2355.532,-1177.766,6
2,35,keptBest,6,2,-2355.533,-1177.766,8
1,28,RandTop,6,2,-2355.533,-1177.766,8
5,158,Heredity,3,1,-1177.758,-1177.758,1
5,182,softmutate,6,2,-2355.517,-1177.758,1
3,77,Heredity,3,1,-1177.757,-1177.757,8
2,57,Heredity,6,2,-2355.513,-1177.756,1
1,23,Random,6,2,-2355.507,-1177.753,15
5,180,Permutate,6,2,-2355.504,-1177.752,2
2,63,Random,6,2,-2355.501,-1177.751,15
5,167,softmutate,6,2,-2355.499,-1177.749,1
3,88,LatMutate,3,1,-1177.742,-1177.742,1
5,154,Random,3,1,-1177.741,-1177.741,8
3,98,Permutate,6,2,-2355.482,-1177.741,1
3,105,Permutate,6,2,-2355.477,-1177.739,8
5,170,LatMutate,6,2,-2355.476,-1177.738,1
4,144,Random,6,2,-2355.475,-1177.737,1
4,138,Heredity,6,2,-2355.452,-1177.726,2
4,141,Permutate,6,2,-2355.447,-1177.724,1
5,169,Heredity,6,2,-2355.428,-1177.714,1
2,58,Heredity,6,2,-2355.421,-1177.71,1
3,85,Heredity,3,1,-1177.698,-1177.698,1
4,114,softmutate,3,1,-1177.695,-1177.695,8
2,46,LatMutate,3,1,-1177.693,-1177.693,8
1,3,Random,3,1,-1177.687,-1177.687,8
3,80,Permutate,3,1,-1177.679,-1177.679,5
5,157,Heredity,3,1,-1177.678,-1177.678,5
1,5,RandTop,3,1,-1177.677,-1177.677,1
2,44,Random,3,1,-1177.672,-1177.672,8
5,155,RandTop,3,1,-1177.672,-1177.672,1
3,79,RandTop,3,1,-1177.667,-1177.667,1
1,18,RandTop,3,1,-1177.659,-1177.659,1
1,21,Random,6,2,-2355.319,-1177.659,4
1,13,RandTop,3,1,-1177.657,-1177.657,8
3,89,Random,3,1,-1177.657,-1177.657,8
2,56,Heredity,6,2,-2355.312,-1177.656,1
5,150,Permutate,3,1,-1177.655,-1177.655,1
3,95,Heredity,6,2,-2355.31,-1177.655,1
3,97,Random,6,2,-2355.309,-1177.655,2
2,43,Heredity,3,1,-1177.647,-1177.647,1
2,62,RandTop,6,2,-2355.286,-1177.643,4
4,126,RandTop,3,1,-1177.643,-1177.643,8
2,68,Random,6,2,-2355.277,-1177.639,1
3,81,Heredity,3,1,-1177.636,-1177.636,1
1,15,RandTop,3,1,-1177.633,-1177.633,1
2,39,Permutate,3,1,-1177.632,-1177.632,5
4,140,Heredity,6,2,-2355.258,-1177.629,1
5,152,LatMutate,3,1,-1177.629,-1177.629,8
4,111,Permutate,3,1,-1177.627,-1177.627,8
1,11,Random,3,1,-1177.625,-1177.625,8
1,7,Random,3,1,-1177.624,-1177.624,8
1,32,Random,6,2,-2355.248,-1177.624,1
4,122,Heredity,6,2,-2355.243,-1177.621,1
4,135,Permutate,6,2,-2355.234,-1177.617,1
1,17,Random,3,1,-1177.616,-1177.616,1
3,103,RandTop,6,2,-2355.232,-1177.616,2
4,139,Permutate,6,2,-2355.223,-1177.612,1
2,40,LatMutate,3,1,-1177.609,-1177.609,1
1,27,Random,6,2,-2355.182,-1177.591,1
3,92,LatMutate,3,1,-1177.586,-1177.586,1
5,153,Random,3,1,-1177.585,-1177.585,1
1,25,RandTop,6,2,-2355.166,-1177.583,2
3,82,Heredity,3,1,-1177.578,-1177.578,1
2,55,softmutate,6,2,-2355.149,-1177.574,13
5,172,Heredity,6,2,-2355.145,-1177.572,1
4,145,softmutate,6,2,-2355.141,-1177.57,1
5,173,RandTop,6,2,-2355.129,-1177.565,1
2,48,Random,3,1,-1177.564,-1177.564,1
5,160,Heredity,6,2,-2355.125,-1177.563,2
2,52,softmutate,6,2,-2355.117,-1177.559,1
4,128,LatMutate,6,2,-2355.117,-1177.558,1
4,116,Random,3,1,-1177.552,-1177.552,8
3,86,Heredity,3,1,-1177.544,-1177.544,8
2,59,softmutate,6,2,-2355.081,-1177.541,2
4,125,RandTop,3,1,-1177.537,-1177.537,1
3,84,RandTop,3,1,-1177.536,-1177.536,1
5,163,RandTop,6,2,-2355.062,-1177.531,1
2,66,Permutate,6,2,-2355.062,-1177.531,1
3,101,Heredity,6,2,-2355.032,-1177.516,1
4,115,Heredity,3,1,-1177.516,-1177.516,1
1,29,RandTop,6,2,-2355.03,-1177.515,2
5,162,Heredity,6,2,-2355.016,-1177.508,4
2,61,RandTop,6,2,-2355.004,-1177.502,6
1,12,Random,3,1,-1177.497,-1177.497,1
3,96,Heredity,6,2,-2354.973,-1177.487,1
2,51,Heredity,6,2,-2354.964,-1177.482,5
3,102,RandTop,6,2,-2354.945,-1177.472,12
4,132,Heredity,6,2,-2354.938,-1177.469,1
5,165,Random,6,2,-2354.937,-1177.469,9
4,136,softmutate,6,2,-2354.939,-1177.469,12
3,106,Random,6,2,-2354.918,-1177.459,1
4,120,Random,3,1,-1177.457,-1177.457,1
2,53,softmutate,6,2,-2354.914,-1177.457,2
5,175,Heredity,6,2,-2354.913,-1177.456,1
2,50,Heredity,6,2,-2354.892,-1177.446,1
1,6,RandTop,3,1,-1177.446,-1177.446,6
3,93,Heredity,6,2,-2354.886,-1177.443,1
3,94,LatMutate,3,1,-1177.442,-1177.442,1
2,69,Heredity,6,2,-2354.845,-1177.423,1
4,133,softmutate,3,1,-1177.416,-1177.416,1
4,113,LatMutate,3,1,-1177.416,-1177.416,1
2,42,Heredity,3,1,-1177.412,-1177.412,1
4,137,Heredity,6,2,-2354.812,-1177.406,1
1,30,RandTop,6,2,-2354.809,-1177.404,1
5,159,RandTop,3,1,-1177.4,-1177.4,6
1,24,Random,6,2,-2354.794,-1177.397,148
5,174,RandTop,6,2,-2354.788,-1177.394,148
5,168,softmutate,6,2,-2354.754,-1177.377,1
1,14,RandTop,3,1,-1177.375,-1177.375,6
4,129,Heredity,6,2,-2354.735,-1177.367,1
3,75,Random,3,1,-1177.353,-1177.353,25
3,91,softmutate,6,2,-2354.692,-1177.346,2
2,49,Heredity,6,2,-2354.671,-1177.336,12
1,20,RandTop,3,1,-1177.294,-1177.294,1
3,83,RandTop,3,1,-1177.286,-1177.286,1
3,74,Heredity,3,1,-1177.265,-1177.265,1
1,19,Random,3,1,-1177.263,-1177.263,1
3,87,softmutate,6,2,-2354.511,-1177.256,1
2,38,RandTop,3,1,-1177.252,-1177.252,99
4,124,RandTop,3,1,-1177.235,-1177.235,1
4,134,Random,6,2,-2354.407,-1177.203,1
2,36,Heredity,3,1,-1177.182,-1177.182,1
1,16,Random,3,1,-1177.172,-1177.172,160
1,10,Random,3,1,-1177.156,-1177.156,44
4,112,Random,3,1,-1177.155,-1177.155,44
1,8,Random,3,1,-1177.153,-1177.153,44
1,2,Random,3,1,-1176.949,-1176.949,160
1,4,RandTop,3,1,-1176.945,-1176.945,160
5,151,LatMutate,3,1,-1176.933,-1176.933,44
1,26,RandTop,6,2,-2353.479,-1176.739,160
