Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,104,keptBest,6,2,-4285.53,-2142.765,63
4,123,RandTop,3,1,-2142.748,-2142.748,38
4,111,Heredity,3,1,-2142.646,-2142.646,38
6,200,RandTop,3,1,-2142.561,-2142.561,6
6,180,keptBest,6,2,-4285.11,-2142.555,18
4,134,Random,6,2,-4285.11,-2142.555,18
5,143,keptBest,6,2,-4285.11,-2142.555,18
4,119,Heredity,3,1,-2142.537,-2142.537,12
2,34,keptBest,6,2,-4284.987,-2142.494,2
6,181,keptBest,6,2,-4284.987,-2142.494,2
1,30,RandTop,6,2,-4284.987,-2142.494,2
3,71,keptBest,6,2,-4284.987,-2142.494,2
5,144,keptBest,6,2,-4284.987,-2142.494,2
4,105,keptBest,6,2,-4284.987,-2142.494,2
6,194,LatMutate,3,1,-2142.492,-2142.492,8
4,135,RandTop,6,2,-4284.982,-2142.491,2
2,56,Heredity,6,2,-4284.94,-2142.47,2
3,72,keptBest,6,2,-4284.916,-2142.458,7
2,66,Random,6,2,-4284.916,-2142.458,7
4,106,keptBest,6,2,-4284.916,-2142.458,7
5,165,LatMutate,3,1,-2142.441,-2142.441,6
1,15,Random,3,1,-2142.432,-2142.432,8
6,214,Random,6,2,-4284.863,-2142.432,2
2,38,keptBest,3,1,-2142.432,-2142.432,8
2,35,keptBest,6,2,-4284.849,-2142.425,10
4,126,RandTop,3,1,-2142.425,-2142.425,10
1,24,RandTop,6,2,-4284.849,-2142.425,10
3,93,RandTop,6,2,-4284.846,-2142.423,2
6,212,RandTop,6,2,-4284.817,-2142.408,13
6,198,Heredity,3,1,-2142.386,-2142.386,1
5,149,Permutate,3,1,-2142.383,-2142.383,5
4,113,Heredity,3,1,-2142.374,-2142.374,5
2,45,RandTop,3,1,-2142.366,-2142.366,5
1,7,RandTop,3,1,-2142.362,-2142.362,5
2,43,keptBest,3,1,-2142.362,-2142.362,5
1,25,Random,6,2,-4284.716,-2142.358,12
5,175,RandTop,6,2,-4284.699,-2142.35,2
2,60,softmutate,6,2,-4284.689,-2142.344,1
2,47,Heredity,3,1,-2142.344,-2142.344,2
3,94,Permutate,6,2,-4284.679,-2142.34,1
5,170,Heredity,6,2,-4284.679,-2142.34,2
2,67,Random,6,2,-4284.669,-2142.334,1
4,130,Heredity,6,2,-4284.66,-2142.33,10
3,82,Random,3,1,-2142.329,-2142.329,8
5,153,Heredity,3,1,-2142.328,-2142.328,2
4,121,Permutate,6,2,-4284.644,-2142.322,10
3,95,Permutate,6,2,-4284.628,-2142.314,51
