Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,107,softmutate,6,2,-2172.451,-1086.225,8
3,87,softmutate,6,2,-2172.027,-1086.014,2
7,252,Heredity,6,2,-2172.028,-1086.014,12
7,239,softmutate,6,2,-2172.028,-1086.014,12
4,118,Permutate,6,2,-2172.021,-1086.011,12
7,233,softmutate,6,2,-2172.021,-1086.011,12
4,117,Heredity,6,2,-2171.719,-1085.86,2
3,70,keptBest,6,2,-2171.718,-1085.859,2
2,66,Random,6,2,-2171.718,-1085.859,2
2,62,Heredity,6,2,-2171.717,-1085.858,2
3,86,Permutate,6,2,-2171.714,-1085.857,2
2,47,Heredity,6,2,-2171.621,-1085.81,2
2,33,keptBest,6,2,-2171.583,-1085.791,2
1,29,Random,6,2,-2171.583,-1085.791,2
6,204,Heredity,6,2,-2171.534,-1085.767,2
7,221,keptBest,6,2,-2171.534,-1085.767,2
1,31,RandTop,6,2,-2171.472,-1085.736,2
6,183,keptBest,6,2,-2171.448,-1085.724,2
5,146,keptBest,6,2,-2171.448,-1085.724,2
7,222,keptBest,6,2,-2171.448,-1085.724,2
3,105,Random,6,2,-2171.448,-1085.724,2
4,109,keptBest,6,2,-2171.448,-1085.724,2
6,206,Heredity,6,2,-2171.436,-1085.718,2
4,127,Permutate,6,2,-2171.414,-1085.707,8
5,147,keptBest,6,2,-2171.374,-1085.687,11
3,71,keptBest,6,2,-2171.374,-1085.687,11
4,110,keptBest,6,2,-2171.374,-1085.687,11
2,64,RandTop,6,2,-2171.374,-1085.687,11
6,184,keptBest,6,2,-2171.374,-1085.687,11
1,9,Random,3,1,-1085.679,-1085.679,2
3,78,Random,3,1,-1085.679,-1085.679,2
7,244,Heredity,6,2,-2171.336,-1085.668,11
5,159,LatMutate,6,2,-2171.33,-1085.665,10
4,135,softmutate,6,2,-2171.331,-1085.665,11
7,245,Permutate,6,2,-2171.319,-1085.66,11
7,242,Heredity,6,2,-2171.319,-1085.66,10
7,232,Permutate,6,2,-2171.316,-1085.658,11
6,201,Permutate,6,2,-2171.314,-1085.657,10
6,202,LatMutate,6,2,-2171.302,-1085.651,10
4,119,LatMutate,6,2,-2171.291,-1085.645,10
7,249,LatMutate,6,2,-2171.288,-1085.644,8
5,163,Permutate,6,2,-2171.223,-1085.611,156
5,171,Heredity,6,2,-2171.199,-1085.6,2
3,84,Heredity,6,2,-2171.17,-1085.585,11
4,111,keptBest,6,2,-2171.17,-1085.585,11
5,148,keptBest,6,2,-2171.17,-1085.585,11
3,100,softmutate,6,2,-2171.157,-1085.579,12
6,194,Permutate,6,2,-2171.138,-1085.569,2
7,234,LatMutate,3,1,-1085.568,-1085.568,8
4,112,keptBest,6,2,-2171.125,-1085.563,12
5,149,keptBest,6,2,-2171.125,-1085.563,12
2,46,Heredity,6,2,-2171.125,-1085.563,12
3,72,keptBest,6,2,-2171.125,-1085.563,12
6,185,keptBest,6,2,-2171.125,-1085.563,12
7,223,keptBest,6,2,-2171.125,-1085.563,12
7,238,Permutate,6,2,-2171.044,-1085.522,11
5,161,Heredity,6,2,-2171.036,-1085.518,12
7,240,softmutate,6,2,-2171.028,-1085.514,2
5,164,softmutate,6,2,-2171.027,-1085.513,2
5,173,softmutate,6,2,-2171.02,-1085.51,2
7,228,Heredity,6,2,-2171.019,-1085.51,2
4,138,RandTop,6,2,-2171.009,-1085.504,2
5,158,Permutate,6,2,-2170.985,-1085.493,10
4,116,Heredity,6,2,-2170.984,-1085.492,2
6,208,RandTop,3,1,-1085.488,-1085.488,2
7,231,RandTop,3,1,-1085.487,-1085.487,12
7,251,Permutate,6,2,-2170.959,-1085.48,51
6,209,Heredity,6,2,-2170.954,-1085.477,2
4,123,Heredity,6,2,-2170.947,-1085.473,12
3,95,Heredity,6,2,-2170.93,-1085.465,2
5,157,Heredity,6,2,-2170.925,-1085.463,2
3,103,Permutate,6,2,-2170.92,-1085.46,2
4,142,Heredity,6,2,-2170.919,-1085.459,1
4,120,softmutate,6,2,-2170.914,-1085.457,2
2,59,softmutate,6,2,-2170.887,-1085.444,2
2,69,Random,6,2,-2170.885,-1085.442,2
3,73,keptBest,6,2,-2170.885,-1085.442,2
6,215,LatMutate,6,2,-2170.87,-1085.435,6
5,177,LatMutate,6,2,-2170.857,-1085.429,2
6,205,Heredity,6,2,-2170.855,-1085.427,11
2,34,keptBest,6,2,-2170.852,-1085.426,10
1,20,RandTop,6,2,-2170.852,-1085.426,10
6,193,Heredity,6,2,-2170.842,-1085.421,8
6,195,Permutate,6,2,-2170.826,-1085.413,8
4,115,Permutate,6,2,-2170.811,-1085.406,2
