Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,181,keptBest,6,2,-2028.666,-1014.333,8
3,98,Permutate,6,2,-2028.374,-1014.187,67
3,99,LatMutate,6,2,-2028.318,-1014.159,2
3,106,softmutate,6,2,-2028.216,-1014.108,11
1,22,RandTop,6,2,-2028.204,-1014.102,11
5,164,softmutate,6,2,-2028.204,-1014.102,11
2,33,keptBest,6,2,-2028.204,-1014.102,11
2,52,softmutate,6,2,-2028.194,-1014.097,11
2,47,Heredity,6,2,-2028.194,-1014.097,11
4,121,Heredity,6,2,-2028.19,-1014.095,11
4,108,keptBest,6,2,-2028.175,-1014.087,15
5,145,keptBest,6,2,-2028.175,-1014.087,15
6,182,keptBest,6,2,-2028.175,-1014.087,15
3,104,Random,6,2,-2028.175,-1014.087,15
3,103,Permutate,6,2,-2028.101,-1014.05,4
6,198,Heredity,6,2,-2028.096,-1014.048,2
2,48,Heredity,6,2,-2028.058,-1014.029,4
5,170,Heredity,6,2,-2028.056,-1014.028,2
4,132,Heredity,6,2,-2028.048,-1014.024,2
3,94,Heredity,6,2,-2028.045,-1014.023,2
5,171,Heredity,6,2,-2028.047,-1014.023,2
4,120,Heredity,6,2,-2028.042,-1014.021,2
1,27,Random,6,2,-2028.041,-1014.02,2
2,69,RandTop,6,2,-2028.019,-1014.009,2
2,66,Random,6,2,-2027.992,-1013.996,12
5,146,keptBest,6,2,-2027.971,-1013.985,63
3,71,keptBest,6,2,-2027.971,-1013.985,63
2,34,keptBest,6,2,-2027.971,-1013.985,63
1,19,Random,6,2,-2027.971,-1013.985,63
4,109,keptBest,6,2,-2027.971,-1013.985,63
6,183,keptBest,6,2,-2027.971,-1013.985,63
6,210,Random,6,2,-2027.894,-1013.947,1
4,143,softmutate,6,2,-2027.845,-1013.922,2
3,101,RandTop,6,2,-2027.835,-1013.917,1
4,129,Heredity,6,2,-2027.781,-1013.89,11
1,28,RandTop,6,2,-2027.76,-1013.88,1
