Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,183,keptBest,6,2,-1012.827,-506.413,12
2,33,keptBest,6,2,-1012.785,-506.392,8
4,119,RandTop,3,1,-506.345,-506.345,1
5,148,keptBest,6,2,-1012.381,-506.191,2
6,185,keptBest,6,2,-1012.381,-506.191,2
4,110,keptBest,6,2,-1012.381,-506.191,2
3,100,RandTop,6,2,-1012.381,-506.191,2
1,22,Random,6,2,-1012.37,-506.185,146
2,34,keptBest,6,2,-1012.37,-506.185,146
2,61,RandTop,6,2,-1012.363,-506.181,6
3,71,keptBest,6,2,-1012.363,-506.181,6
5,155,Permutate,3,1,-506.145,-506.145,1
4,125,Heredity,6,2,-1012.264,-506.132,6
3,94,Permutate,6,2,-1012.24,-506.12,1
6,190,Heredity,6,2,-1012.134,-506.067,12
6,192,Heredity,6,2,-1012.128,-506.064,12
6,186,keptBest,6,2,-1012.125,-506.063,12
5,171,RandTop,6,2,-1012.125,-506.063,12
6,193,Heredity,6,2,-1012.115,-506.057,11
4,142,Permutate,6,2,-1012.053,-506.027,2
5,179,Permutate,6,2,-1012.027,-506.013,2
6,187,keptBest,6,2,-1012.019,-506.01,11
4,140,Heredity,6,2,-1012.019,-506.01,11
5,149,keptBest,6,2,-1012.019,-506.01,11
4,114,RandTop,3,1,-505.967,-505.967,1
6,195,LatMutate,6,2,-1011.927,-505.963,2
6,202,Heredity,6,2,-1011.911,-505.955,1
4,143,Permutate,6,2,-1011.893,-505.946,2
4,133,softmutate,6,2,-1011.834,-505.917,2
5,163,Permutate,6,2,-1011.802,-505.901,6
5,176,Random,6,2,-1011.758,-505.879,1
2,35,keptBest,6,2,-1011.758,-505.879,1
1,27,Random,6,2,-1011.758,-505.879,1
6,194,Permutate,6,2,-1011.739,-505.87,2
5,153,Permutate,6,2,-1011.727,-505.864,59
3,72,keptBest,6,2,-1011.715,-505.857,2
4,111,keptBest,6,2,-1011.715,-505.857,2
2,49,Heredity,6,2,-1011.715,-505.857,2
5,150,keptBest,6,2,-1011.715,-505.857,2
4,139,Random,6,2,-1011.711,-505.856,65
5,181,softmutate,6,2,-1011.712,-505.856,65
