Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,28,Random,8,2,-3159.78,-1579.89,139
3,70,keptBest,8,2,-3159.594,-1579.797,2
5,154,Heredity,8,2,-3159.492,-1579.746,129
2,57,Random,8,2,-3159.355,-1579.677,1
4,138,Permutate,8,2,-3159.324,-1579.662,2
3,106,Permutate,8,2,-3159.317,-1579.659,2
4,142,Random,8,2,-3159.272,-1579.636,2
5,176,Random,8,2,-3159.266,-1579.633,2
3,105,Random,8,2,-3159.247,-1579.624,2
4,111,keptBest,8,2,-3159.247,-1579.624,2
5,148,keptBest,8,2,-3159.247,-1579.624,2
2,45,Heredity,8,2,-3159.244,-1579.622,139
2,58,RandTop,8,2,-3159.242,-1579.621,11
3,72,keptBest,8,2,-3159.242,-1579.621,11
2,41,Heredity,8,2,-3159.237,-1579.619,139
1,22,Random,8,2,-3159.228,-1579.614,2
1,18,Random,8,2,-3159.209,-1579.605,2
3,73,keptBest,8,2,-3159.204,-1579.602,12
2,66,RandTop,8,2,-3159.204,-1579.602,12
1,21,Random,8,2,-3159.19,-1579.595,2
5,156,Permutate,8,2,-3159.175,-1579.588,2
4,120,Heredity,8,2,-3159.176,-1579.588,59
5,151,Heredity,8,2,-3159.174,-1579.587,59
1,32,Random,8,2,-3159.172,-1579.586,12
3,85,softmutate,8,2,-3159.145,-1579.573,2
1,29,Random,8,2,-3159.144,-1579.572,2
1,31,RandTop,8,2,-3159.135,-1579.567,2
1,16,Random,8,2,-3159.132,-1579.566,2
4,112,Heredity,8,2,-3159.13,-1579.565,2
3,86,softmutate,8,2,-3159.126,-1579.563,11
1,24,Random,8,2,-3159.127,-1579.563,2
3,99,Random,8,2,-3159.125,-1579.562,2
4,117,Heredity,8,2,-3159.11,-1579.555,2
5,181,Random,8,2,-3159.094,-1579.547,1
5,166,Random,8,2,-3159.09,-1579.545,9
2,62,Random,8,2,-3159.078,-1579.539,2
4,118,Heredity,8,2,-3159.022,-1579.511,12
1,30,RandTop,8,2,-3159.006,-1579.503,8
4,115,Heredity,8,2,-3158.984,-1579.492,2
4,131,Heredity,8,2,-3158.981,-1579.49,11
5,178,Random,8,2,-3158.963,-1579.481,2
4,116,Heredity,8,2,-3158.953,-1579.477,11
5,171,Random,8,2,-3158.95,-1579.475,15
3,83,Random,8,2,-3158.943,-1579.471,12
5,165,Permutate,8,2,-3158.897,-1579.448,47
2,54,RandTop,8,2,-3158.894,-1579.447,71
2,48,Permutate,4,1,-1579.447,-1579.447,156
3,97,RandTop,8,2,-3158.894,-1579.447,12
2,35,keptBest,8,2,-3158.883,-1579.441,71
