Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,182,keptBest,8,2,-3426.174,-1713.087,2
5,118,Permutate,4,1,-1713.01,-1713.01,166
1,1,Random,8,2,-3425.89,-1712.945,87
4,95,Permutate,4,1,-1712.913,-1712.913,12
6,129,Random,8,2,-3425.775,-1712.887,87
1,9,Random,8,2,-3425.772,-1712.886,35
1,19,Random,4,1,-1712.885,-1712.885,12
8,186,RandTop,4,1,-1712.884,-1712.884,87
1,23,RandTop,4,1,-1712.881,-1712.881,12
2,48,Random,4,1,-1712.873,-1712.873,12
3,75,keptBest,4,1,-1712.84,-1712.84,12
4,98,keptBest,4,1,-1712.84,-1712.84,12
2,51,LatMutate,4,1,-1712.84,-1712.84,12
1,3,Random,8,2,-3425.674,-1712.837,12
4,89,Heredity,4,1,-1712.835,-1712.835,1
5,114,Heredity,4,1,-1712.834,-1712.834,2
6,131,Permutate,8,2,-3425.656,-1712.828,1
8,176,Permutate,8,2,-3425.652,-1712.826,1
5,120,LatMutate,4,1,-1712.825,-1712.825,12
1,16,Random,4,1,-1712.823,-1712.823,12
2,40,Random,8,2,-3425.637,-1712.819,2
7,152,Permutate,8,2,-3425.612,-1712.806,1
1,15,RandTop,8,2,-3425.581,-1712.79,2
2,41,RandTop,8,2,-3425.566,-1712.783,12
4,88,Heredity,4,1,-1712.77,-1712.77,12
8,175,RandTop,8,2,-3425.462,-1712.731,12
8,165,Heredity,8,2,-3425.376,-1712.688,2
3,54,Heredity,8,2,-3425.355,-1712.678,2
5,105,Random,8,2,-3425.333,-1712.667,2
1,2,Random,8,2,-3425.322,-1712.661,5
2,39,Random,8,2,-3425.274,-1712.637,2
6,128,Random,8,2,-3425.272,-1712.636,12
6,132,Permutate,8,2,-3425.268,-1712.634,63
7,159,keptBest,8,2,-3425.268,-1712.634,63
2,38,Heredity,8,2,-3425.268,-1712.634,87
8,184,keptBest,8,2,-3425.268,-1712.634,63
6,124,Heredity,8,2,-3425.266,-1712.633,2
5,116,Random,4,1,-1712.629,-1712.629,12
3,55,Heredity,8,2,-3425.252,-1712.626,10
8,185,Random,4,1,-1712.625,-1712.625,12
3,68,Heredity,4,1,-1712.62,-1712.62,87
6,136,keptBest,8,2,-3425.235,-1712.618,65
5,113,keptBest,8,2,-3425.235,-1712.618,65
3,67,keptBest,8,2,-3425.235,-1712.618,65
4,86,keptBest,8,2,-3425.235,-1712.618,65
2,42,RandTop,8,2,-3425.235,-1712.618,65
2,33,Heredity,8,2,-3425.232,-1712.616,12
7,164,LatMutate,4,1,-1712.614,-1712.614,87
7,142,Heredity,8,2,-3425.224,-1712.612,2
4,96,LatMutate,4,1,-1712.61,-1712.61,87
4,94,RandTop,4,1,-1712.596,-1712.596,12
4,79,Heredity,8,2,-3425.175,-1712.588,2
4,87,Heredity,4,1,-1712.58,-1712.58,87
2,50,LatMutate,4,1,-1712.578,-1712.578,87
8,187,LatMutate,4,1,-1712.575,-1712.575,87
7,144,Heredity,8,2,-3425.134,-1712.567,2
2,34,Heredity,8,2,-3425.108,-1712.554,2
8,168,Heredity,8,2,-3425.102,-1712.551,2
7,150,Random,8,2,-3425.093,-1712.547,6
3,61,Heredity,8,2,-3425.083,-1712.542,2
8,171,Heredity,8,2,-3425.083,-1712.542,12
2,35,Heredity,8,2,-3425.074,-1712.537,87
2,36,Heredity,8,2,-3425.067,-1712.533,1
5,101,Heredity,8,2,-3425.061,-1712.53,2
8,169,Heredity,8,2,-3425.038,-1712.519,2
4,76,Heredity,8,2,-3425.027,-1712.514,87
7,149,Heredity,8,2,-3425.023,-1712.511,87
3,69,Heredity,4,1,-1712.506,-1712.506,87
7,146,Heredity,8,2,-3424.974,-1712.487,2
7,143,Heredity,8,2,-3424.958,-1712.479,12
4,82,softmutate,8,2,-3424.951,-1712.475,12
8,181,softmutate,8,2,-3424.935,-1712.467,2
6,121,Heredity,8,2,-3424.932,-1712.466,12
7,155,softmutate,8,2,-3424.931,-1712.465,2
8,166,Heredity,8,2,-3424.888,-1712.444,2
6,126,Heredity,8,2,-3424.872,-1712.436,63
6,137,RandTop,4,1,-1712.433,-1712.433,2
5,117,RandTop,4,1,-1712.422,-1712.422,2
5,104,Heredity,8,2,-3424.831,-1712.415,2
2,31,Heredity,8,2,-3424.83,-1712.415,2
3,60,Heredity,8,2,-3424.831,-1712.415,12
5,100,Heredity,8,2,-3424.815,-1712.407,2
3,58,Heredity,8,2,-3424.808,-1712.404,12
3,57,Heredity,8,2,-3424.798,-1712.399,12
6,125,Heredity,8,2,-3424.798,-1712.399,2
6,122,Heredity,8,2,-3424.788,-1712.394,1
2,45,softmutate,8,2,-3424.758,-1712.379,2
5,103,Heredity,8,2,-3424.755,-1712.378,12
2,32,Heredity,8,2,-3424.749,-1712.374,2
4,83,softmutate,8,2,-3424.748,-1712.374,2
6,127,Heredity,8,2,-3424.74,-1712.37,2
5,99,Heredity,8,2,-3424.737,-1712.369,2
7,156,softmutate,8,2,-3424.73,-1712.365,65
2,46,softmutate,8,2,-3424.731,-1712.365,2
3,56,Heredity,8,2,-3424.724,-1712.362,2
7,145,Heredity,8,2,-3424.721,-1712.36,65
8,180,softmutate,8,2,-3424.696,-1712.348,2
8,170,Heredity,8,2,-3424.683,-1712.341,2
8,178,softmutate,8,2,-3424.676,-1712.338,12
4,84,softmutate,8,2,-3424.591,-1712.295,2
4,77,Heredity,8,2,-3424.589,-1712.295,2
2,37,Heredity,8,2,-3424.585,-1712.292,2
3,64,softmutate,8,2,-3424.561,-1712.28,2
4,78,Heredity,8,2,-3424.515,-1712.258,2
8,167,Heredity,8,2,-3424.496,-1712.248,2
7,147,Heredity,8,2,-3424.486,-1712.243,2
6,123,Heredity,8,2,-3424.465,-1712.233,2
3,59,Heredity,8,2,-3424.458,-1712.229,2
5,110,softmutate,8,2,-3424.422,-1712.211,87
5,106,RandTop,8,2,-3424.346,-1712.173,2
6,130,Random,8,2,-3424.328,-1712.164,26
1,24,RandTop,4,1,-1712.133,-1712.133,25
2,52,keptBest,4,1,-1712.133,-1712.133,25
1,29,RandTop,4,1,-1712.131,-1712.131,25
1,28,RandTop,4,1,-1712.093,-1712.093,2
2,53,keptBest,4,1,-1712.093,-1712.093,2
7,154,LatMutate,8,2,-3424.174,-1712.087,2
4,92,RandTop,4,1,-1712.08,-1712.08,25
8,174,RandTop,8,2,-3424.098,-1712.049,51
5,119,LatMutate,4,1,-1712.046,-1712.046,1
1,14,RandTop,8,2,-3424.075,-1712.037,13
4,91,Random,4,1,-1712.026,-1712.026,187
1,13,RandTop,8,2,-3423.983,-1711.991,1
5,102,Heredity,8,2,-3423.879,-1711.94,2
1,8,Random,8,2,-3423.855,-1711.927,5
1,6,Random,8,2,-3423.793,-1711.897,2
1,25,RandTop,4,1,-1711.855,-1711.855,1
1,27,RandTop,4,1,-1711.854,-1711.854,1
6,139,RandTop,4,1,-1711.841,-1711.841,10
3,71,RandTop,4,1,-1711.803,-1711.803,10
3,72,RandTop,4,1,-1711.783,-1711.783,2
5,109,softmutate,8,2,-3423.563,-1711.782,8
5,115,Random,4,1,-1711.767,-1711.767,12
7,160,Random,4,1,-1711.763,-1711.763,12
3,65,softmutate,8,2,-3423.476,-1711.738,2
7,163,RandTop,4,1,-1711.726,-1711.726,2
8,179,softmutate,8,2,-3423.432,-1711.716,1
6,133,softmutate,8,2,-3423.431,-1711.715,2
2,49,RandTop,4,1,-1711.705,-1711.705,47
7,148,Heredity,8,2,-3423.39,-1711.695,2
1,30,RandTop,4,1,-1711.631,-1711.631,12
6,138,RandTop,4,1,-1711.626,-1711.626,47
8,188,LatMutate,4,1,-1711.498,-1711.498,2
3,74,LatMutate,4,1,-1711.464,-1711.464,1
7,162,RandTop,4,1,-1711.241,-1711.241,1
1,26,RandTop,4,1,-1711.148,-1711.148,38
4,93,RandTop,4,1,-1711.139,-1711.139,123
1,11,RandTop,8,2,-3422.211,-1711.106,6
1,17,Random,4,1,-1710.941,-1710.941,6
3,63,softmutate,8,2,-3421.82,-1710.91,1
